sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.6613756613756614,53,80,0
2,0.612153113235833,49,80,0
3,0.5747126436781609,46,80,0
4,0.4122114519836115,33,80,0
5,0.3248592276680105,26,80,0
6,0.2998500749625187,24,80,0
7,0.32112274024738346,18,56,24
8,0.2854560159855369,16,56,24
9,0.23737340085287847,19,80,0
10,0.22213172411239868,16,72,8
11,0.32458885411811705,13,40,40
12,0.4788740214313475,23,48,32
13,0.44983506047782484,36,80,0
14,0.4248159131043215,34,80,0
15,0.37476265032146305,30,80,0
16,0.4025541365907829,29,72,8
17,0.6243409734169488,30,48,32
18,1.295336787564767,48,37,43
19,1.775235465259628,96,54,26
20,1.8903088391906282,142,75,5
21,1.981812880416955,145,73,7
22,1.997473281660805,156,78,2
23,1.9839264051758998,157,79,1
24,2.320344625024476,158,68,12
25,2.703020331413797,184,68,12
26,3.0672220954120064,215,70,10
