sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,26,0,230,9,start,0.1,0.1,0.1
1,27026,72,230,9,end,1.45,1.45,0.1
2,4,80,209,5,start,1.45,1.45,0.1
2,15005,120,209,5,end,2.2,1.45,0.1
2,15009,120,23,4,start,2.2,1.45,0.1
2,27009,152,23,4,end,2.2,1.45,0.7
2,27013,152,195,1,start,2.2,1.45,0.7
2,30014,160,195,1,end,2.2,1.5999999999999999,0.7
3,4,160,336,3,start,2.2,1.5999999999999999,0.7
3,9004,184,336,3,end,2.6500000000000004,2.05,0.7
3,9006,184,260,3,start,2.6500000000000004,2.05,0.7
3,18006,208,260,3,end,2.6500000000000004,2.05,1.15
4,2,240,68,7,start,2.6500000000000004,2.05,1.15
4,21002,296,68,7,end,3.7,2.05,2.2
6,3,400,321,1,start,3.7,2.05,2.2
6,3003,408,321,1,end,3.85,2.1999999999999997,2.2
7,6,480,331,2,start,3.85,2.1999999999999997,2.2
7,6007,496,331,2,end,4.15,2.4999999999999996,2.2
8,4,560,276,10,start,4.15,2.4999999999999996,2.2
8,30005,640,276,10,end,4.15,3.9999999999999996,3.7
9,3,640,39,5,start,4.15,3.9999999999999996,3.7
9,15003,680,39,5,end,4.9,3.9999999999999996,4.45
10,5,720,74,7,start,4.9,3.9999999999999996,4.45
10,21005,776,74,7,end,5.95,3.9999999999999996,5.5
11,9,800,400,1,start,5.95,3.9999999999999996,5.5
11,1509,804,400,1,end,6.1000000000000005,4.1499999999999995,5.5
11,1511,804,212,10,start,6.1000000000000005,4.1499999999999995,5.5
11,11262,830,212,10,end,7.6000000000000005,4.1499999999999995,5.5
12,12,880,215,10,start,7.6000000000000005,4.1499999999999995,5.5
12,15012,920,215,10,end,7.6000000000000005,5.6499999999999995,7.0
13,18,960,313,5,start,7.6000000000000005,5.6499999999999995,7.0
13,4893,973,313,5,end,8.350000000000001,6.3999999999999995,7.75
13,4897,973,310,4,start,8.350000000000001,6.3999999999999995,7.75
13,8647,983,310,4,end,8.350000000000001,6.999999999999999,8.35
13,8649,983,379,1,start,8.350000000000001,6.999999999999999,8.35
13,9400,985,379,1,end,8.500000000000002,6.999999999999999,8.5
13,9402,985,366,5,start,8.500000000000002,6.999999999999999,8.5
13,14278,998,366,5,end,8.500000000000002,7.749999999999999,9.25
13,14280,998,362,10,start,8.500000000000002,7.749999999999999,9.25
13,24031,1024,362,10,end,8.500000000000002,7.749999999999999,10.75
14,20,1040,376,8,start,8.500000000000002,7.749999999999999,10.75
14,7896,1061,376,8,end,9.700000000000001,8.95,11.95
14,7900,1061,271,5,start,9.700000000000001,8.95,11.95
14,12775,1074,271,5,end,10.450000000000001,8.95,12.7
14,12777,1074,388,1,start,10.450000000000001,8.95,12.7
14,13528,1076,388,1,end,10.600000000000001,8.95,12.7
14,13531,1076,85,2,start,10.600000000000001,8.95,12.7
14,15406,1081,85,2,end,10.900000000000002,8.95,12.7
14,15410,1081,338,5,start,10.900000000000002,8.95,12.7
14,20286,1094,338,5,end,10.900000000000002,9.7,12.7
15,16,1120,178,3,start,10.900000000000002,9.7,12.7
15,3017,1128,178,3,end,11.350000000000001,10.149999999999999,13.149999999999999
15,3022,1128,378,8,start,11.350000000000001,10.149999999999999,13.149999999999999
15,10897,1149,378,8,end,12.55,10.149999999999999,14.349999999999998
15,10900,1149,14,8,start,12.55,10.149999999999999,14.349999999999998
15,18775,1170,14,8,end,13.75,10.149999999999999,14.349999999999998
15,18778,1170,123,10,start,13.75,10.149999999999999,14.349999999999998
15,28528,1196,123,10,end,13.75,10.149999999999999,15.849999999999998
16,21,1200,166,7,start,13.75,10.149999999999999,15.849999999999998
16,6772,1218,166,7,end,14.8,11.2,15.849999999999998
16,6774,1218,360,3,start,14.8,11.2,15.849999999999998
16,9775,1226,360,3,end,15.25,11.649999999999999,15.849999999999998
16,9779,1226,10,8,start,15.25,11.649999999999999,15.849999999999998
16,17654,1247,10,8,end,15.25,11.649999999999999,17.049999999999997
16,17657,1247,353,3,start,15.25,11.649999999999999,17.049999999999997
16,20657,1255,353,3,end,15.7,11.649999999999999,17.049999999999997
16,20660,1255,160,6,start,15.7,11.649999999999999,17.049999999999997
16,26661,1271,160,6,end,15.7,11.649999999999999,17.949999999999996
17,10,1280,108,10,start,15.7,11.649999999999999,17.949999999999996
17,9761,1306,108,10,end,17.2,13.149999999999999,19.449999999999996
17,9763,1306,185,3,start,17.2,13.149999999999999,19.449999999999996
17,12763,1314,185,3,end,17.2,13.599999999999998,19.449999999999996
17,12766,1314,395,3,start,17.2,13.599999999999998,19.449999999999996
17,15767,1322,395,3,end,17.2,13.599999999999998,19.899999999999995
17,15769,1322,100,6,start,17.2,13.599999999999998,19.899999999999995
17,21770,1338,100,6,end,17.2,14.499999999999998,19.899999999999995
18,8,1360,34,8,start,17.2,14.499999999999998,19.899999999999995
18,7883,1381,34,8,end,18.4,15.699999999999998,21.099999999999994
18,7889,1381,193,4,start,18.4,15.699999999999998,21.099999999999994
18,10889,1389,193,4,end,18.4,16.299999999999997,21.699999999999996
18,10892,1389,214,6,start,18.4,16.299999999999997,21.699999999999996
18,15392,1401,214,6,end,19.299999999999997,16.299999999999997,22.599999999999994
18,15396,1401,170,4,start,19.299999999999997,16.299999999999997,22.599999999999994
18,18396,1409,170,4,end,19.9,16.299999999999997,23.199999999999996
18,18400,1409,286,5,start,19.9,16.299999999999997,23.199999999999996
18,21401,1417,286,5,end,19.9,16.299999999999997,23.949999999999996
