sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.537159798794097,43,80,0
2,0.4856793960923624,35,72,8
3,0.4857333185300322,35,72,8
4,0.6063344112611756,34,56,24
5,0.524632757070051,42,80,0
6,0.46214568830563235,37,80,0
7,1.2665029167945963,33,26,54
8,1.3087356983521623,97,74,6
9,1.7331932773109244,99,57,23
10,1.7295650417452195,137,79,1
11,1.8233603066439523,137,75,5
12,1.9316163410301954,145,75,5
13,2.152714416058394,151,70,10
14,2.6001773764411835,172,66,14
15,2.909046619697197,207,71,9
16,2.9815403761061945,230,77,3
17,3.5357401885728104,234,66,14
18,3.3795018456320043,271,80,0
19,3.2110852970461337,129,40,40
