sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,14,0,253,9,start,1.0,22.0,6.0
1,5264,14,253,9,end,1.0,23.35,6.0
1,5267,14,230,9,start,1.0,23.35,6.0
1,14268,38,230,9,end,2.3499999999999996,24.700000000000003,6.0
2,19,80,260,3,start,2.3499999999999996,24.700000000000003,6.0
2,3019,88,260,3,end,2.3499999999999996,24.700000000000003,6.45
2,3022,88,253,9,start,2.3499999999999996,24.700000000000003,6.45
2,8272,102,253,9,end,2.3499999999999996,26.050000000000004,6.45
2,8274,102,299,8,start,2.3499999999999996,26.050000000000004,6.45
2,16149,123,299,8,end,2.3499999999999996,26.050000000000004,7.65
2,16155,123,121,9,start,2.3499999999999996,26.050000000000004,7.65
2,25156,147,121,9,end,3.6999999999999993,27.400000000000006,9.0
3,10,160,342,1,start,3.6999999999999993,27.400000000000006,9.0
3,760,162,342,1,end,3.6999999999999993,27.400000000000006,9.15
3,761,162,58,1,start,3.6999999999999993,27.400000000000006,9.15
3,1511,164,58,1,end,3.849999999999999,27.550000000000004,9.3
3,1514,164,243,3,start,3.849999999999999,27.550000000000004,9.3
3,3015,168,243,3,end,3.849999999999999,28.000000000000004,9.3
3,3018,168,331,2,start,3.849999999999999,28.000000000000004,9.3
3,4893,173,331,2,end,4.1499999999999995,28.300000000000004,9.3
3,4898,173,103,5,start,4.1499999999999995,28.300000000000004,9.3
3,9773,186,103,5,end,4.1499999999999995,28.300000000000004,10.05
3,9775,186,94,8,start,4.1499999999999995,28.300000000000004,10.05
3,14276,198,94,8,end,4.1499999999999995,29.500000000000004,10.05
3,14278,198,276,10,start,4.1499999999999995,29.500000000000004,10.05
3,21778,218,276,10,end,4.1499999999999995,30.0,11.55
4,10,240,311,5,start,4.1499999999999995,30.0,11.55
4,3010,248,311,5,end,4.1499999999999995,30.0,11.55
4,3013,248,392,9,start,4.1499999999999995,30.0,11.55
4,8263,262,392,9,end,4.1499999999999995,30.0,11.55
4,8268,262,30,7,start,4.1499999999999995,30.0,11.55
4,15018,280,30,7,end,5.199999999999999,30.0,11.55
4,15024,280,343,9,start,5.199999999999999,30.0,11.55
4,21774,298,343,9,end,6.549999999999999,30.0,11.55
5,13,320,131,3,start,6.549999999999999,30.0,11.55
5,1513,324,131,3,end,6.549999999999999,30.0,11.55
5,1516,324,338,5,start,6.549999999999999,30.0,11.55
5,4516,332,338,5,end,6.549999999999999,30.0,11.55
5,4521,332,381,3,start,6.549999999999999,30.0,11.55
5,7521,340,381,3,end,6.549999999999999,30.0,12.0
5,7531,340,63,5,start,6.549999999999999,30.0,12.0
5,11281,350,63,5,end,7.299999999999999,30.0,12.0
5,11283,350,396,8,start,7.299999999999999,30.0,12.0
5,17283,366,396,8,end,7.299999999999999,30.0,13.2
5,17288,366,11,10,start,7.299999999999999,30.0,13.2
5,24789,386,11,10,end,8.799999999999999,30.0,13.2
6,11,400,117,1,start,8.799999999999999,30.0,13.2
6,387,401,117,1,end,8.799999999999999,30.0,13.2
6,390,401,265,6,start,8.799999999999999,30.0,13.2
6,3766,410,265,6,end,8.799999999999999,30.0,13.2
6,3769,410,150,1,start,8.799999999999999,30.0,13.2
6,4520,412,150,1,end,8.799999999999999,30.0,13.35
6,4523,412,18,1,start,8.799999999999999,30.0,13.35
6,5273,414,18,1,end,8.95,30.0,13.5
6,5275,414,211,2,start,8.95,30.0,13.5
6,6775,418,211,2,end,8.95,30.0,13.8
6,6777,418,175,4,start,8.95,30.0,13.8
6,9777,426,175,4,end,8.95,30.0,14.4
6,9782,426,57,4,start,8.95,30.0,14.4
