sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.6366935215393835,51,80,0
2,0.6244680457388151,45,72,8
3,0.44950554390170816,36,80,0
4,0.47173301761136593,34,72,8
5,0.43723765740555665,35,80,0
6,0.5203418993173115,25,48,32
7,0.41215653621981685,33,80,0
8,0.3248808770117624,26,80,0
9,0.29982010793523883,24,80,0
10,0.32112274024738346,18,56,24
11,0.33311125916055967,16,48,32
12,0.4744306831801838,19,40,40
13,0.43725222373988076,35,80,0
14,0.9971509971509972,28,28,52
15,1.1291256514186452,78,69,11
16,1.5325098723482413,89,58,22
17,1.6672366621067032,117,70,10
18,1.917962356792144,125,65,15
19,1.9316230683769318,153,79,1
20,2.1319403425871233,154,72,8
21,2.496866677111076,170,68,12
22,2.712909513456781,193,71,9
23,3.0048301943310745,214,71,9
24,3.3152275707061247,236,71,9
25,3.3484399218276164,265,79,1
26,2.44315915436777,49,20,60
