sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.6992308460693238,56,80,0
2,0.6370540621564905,51,80,0
3,0.5123804445629353,41,80,0
4,0.4122938530734632,33,80,0
5,0.3248808770117624,26,80,0
6,0.2998900403185499,24,80,0
7,0.37464616750846425,18,48,32
8,0.3623671320515811,29,80,0
9,0.4664179104477612,28,60,20
10,0.6065651760228353,34,56,24
11,0.9785686524901449,47,48,32
12,1.2987301305390284,78,60,20
13,1.6068308511523421,103,64,16
14,1.7936354869816777,124,69,11
15,1.8399102824700357,140,76,4
16,1.8206952358474662,144,79,1
17,2.2671542721853464,143,63,17
18,2.3048555623847573,180,78,2
19,2.454515198579987,177,72,8
20,2.569496218979657,193,75,5
21,3.06980401645294,203,66,14
22,3.5644435752004693,243,68,12
23,2.9888416578108394,75,25,55
