sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,30,0,70,5,start,21.0,6.0,0.1
1,3781,10,70,5,end,21.75,6.75,0.1
1,3782,10,71,5,start,21.75,6.75,0.1
1,6782,18,71,5,end,22.5,6.75,0.1
2,14,80,130,6,start,22.5,6.75,0.1
2,4514,92,130,6,end,23.4,7.65,0.1
2,4517,92,263,2,start,23.4,7.65,0.1
2,6392,97,263,2,end,23.7,7.65,0.4
2,6396,97,275,3,start,23.7,7.65,0.4
2,7897,101,275,3,end,24.15,7.65,0.4
2,7901,101,47,10,start,24.15,7.65,0.4
2,13902,117,47,10,end,25.65,7.65,0.4
3,26,160,278,9,start,25.65,7.65,0.4
3,9026,184,278,9,end,27.0,9.0,1.75
3,9029,184,30,7,start,27.0,9.0,1.75
3,14279,198,30,7,end,28.05,10.05,1.75
3,14282,198,174,7,start,28.05,10.05,1.75
3,18407,209,174,7,end,29.1,10.05,1.75
3,18410,209,212,6,start,29.1,10.05,1.75
3,21785,218,212,6,end,30.0,10.05,1.75
4,8,240,287,1,start,30.0,10.05,1.75
4,759,242,287,1,end,30.0,10.200000000000001,1.9
4,761,242,345,6,start,30.0,10.200000000000001,1.9
4,6762,258,345,6,end,30.0,11.100000000000001,2.8
4,6765,258,207,7,start,30.0,11.100000000000001,2.8
4,17265,286,207,7,end,30.0,12.150000000000002,3.8499999999999996
4,17269,286,145,9,start,30.0,12.150000000000002,3.8499999999999996
4,26269,310,145,9,end,30.0,13.500000000000002,3.8499999999999996
5,4,320,376,8,start,30.0,13.500000000000002,3.8499999999999996
5,7879,341,376,8,end,30.0,14.700000000000001,5.05
5,7882,341,256,10,start,30.0,14.700000000000001,5.05
5,15383,361,256,10,end,30.0,14.700000000000001,6.55
5,15386,361,111,4,start,30.0,14.700000000000001,6.55
5,19136,371,111,4,end,30.0,15.3,6.55
5,19138,371,381,3,start,30.0,15.3,6.55
5,22139,379,381,3,end,30.0,15.3,7.0
5,22142,379,348,6,start,30.0,15.3,7.0
5,28142,395,348,6,end,30.0,16.2,7.0
6,9,400,50,9,start,30.0,16.2,7.0
6,7134,419,50,9,end,30.0,17.55,8.35
6,7138,419,133,6,start,30.0,17.55,8.35
6,13138,435,133,6,end,30.0,18.45,9.25
6,13139,435,117,1,start,30.0,18.45,9.25
6,13889,437,117,1,end,30.0,18.599999999999998,9.25
6,13893,437,76,1,start,30.0,18.599999999999998,9.25
6,14643,439,76,1,end,30.0,18.749999999999996,9.25
6,14647,439,10,8,start,30.0,18.749999999999996,9.25
