sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,10,0,137,4,PICKED,picked for inspection
1,10,0,137,4,ACCEPTED,accepted for execution
2,14,80,336,3,PICKED,picked for inspection
2,14,80,336,3,ACCEPTED,accepted for execution
2,9016,104,47,10,PICKED,picked for inspection
2,9016,104,47,10,REJECTED,Tiffany cannot finish task within the remaining time
2,9016,104,80,10,PICKED,picked for inspection
2,9016,104,80,10,REJECTED,Tiffany cannot finish task within the remaining time
2,9016,104,47,10,PICKED,no other tasks could be accepted-trying to break this task
2,9016,104,47,7,ACCEPTED,broke task into smaller parts-accepted for execution
2,9016,104,47,7,ACCEPTED,accepted for execution
3,10,160,263,2,PICKED,picked for inspection
3,10,160,263,2,ACCEPTED,accepted for execution
3,6013,176,222,10,PICKED,picked for inspection
3,6013,176,222,10,REJECTED,Tiffany cannot finish task within the remaining time
3,6013,176,115,10,PICKED,picked for inspection
3,6013,176,115,10,REJECTED,Tiffany cannot finish task within the remaining time
3,6013,176,222,10,PICKED,no other tasks could be accepted-trying to break this task
3,6013,176,222,10,REJECTED,could not break this task-Tiffany finished for this sprint
4,13,240,162,1,PICKED,picked for inspection
4,13,240,162,1,ACCEPTED,accepted for execution
4,3018,248,174,7,PICKED,picked for inspection
4,3018,248,174,7,ACCEPTED,accepted for execution
5,0,320,322,1,PICKED,picked for inspection
5,0,320,322,1,ACCEPTED,accepted for execution
5,3012,328,86,10,PICKED,picked for inspection
5,3012,328,86,10,REJECTED,Tiffany cannot finish task within the remaining time
5,3012,328,120,6,PICKED,picked for inspection
5,3012,328,120,6,ACCEPTED,accepted for execution
5,3012,328,120,6,ACCEPTED,accepted for execution
6,8,400,267,1,PICKED,picked for inspection
6,8,400,267,1,ACCEPTED,accepted for execution
6,3013,408,310,4,PICKED,picked for inspection
6,3013,408,310,4,ACCEPTED,accepted for execution
6,15015,440,345,6,PICKED,picked for inspection
6,15015,440,345,6,REJECTED,Tiffany cannot finish task within the remaining time
6,15015,440,96,7,PICKED,picked for inspection
6,15015,440,96,7,REJECTED,Tiffany cannot finish task within the remaining time
6,15015,440,11,10,PICKED,picked for inspection
6,15015,440,11,10,REJECTED,Tiffany cannot finish task within the remaining time
6,15015,440,250,9,PICKED,picked for inspection
6,15015,440,250,9,REJECTED,Tiffany cannot finish task within the remaining time
6,15015,440,345,6,PICKED,no other tasks could be accepted-trying to break this task
6,15015,440,345,5,ACCEPTED,broke task into smaller parts-accepted for execution
6,15015,440,345,5,ACCEPTED,accepted for execution
7,4,480,85,2,PICKED,picked for inspection
7,4,480,85,2,ACCEPTED,accepted for execution
7,1883,485,238,3,PICKED,picked for inspection
7,1883,485,238,3,ACCEPTED,accepted for execution
7,7135,499,55,7,PICKED,picked for inspection
7,7135,499,55,7,ACCEPTED,accepted for execution
7,13890,517,380,9,PICKED,picked for inspection
7,13890,517,380,9,ACCEPTED,accepted for execution
8,10,560,76,1,PICKED,picked for inspection
8,10,560,76,1,ACCEPTED,accepted for execution
8,769,562,154,3,PICKED,picked for inspection
8,769,562,154,3,ACCEPTED,accepted for execution
8,3772,570,265,6,PICKED,picked for inspection
8,3772,570,265,6,ACCEPTED,accepted for execution
