sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,0,0,121,9,PICKED,picked for inspection
1,0,0,121,9,ACCEPTED,accepted for execution
1,5254,14,253,9,PICKED,picked for inspection
1,5254,14,253,9,ACCEPTED,accepted for execution
2,19,80,192,6,PICKED,picked for inspection
2,19,80,192,6,ACCEPTED,accepted for execution
2,3400,89,260,3,PICKED,picked for inspection
2,3400,89,260,3,ACCEPTED,accepted for execution
2,4904,93,195,9,PICKED,picked for inspection
2,4904,93,195,9,ACCEPTED,accepted for execution
3,39,160,321,1,PICKED,picked for inspection
3,39,160,321,1,ACCEPTED,accepted for execution
3,423,161,331,2,PICKED,picked for inspection
3,423,161,331,2,ACCEPTED,accepted for execution
3,1552,164,47,10,PICKED,picked for inspection
3,1552,164,47,10,ACCEPTED,accepted for execution
3,7554,180,222,10,PICKED,picked for inspection
3,7554,180,222,10,ACCEPTED,accepted for execution
4,0,240,162,1,PICKED,picked for inspection
4,0,240,162,1,ACCEPTED,accepted for execution
4,387,241,305,1,PICKED,picked for inspection
4,387,241,305,1,ACCEPTED,accepted for execution
4,764,242,26,9,PICKED,picked for inspection
4,764,242,26,9,ACCEPTED,accepted for execution
4,6017,256,295,7,PICKED,picked for inspection
4,6017,256,295,7,ACCEPTED,accepted for execution
4,10144,267,333,6,PICKED,picked for inspection
4,10144,267,333,6,ACCEPTED,accepted for execution
5,5,320,4,3,PICKED,picked for inspection
5,5,320,4,3,ACCEPTED,accepted for execution
5,1508,324,215,10,PICKED,picked for inspection
5,1508,324,215,10,ACCEPTED,accepted for execution
5,7510,340,86,10,PICKED,picked for inspection
5,7510,340,86,10,ACCEPTED,accepted for execution
6,9,400,339,6,PICKED,picked for inspection
6,9,400,339,6,ACCEPTED,accepted for execution
6,3387,409,147,8,PICKED,picked for inspection
6,3387,409,147,8,ACCEPTED,accepted for execution
6,7890,421,25,4,PICKED,picked for inspection
6,7890,421,25,4,ACCEPTED,accepted for execution
7,0,480,96,7,PICKED,picked for inspection
7,0,480,96,7,ACCEPTED,accepted for execution
7,4129,491,53,3,PICKED,picked for inspection
7,4129,491,53,3,ACCEPTED,accepted for execution
7,5633,495,15,8,PICKED,picked for inspection
7,5633,495,15,8,ACCEPTED,accepted for execution
8,0,560,11,10,PICKED,picked for inspection
8,0,560,11,10,ACCEPTED,accepted for execution
8,6007,576,46,7,PICKED,picked for inspection
8,6007,576,46,7,ACCEPTED,accepted for execution
9,2,640,220,3,PICKED,picked for inspection
9,2,640,220,3,ACCEPTED,accepted for execution
9,1505,644,256,10,PICKED,picked for inspection
9,1505,644,256,10,ACCEPTED,accepted for execution
9,7507,660,111,4,PICKED,picked for inspection
9,7507,660,111,4,ACCEPTED,accepted for execution
9,9759,666,36,3,PICKED,picked for inspection
9,9759,666,36,3,ACCEPTED,accepted for execution
9,11262,670,146,6,PICKED,picked for inspection
9,11262,670,146,6,ACCEPTED,accepted for execution
9,14642,679,280,3,PICKED,picked for inspection
9,14642,679,280,3,ACCEPTED,accepted for execution
9,16145,683,2,6,PICKED,picked for inspection
9,16145,683,2,6,ACCEPTED,accepted for execution
10,9,720,211,2,PICKED,picked for inspection
10,9,720,211,2,ACCEPTED,accepted for execution
10,1138,723,177,5,PICKED,picked for inspection
10,1138,723,177,5,ACCEPTED,accepted for execution
10,4145,731,41,6,PICKED,picked for inspection
10,4145,731,41,6,ACCEPTED,accepted for execution
10,7531,740,10,8,PICKED,picked for inspection
10,7531,740,10,8,ACCEPTED,accepted for execution
10,12034,752,273,1,PICKED,picked for inspection
10,12034,752,273,1,ACCEPTED,accepted for execution
10,12412,753,364,2,PICKED,picked for inspection
10,12412,753,364,2,ACCEPTED,accepted for execution
10,13540,756,69,5,PICKED,picked for inspection
10,13540,756,69,5,ACCEPTED,accepted for execution
10,16544,764,160,9,PICKED,picked for inspection
10,16544,764,160,9,ACCEPTED,accepted for execution
10,21797,778,266,9,PICKED,picked for inspection
10,21797,778,266,9,ACCEPTED,accepted for execution
11,15,800,395,3,PICKED,picked for inspection
11,15,800,395,3,ACCEPTED,accepted for execution
11,1517,804,296,9,PICKED,picked for inspection
11,1517,804,296,9,ACCEPTED,accepted for execution
11,6770,818,223,9,PICKED,picked for inspection
11,6770,818,223,9,ACCEPTED,accepted for execution
11,12028,832,164,3,PICKED,picked for inspection
11,12028,832,164,3,ACCEPTED,accepted for execution
11,13530,836,139,3,PICKED,picked for inspection
11,13530,836,139,3,ACCEPTED,accepted for execution
11,15034,840,237,3,PICKED,picked for inspection
11,15034,840,237,3,ACCEPTED,accepted for execution
11,16537,844,337,3,PICKED,picked for inspection
11,16537,844,337,3,ACCEPTED,accepted for execution
11,18048,848,358,3,PICKED,picked for inspection
11,18048,848,358,3,ACCEPTED,accepted for execution
11,19550,852,257,9,PICKED,picked for inspection
11,19550,852,257,9,ACCEPTED,accepted for execution
11,24803,866,286,5,PICKED,picked for inspection
11,24803,866,286,5,ACCEPTED,accepted for execution
12,20,880,59,1,PICKED,picked for inspection
12,20,880,59,1,ACCEPTED,accepted for execution
12,406,881,79,2,PICKED,picked for inspection
12,406,881,79,2,ACCEPTED,accepted for execution
12,1534,884,196,1,PICKED,picked for inspection
12,1534,884,196,1,ACCEPTED,accepted for execution
12,1913,885,197,2,PICKED,picked for inspection
12,1913,885,197,2,ACCEPTED,accepted for execution
12,3040,888,170,4,PICKED,picked for inspection
12,3040,888,170,4,ACCEPTED,accepted for execution
12,5293,894,354,3,PICKED,picked for inspection
12,5293,894,354,3,ACCEPTED,accepted for execution
12,6796,898,77,7,PICKED,picked for inspection
12,6796,898,77,7,ACCEPTED,accepted for execution
12,10923,909,206,4,PICKED,picked for inspection
12,10923,909,206,4,ACCEPTED,accepted for execution
12,13176,915,328,5,PICKED,picked for inspection
12,13176,915,328,5,ACCEPTED,accepted for execution
12,16178,923,269,3,PICKED,picked for inspection
12,16178,923,269,3,ACCEPTED,accepted for execution
12,17680,927,49,9,PICKED,picked for inspection
12,17680,927,49,9,ACCEPTED,accepted for execution
12,22934,941,300,3,PICKED,picked for inspection
12,22934,941,300,3,ACCEPTED,accepted for execution
12,24437,945,158,4,PICKED,picked for inspection
12,24437,945,158,4,ACCEPTED,accepted for execution
13,14,960,184,7,PICKED,picked for inspection
13,14,960,184,7,ACCEPTED,accepted for execution
13,4143,971,54,1,PICKED,picked for inspection
13,4143,971,54,1,ACCEPTED,accepted for execution
13,4522,972,289,2,PICKED,picked for inspection
13,4522,972,289,2,ACCEPTED,accepted for execution
13,5647,975,183,9,PICKED,picked for inspection
13,5647,975,183,9,ACCEPTED,accepted for execution
13,10898,989,136,3,PICKED,picked for inspection
13,10898,989,136,3,ACCEPTED,accepted for execution
13,12401,993,240,2,PICKED,picked for inspection
13,12401,993,240,2,ACCEPTED,accepted for execution
13,13528,996,255,7,PICKED,picked for inspection
13,13528,996,255,7,ACCEPTED,accepted for execution
13,17658,1007,244,10,PICKED,picked for inspection
13,17658,1007,244,10,ACCEPTED,accepted for execution
14,24,1040,341,10,PICKED,picked for inspection
14,24,1040,341,10,ACCEPTED,accepted for execution
14,6025,1056,216,6,PICKED,picked for inspection
14,6025,1056,216,6,ACCEPTED,accepted for execution
14,9411,1065,19,2,PICKED,picked for inspection
14,9411,1065,19,2,ACCEPTED,accepted for execution
14,10538,1068,355,5,PICKED,picked for inspection
14,10538,1068,355,5,ACCEPTED,accepted for execution
14,13542,1076,213,4,PICKED,picked for inspection
14,13542,1076,213,4,ACCEPTED,accepted for execution
14,15794,1082,157,8,PICKED,picked for inspection
14,15794,1082,157,8,ACCEPTED,accepted for execution
14,20300,1094,78,9,PICKED,picked for inspection
14,20300,1094,78,9,ACCEPTED,accepted for execution
15,42,1120,385,7,PICKED,picked for inspection
15,42,1120,385,7,ACCEPTED,accepted for execution
15,4178,1131,202,2,PICKED,picked for inspection
15,4178,1131,202,2,ACCEPTED,accepted for execution
15,5305,1134,304,8,PICKED,picked for inspection
15,5305,1134,304,8,ACCEPTED,accepted for execution
15,9807,1146,29,5,PICKED,picked for inspection
15,9807,1146,29,5,ACCEPTED,accepted for execution
15,12810,1154,56,6,PICKED,picked for inspection
15,12810,1154,56,6,ACCEPTED,accepted for execution
15,16188,1163,326,2,PICKED,picked for inspection
15,16188,1163,326,2,ACCEPTED,accepted for execution
15,17317,1166,373,5,PICKED,picked for inspection
15,17317,1166,373,5,ACCEPTED,accepted for execution
15,20319,1174,168,6,PICKED,picked for inspection
15,20319,1174,168,6,ACCEPTED,accepted for execution
