sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,26,0,283,2,start,0.1,21.0,0.1
1,1901,5,283,2,end,0.1,21.3,0.4
1,1905,5,253,9,start,0.1,21.3,0.4
1,7155,19,253,9,end,0.1,22.650000000000002,0.4
1,7158,19,209,7,start,0.1,22.650000000000002,0.4
1,28158,75,209,7,end,1.1500000000000001,22.650000000000002,0.4
2,11,80,336,3,start,1.1500000000000001,22.650000000000002,0.4
2,3011,88,336,3,end,1.6,23.1,0.4
2,3013,88,195,9,start,1.6,23.1,0.4
2,8264,102,195,9,end,1.6,24.450000000000003,0.4
3,11,160,58,1,start,1.6,24.450000000000003,0.4
3,1136,163,58,1,end,1.75,24.6,0.55
3,1140,163,331,2,start,1.75,24.6,0.55
3,3016,168,331,2,end,2.05,24.900000000000002,0.55
3,3018,168,305,1,start,2.05,24.900000000000002,0.55
3,3768,170,305,1,end,2.05,25.05,0.7000000000000001
3,3770,170,329,4,start,2.05,25.05,0.7000000000000001
3,7521,180,329,4,end,2.65,25.650000000000002,0.7000000000000001
3,7524,180,26,9,start,2.65,25.650000000000002,0.7000000000000001
3,16524,204,26,9,end,4.0,27.000000000000004,0.7000000000000001
3,16527,204,333,6,start,4.0,27.000000000000004,0.7000000000000001
3,19903,213,333,6,end,4.0,27.900000000000002,0.7000000000000001
3,19906,213,342,1,start,4.0,27.900000000000002,0.7000000000000001
3,22906,221,342,1,end,4.0,27.900000000000002,0.8500000000000001
4,17,240,250,9,start,4.0,27.900000000000002,0.8500000000000001
4,11267,270,250,9,end,5.35,29.250000000000004,2.2
4,11269,270,310,4,start,5.35,29.250000000000004,2.2
4,15019,280,310,4,end,5.35,29.850000000000005,2.8000000000000003
4,15021,280,396,8,start,5.35,29.850000000000005,2.8000000000000003
4,22896,301,396,8,end,5.35,30.0,4.0
4,22899,301,392,9,start,5.35,30.0,4.0
4,28150,315,392,9,end,5.35,30.0,4.0
5,13,320,376,8,start,5.35,30.0,4.0
5,7888,341,376,8,end,6.55,30.0,5.2
5,7891,341,163,7,start,6.55,30.0,5.2
5,14641,359,163,7,end,7.6,30.0,6.25
5,14644,359,349,6,start,7.6,30.0,6.25
5,20644,375,349,6,end,8.5,30.0,7.15
5,20646,375,388,1,start,8.5,30.0,7.15
