sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,0,0,121,9,PICKED,picked for inspection
1,0,0,121,9,ACCEPTED,accepted for execution
1,7129,19,95,2,PICKED,picked for inspection
1,7129,19,95,2,ACCEPTED,accepted for execution
1,8257,22,209,2,PICKED,picked for inspection
1,8257,22,209,2,ACCEPTED,accepted for execution
2,7,80,192,6,PICKED,picked for inspection
2,7,80,192,6,ACCEPTED,accepted for execution
2,3384,89,275,3,PICKED,picked for inspection
2,3384,89,275,3,ACCEPTED,accepted for execution
2,4888,93,97,3,PICKED,picked for inspection
2,4888,93,97,3,ACCEPTED,accepted for execution
2,6392,97,87,9,PICKED,picked for inspection
2,6392,97,87,9,ACCEPTED,accepted for execution
3,28,160,68,7,PICKED,picked for inspection
3,28,160,68,7,ACCEPTED,accepted for execution
3,4163,171,84,6,PICKED,picked for inspection
3,4163,171,84,6,ACCEPTED,accepted for execution
3,7540,180,319,5,PICKED,picked for inspection
3,7540,180,319,5,ACCEPTED,accepted for execution
3,12417,193,165,7,PICKED,picked for inspection
3,12417,193,165,7,ACCEPTED,accepted for execution
3,16544,204,37,6,PICKED,picked for inspection
3,16544,204,37,6,ACCEPTED,accepted for execution
3,19922,213,103,5,PICKED,picked for inspection
3,19922,213,103,5,ACCEPTED,accepted for execution
4,17,240,287,1,PICKED,picked for inspection
4,17,240,287,1,ACCEPTED,accepted for execution
4,770,242,30,7,PICKED,picked for inspection
4,770,242,30,7,ACCEPTED,accepted for execution
4,7522,260,343,9,PICKED,picked for inspection
4,7522,260,343,9,ACCEPTED,accepted for execution
4,16526,284,25,4,PICKED,picked for inspection
4,16526,284,25,4,ACCEPTED,accepted for execution
4,18780,290,145,9,PICKED,picked for inspection
4,18780,290,145,9,REJECTED,Mostafa cannot finish task within the remaining time
4,18780,290,392,9,PICKED,picked for inspection
4,18780,290,392,9,REJECTED,Mostafa cannot finish task within the remaining time
4,18780,290,200,5,PICKED,picked for inspection
4,18780,290,200,5,ACCEPTED,accepted for execution
4,18780,290,200,5,ACCEPTED,accepted for execution
4,21783,298,392,9,PICKED,picked for inspection
4,21783,298,392,9,REJECTED,Mostafa cannot finish task within the remaining time
4,21783,298,258,1,PICKED,picked for inspection
4,21783,298,258,1,ACCEPTED,accepted for execution
4,21783,298,258,1,ACCEPTED,accepted for execution
4,22161,299,392,9,PICKED,picked for inspection
4,22161,299,392,9,REJECTED,Mostafa cannot finish task within the remaining time
4,22161,299,212,10,PICKED,picked for inspection
4,22161,299,212,10,ACCEPTED,accepted for execution
4,22161,299,212,10,ACCEPTED,accepted for execution
5,18,320,345,6,PICKED,picked for inspection
5,18,320,345,6,ACCEPTED,accepted for execution
5,4896,333,282,4,PICKED,picked for inspection
5,4896,333,282,4,ACCEPTED,accepted for execution
5,7902,341,380,9,PICKED,picked for inspection
5,7902,341,380,9,ACCEPTED,accepted for execution
5,14654,359,98,6,PICKED,picked for inspection
5,14654,359,98,6,ACCEPTED,accepted for execution
5,19157,371,348,6,PICKED,picked for inspection
5,19157,371,348,6,ACCEPTED,accepted for execution
5,25160,387,14,8,PICKED,picked for inspection
5,25160,387,14,8,ACCEPTED,accepted for execution
6,20,400,105,8,PICKED,picked for inspection
6,20,400,105,8,ACCEPTED,accepted for execution
6,5278,414,350,2,PICKED,picked for inspection
6,5278,414,350,2,ACCEPTED,accepted for execution
6,6780,418,177,5,PICKED,picked for inspection
6,6780,418,177,5,ACCEPTED,accepted for execution
6,10534,428,364,2,PICKED,picked for inspection
6,10534,428,364,2,ACCEPTED,accepted for execution
6,12036,432,242,7,PICKED,picked for inspection
6,12036,432,242,7,ACCEPTED,accepted for execution
6,17290,446,41,6,PICKED,picked for inspection
6,17290,446,41,6,ACCEPTED,accepted for execution
6,23294,462,2,6,PICKED,picked for inspection
6,23294,462,2,6,ACCEPTED,accepted for execution
7,7,480,317,6,PICKED,picked for inspection
7,7,480,317,6,ACCEPTED,accepted for execution
7,4511,492,262,7,PICKED,picked for inspection
7,4511,492,262,7,ACCEPTED,accepted for execution
7,9769,506,266,9,PICKED,picked for inspection
7,9769,506,266,9,ACCEPTED,accepted for execution
7,18773,530,369,6,PICKED,picked for inspection
7,18773,530,369,6,ACCEPTED,accepted for execution
7,24776,546,340,10,PICKED,picked for inspection
7,24776,546,340,10,REJECTED,Mostafa cannot finish task within the remaining time
7,24776,546,229,10,PICKED,picked for inspection
7,24776,546,229,10,REJECTED,Mostafa cannot finish task within the remaining time
7,24776,546,340,10,PICKED,no other tasks could be accepted-trying to break this task
7,24776,546,340,10,REJECTED,could not break this task-Mostafa finished for this sprint
8,42,560,312,4,PICKED,picked for inspection
8,42,560,312,4,ACCEPTED,accepted for execution
8,2679,567,359,2,PICKED,picked for inspection
8,2679,567,359,2,ACCEPTED,accepted for execution
8,4182,571,389,3,PICKED,picked for inspection
8,4182,571,389,3,ACCEPTED,accepted for execution
8,6441,577,358,3,PICKED,picked for inspection
8,6441,577,358,3,ACCEPTED,accepted for execution
8,8695,583,365,3,PICKED,picked for inspection
8,8695,583,365,3,ACCEPTED,accepted for execution
8,10947,589,354,3,PICKED,picked for inspection
8,10947,589,354,3,ACCEPTED,accepted for execution
8,12449,593,59,1,PICKED,picked for inspection
8,12449,593,59,1,ACCEPTED,accepted for execution
8,12827,594,196,1,PICKED,picked for inspection
8,12827,594,196,1,ACCEPTED,accepted for execution
8,13204,595,340,7,PICKED,picked for inspection
8,13204,595,340,7,ACCEPTED,accepted for execution
8,17332,606,383,6,PICKED,picked for inspection
8,17332,606,383,6,ACCEPTED,accepted for execution
9,9,640,188,7,PICKED,picked for inspection
9,9,640,188,7,ACCEPTED,accepted for execution
9,4139,651,172,10,PICKED,picked for inspection
9,4139,651,172,10,ACCEPTED,accepted for execution
9,10147,667,327,1,PICKED,picked for inspection
9,10147,667,327,1,ACCEPTED,accepted for execution
9,10524,668,148,4,PICKED,picked for inspection
9,10524,668,148,4,ACCEPTED,accepted for execution
9,12778,674,91,1,PICKED,picked for inspection
9,12778,674,91,1,ACCEPTED,accepted for execution
9,13156,675,122,1,PICKED,picked for inspection
9,13156,675,122,1,ACCEPTED,accepted for execution
9,13533,676,261,6,PICKED,picked for inspection
9,13533,676,261,6,ACCEPTED,accepted for execution
9,16910,685,399,8,PICKED,picked for inspection
9,16910,685,399,8,ACCEPTED,accepted for execution
10,12,720,255,7,PICKED,picked for inspection
10,12,720,255,7,ACCEPTED,accepted for execution
10,4143,731,136,3,PICKED,picked for inspection
10,4143,731,136,3,ACCEPTED,accepted for execution
10,5651,735,73,10,PICKED,picked for inspection
10,5651,735,73,10,ACCEPTED,accepted for execution
10,11655,751,334,10,PICKED,picked for inspection
10,11655,751,334,10,ACCEPTED,accepted for execution
10,17657,767,240,2,PICKED,picked for inspection
10,17657,767,240,2,ACCEPTED,accepted for execution
10,18789,770,27,4,PICKED,picked for inspection
10,18789,770,27,4,ACCEPTED,accepted for execution
11,12,800,67,2,PICKED,picked for inspection
11,12,800,67,2,ACCEPTED,accepted for execution
11,1141,803,239,10,PICKED,picked for inspection
11,1141,803,239,10,ACCEPTED,accepted for execution
11,7146,819,218,1,PICKED,picked for inspection
11,7146,819,218,1,ACCEPTED,accepted for execution
11,7529,820,285,1,PICKED,picked for inspection
11,7529,820,285,1,ACCEPTED,accepted for execution
11,7908,821,394,3,PICKED,picked for inspection
11,7908,821,394,3,ACCEPTED,accepted for execution
11,9411,825,213,4,PICKED,picked for inspection
11,9411,825,213,4,ACCEPTED,accepted for execution
11,11664,831,225,8,PICKED,picked for inspection
11,11664,831,225,8,ACCEPTED,accepted for execution
11,16167,843,5,6,PICKED,picked for inspection
11,16167,843,5,6,ACCEPTED,accepted for execution
11,19544,852,152,1,PICKED,picked for inspection
11,19544,852,152,1,ACCEPTED,accepted for execution
11,19923,853,194,5,PICKED,picked for inspection
11,19923,853,194,5,ACCEPTED,accepted for execution
12,12,880,205,9,PICKED,picked for inspection
12,12,880,205,9,ACCEPTED,accepted for execution
12,5264,894,375,9,PICKED,picked for inspection
12,5264,894,375,9,ACCEPTED,accepted for execution
12,10518,908,132,7,PICKED,picked for inspection
12,10518,908,132,7,ACCEPTED,accepted for execution
12,14646,919,304,8,PICKED,picked for inspection
12,14646,919,304,8,ACCEPTED,accepted for execution
