sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,6,0,327,1,start,6.0,6.0,6.0
1,756,2,327,1,end,6.15,6.15,6.0
1,758,2,366,5,start,6.15,6.15,6.0
1,5633,15,366,5,end,6.15,6.9,6.75
1,5637,15,348,6,start,6.15,6.9,6.75
1,11637,31,348,6,end,6.15,7.800000000000001,6.75
2,43,80,240,2,start,6.15,7.800000000000001,6.75
2,1918,85,240,2,end,6.45,8.100000000000001,6.75
2,1921,85,294,10,start,6.45,8.100000000000001,6.75
2,11671,111,294,10,end,7.95,8.100000000000001,8.25
2,11675,111,111,4,start,7.95,8.100000000000001,8.25
2,15425,121,111,4,end,7.95,8.700000000000001,8.25
2,15427,121,171,6,start,7.95,8.700000000000001,8.25
2,21428,137,171,6,end,7.95,9.600000000000001,8.25
3,15,160,52,1,start,7.95,9.600000000000001,8.25
3,765,162,52,1,end,8.1,9.750000000000002,8.4
3,767,162,122,1,start,8.1,9.750000000000002,8.4
3,1517,164,122,1,end,8.25,9.900000000000002,8.4
3,1520,164,248,1,start,8.25,9.900000000000002,8.4
3,2271,166,248,1,end,8.4,9.900000000000002,8.55
3,2272,166,199,8,start,8.4,9.900000000000002,8.55
3,10148,187,199,8,end,9.6,9.900000000000002,9.75
3,10151,187,141,8,start,9.6,9.900000000000002,9.75
3,18026,208,141,8,end,9.6,9.900000000000002,10.95
3,18038,208,341,10,start,9.6,9.900000000000002,10.95
3,27788,234,341,10,end,9.6,9.900000000000002,12.45
4,30,240,89,2,start,9.6,9.900000000000002,12.45
4,1906,245,89,2,end,9.9,10.200000000000003,12.75
4,1908,245,18,1,start,9.9,10.200000000000003,12.75
4,2658,247,18,1,end,10.05,10.350000000000003,12.9
4,2660,247,281,3,start,10.05,10.350000000000003,12.9
4,5661,255,281,3,end,10.5,10.800000000000002,13.35
4,5664,255,166,7,start,10.5,10.800000000000002,13.35
4,12414,273,166,7,end,11.55,11.850000000000003,13.35
4,12418,273,45,9,start,11.55,11.850000000000003,13.35
4,21418,297,45,9,end,12.9,11.850000000000003,14.7
4,21421,297,139,3,start,12.9,11.850000000000003,14.7
4,24421,305,139,3,end,13.35,11.850000000000003,14.7
4,24424,305,311,5,start,13.35,11.850000000000003,14.7
4,29299,318,311,5,end,13.35,12.600000000000003,14.7
5,20,320,320,6,start,13.35,12.600000000000003,14.7
5,6020,336,320,6,end,14.25,13.500000000000004,15.6
5,6025,336,167,4,start,14.25,13.500000000000004,15.6
5,9775,346,167,4,end,14.25,14.100000000000003,16.2
5,9777,346,365,3,start,14.25,14.100000000000003,16.2
5,12777,354,365,3,end,14.7,14.550000000000002,16.2
5,12779,354,220,3,start,14.7,14.550000000000002,16.2
5,15779,362,220,3,end,15.149999999999999,14.550000000000002,16.65
5,15781,362,87,9,start,15.149999999999999,14.550000000000002,16.65
5,24781,386,87,9,end,15.149999999999999,14.550000000000002,18.0
5,24784,386,249,5,start,15.149999999999999,14.550000000000002,18.0
5,29660,399,249,5,end,15.899999999999999,14.550000000000002,18.0
6,34,400,81,5,start,15.899999999999999,14.550000000000002,18.0
6,4909,413,81,5,end,16.65,15.300000000000002,18.75
6,4915,413,13,1,start,16.65,15.300000000000002,18.75
6,5666,415,13,1,end,16.799999999999997,15.450000000000003,18.75
6,5670,415,217,4,start,16.799999999999997,15.450000000000003,18.75
6,9420,425,217,4,end,17.4,15.450000000000003,19.35
6,9424,425,72,5,start,17.4,15.450000000000003,19.35
6,14299,438,72,5,end,17.4,16.200000000000003,20.1
6,14303,438,172,10,start,17.4,16.200000000000003,20.1
6,21803,458,172,10,end,17.4,17.700000000000003,21.6
6,21806,458,303,10,start,17.4,17.700000000000003,21.6
6,27806,474,303,10,end,17.4,17.700000000000003,23.1
7,21,480,198,6,start,17.4,17.700000000000003,23.1
7,4521,492,198,6,end,17.4,18.6,24.0
7,4532,492,371,1,start,17.4,18.6,24.0
7,5282,494,371,1,end,17.549999999999997,18.6,24.15
7,5286,494,272,9,start,17.549999999999997,18.6,24.15
7,12036,512,272,9,end,17.549999999999997,19.950000000000003,25.5
7,12039,512,62,10,start,17.549999999999997,19.950000000000003,25.5
7,18040,528,62,10,end,17.549999999999997,19.950000000000003,27.0
8,10,560,20,7,start,17.549999999999997,19.950000000000003,27.0
8,5635,575,20,7,end,18.599999999999998,21.000000000000004,28.05
8,5637,575,38,6,start,18.599999999999998,21.000000000000004,28.05
8,9013,584,38,6,end,18.599999999999998,21.900000000000002,28.95
8,9016,584,93,3,start,18.599999999999998,21.900000000000002,28.95
8,10517,588,93,3,end,18.599999999999998,22.35,29.4
8,10519,588,260,3,start,18.599999999999998,22.35,29.4
8,12020,592,260,3,end,18.599999999999998,22.35,29.849999999999998
8,12022,592,244,10,start,18.599999999999998,22.35,29.849999999999998
8,18022,608,244,10,end,18.599999999999998,23.85,29.849999999999998
8,18025,608,265,6,start,18.599999999999998,23.85,29.849999999999998
8,21400,617,265,6,end,18.599999999999998,24.75,29.849999999999998
9,32,640,356,10,start,18.599999999999998,24.75,29.849999999999998
9,7532,660,356,10,end,20.099999999999998,26.25,29.849999999999998
9,7535,660,301,6,start,20.099999999999998,26.25,29.849999999999998
9,10911,669,301,6,end,20.999999999999996,27.15,29.849999999999998
9,10915,669,380,9,start,20.999999999999996,27.15,29.849999999999998
9,16165,683,380,9,end,22.349999999999998,28.5,29.849999999999998
9,16167,683,234,3,start,22.349999999999998,28.5,29.849999999999998
9,17667,687,234,3,end,22.349999999999998,28.95,29.849999999999998
9,17670,687,5,6,start,22.349999999999998,28.95,29.849999999999998
9,21046,696,5,6,end,22.349999999999998,29.849999999999998,29.849999999999998
9,21049,696,274,4,start,22.349999999999998,29.849999999999998,29.849999999999998
9,23299,702,274,4,end,22.95,29.849999999999998,29.849999999999998
10,14,720,204,1,start,22.95,29.849999999999998,29.849999999999998
10,390,721,204,1,end,23.099999999999998,29.849999999999998,29.999999999999996
10,394,721,322,1,start,23.099999999999998,29.849999999999998,29.999999999999996
10,769,722,322,1,end,23.249999999999996,29.999999999999996,29.999999999999996
10,772,722,352,1,start,23.249999999999996,29.999999999999996,29.999999999999996
10,1148,723,352,1,end,23.399999999999995,29.999999999999996,30.0
10,1150,723,364,2,start,23.399999999999995,29.999999999999996,30.0
10,2276,726,364,2,end,23.699999999999996,30.0,30.0
10,2280,726,293,5,start,23.699999999999996,30.0,30.0
10,5280,734,293,5,end,24.449999999999996,30.0,30.0
10,5282,734,275,3,start,24.449999999999996,30.0,30.0
10,6782,738,275,3,end,24.899999999999995,30.0,30.0
10,6784,738,229,10,start,24.899999999999995,30.0,30.0
