sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_247,247,1,7,BackEnd
RandomTask_56,56,1,6,Design FrontEnd
RandomTask_397,397,1,7,BackEnd FrontEnd
RandomTask_386,386,1,5,BackEnd
RandomTask_381,381,1,3,Design
RandomTask_129,129,1,3,Design
RandomTask_42,42,1,5,BackEnd
RandomTask_23,23,1,10,Design
RandomTask_58,58,1,1,BackEnd Design FrontEnd
RandomTask_354,354,1,3,Design FrontEnd
RandomTask_123,123,1,10,Design
RandomTask_385,385,1,7,Design FrontEnd
RandomTask_83,83,1,3,BackEnd Design
RandomTask_384,384,1,1,BackEnd
RandomTask_393,393,1,10,BackEnd Design
RandomTask_237,237,1,3,BackEnd
RandomTask_132,132,1,7,BackEnd FrontEnd
RandomTask_184,184,1,7,BackEnd FrontEnd
RandomTask_103,103,1,5,Design
RandomTask_318,318,1,6,BackEnd FrontEnd
RandomTask_253,253,1,9,FrontEnd
RandomTask_267,267,1,1,BackEnd
RandomTask_309,309,1,7,Design
RandomTask_277,277,1,4,BackEnd Design
RandomTask_362,362,1,10,Design
RandomTask_21,21,1,5,FrontEnd
RandomTask_216,216,1,6,BackEnd FrontEnd
RandomTask_395,395,1,3,Design
RandomTask_105,105,1,8,BackEnd Design FrontEnd
RandomTask_290,290,1,9,BackEnd Design FrontEnd
RandomTask_31,31,1,2,BackEnd FrontEnd
RandomTask_144,144,1,10,Design FrontEnd
RandomTask_321,321,1,1,BackEnd FrontEnd
RandomTask_310,310,1,4,Design FrontEnd
RandomTask_233,233,1,8,BackEnd FrontEnd
RandomTask_305,305,1,1,Design FrontEnd
RandomTask_236,236,1,5,Design FrontEnd
RandomTask_96,96,1,7,BackEnd Design FrontEnd
RandomTask_74,74,1,7,BackEnd Design
RandomTask_295,295,1,7,BackEnd
RandomTask_79,79,1,2,Design FrontEnd
RandomTask_127,127,1,2,Design FrontEnd
RandomTask_8,8,1,2,Design FrontEnd
RandomTask_201,201,1,5,FrontEnd
RandomTask_193,193,1,4,Design FrontEnd
RandomTask_208,208,1,2,Design
RandomTask_284,284,1,10,BackEnd Design FrontEnd
RandomTask_330,330,1,10,BackEnd Design FrontEnd
RandomTask_100,100,1,6,FrontEnd
RandomTask_206,206,1,4,BackEnd
