sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_101,101,1,6,BackEnd
RandomTask_157,157,1,8,BackEnd
RandomTask_261,261,1,6,Design
RandomTask_11,11,1,10,BackEnd FrontEnd
RandomTask_25,25,1,4,BackEnd
RandomTask_228,228,1,2,Design FrontEnd
RandomTask_170,170,1,4,BackEnd Design
RandomTask_391,391,1,2,Design
RandomTask_337,337,1,3,BackEnd FrontEnd
RandomTask_268,268,1,7,BackEnd Design FrontEnd
RandomTask_125,125,1,3,BackEnd
RandomTask_191,191,1,8,Design
RandomTask_222,222,1,10,BackEnd
RandomTask_9,9,1,6,BackEnd Design FrontEnd
RandomTask_334,334,1,10,BackEnd FrontEnd
RandomTask_86,86,1,10,BackEnd
RandomTask_288,288,1,10,BackEnd
RandomTask_116,116,1,10,FrontEnd
RandomTask_388,388,1,1,BackEnd
RandomTask_250,250,1,9,BackEnd Design FrontEnd
RandomTask_30,30,1,7,BackEnd FrontEnd
RandomTask_307,307,1,3,BackEnd Design
RandomTask_379,379,1,1,BackEnd Design
RandomTask_64,64,1,5,BackEnd Design
RandomTask_322,322,1,1,BackEnd FrontEnd
RandomTask_363,363,1,4,BackEnd Design FrontEnd
RandomTask_324,324,1,1,BackEnd
RandomTask_60,60,1,10,Design
RandomTask_262,262,1,7,Design FrontEnd
RandomTask_194,194,1,5,Design FrontEnd
RandomTask_364,364,1,2,BackEnd FrontEnd
RandomTask_215,215,1,10,Design FrontEnd
RandomTask_143,143,1,8,Design
RandomTask_17,17,1,10,Design FrontEnd
RandomTask_156,156,1,5,BackEnd FrontEnd
RandomTask_323,323,1,4,BackEnd FrontEnd
RandomTask_197,197,1,2,BackEnd Design
RandomTask_162,162,1,1,BackEnd Design FrontEnd
RandomTask_183,183,1,9,FrontEnd
RandomTask_292,292,1,1,BackEnd Design FrontEnd
RandomTask_369,369,1,6,FrontEnd
RandomTask_6,6,1,6,BackEnd
RandomTask_351,351,1,2,Design
RandomTask_373,373,1,5,Design
RandomTask_314,314,1,1,BackEnd Design FrontEnd
RandomTask_355,355,1,5,Design
RandomTask_107,107,1,6,FrontEnd
RandomTask_211,211,1,2,Design FrontEnd
