sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,5,0,327,1,start,2.0,25.0,8.0
1,756,2,327,1,end,2.15,25.15,8.0
1,760,2,348,6,start,2.15,25.15,8.0
1,4135,11,348,6,end,2.15,26.049999999999997,8.0
1,4139,11,55,7,start,2.15,26.049999999999997,8.0
1,25139,67,55,7,end,3.2,26.049999999999997,8.0
2,3,80,327,1,start,3.2,26.049999999999997,8.0
2,753,82,327,1,end,3.35,26.199999999999996,8.0
2,753,82,178,3,start,3.35,26.199999999999996,8.0
2,3753,90,178,3,end,3.8,26.649999999999995,8.45
2,3755,90,382,7,start,3.8,26.649999999999995,8.45
2,24755,146,382,7,end,4.85,26.649999999999995,8.45
3,33,160,111,4,start,4.85,26.649999999999995,8.45
3,2283,166,111,4,end,4.85,27.249999999999996,8.45
3,2287,166,70,5,start,4.85,27.249999999999996,8.45
3,7162,179,70,5,end,5.6,27.999999999999996,8.45
3,7165,179,361,10,start,5.6,27.999999999999996,8.45
3,15041,200,361,10,end,7.1,29.499999999999996,9.95
4,22,240,122,1,start,7.1,29.499999999999996,9.95
4,772,242,122,1,end,7.25,29.649999999999995,9.95
4,775,242,240,2,start,7.25,29.649999999999995,9.95
4,2275,246,240,2,end,7.55,29.949999999999996,9.95
4,2279,246,255,7,start,7.55,29.949999999999996,9.95
4,6405,257,255,7,end,7.55,30.0,9.95
4,6408,257,343,9,start,7.55,30.0,9.95
4,13159,275,343,9,end,8.9,30.0,9.95
5,8,320,77,7,start,8.9,30.0,9.95
5,4133,331,77,7,end,8.9,30.0,9.95
5,4136,331,28,6,start,8.9,30.0,9.95
5,8636,343,28,6,end,9.8,30.0,9.95
5,8639,343,166,7,start,9.8,30.0,9.95
5,13889,357,166,7,end,10.850000000000001,30.0,9.95
5,13892,357,118,9,start,10.850000000000001,30.0,9.95
5,20643,375,118,9,end,12.200000000000001,30.0,9.95
6,24,400,117,1,start,12.200000000000001,30.0,9.95
6,400,401,117,1,end,12.200000000000001,30.0,9.95
6,415,401,311,5,start,12.200000000000001,30.0,9.95
6,3415,409,311,5,end,12.200000000000001,30.0,9.95
6,3419,409,89,2,start,12.200000000000001,30.0,9.95
6,4919,413,89,2,end,12.500000000000002,30.0,10.25
6,4923,413,389,3,start,12.500000000000002,30.0,10.25
6,7174,419,389,3,end,12.500000000000002,30.0,10.7
6,7177,419,281,3,start,12.500000000000002,30.0,10.7
6,9427,425,281,3,end,12.950000000000001,30.0,11.149999999999999
6,9430,425,130,6,start,12.950000000000001,30.0,11.149999999999999
6,13930,437,130,6,end,13.850000000000001,30.0,11.149999999999999
6,13936,437,374,7,start,13.850000000000001,30.0,11.149999999999999
6,19187,451,374,7,end,14.900000000000002,30.0,11.149999999999999
6,19190,451,276,10,start,14.900000000000002,30.0,11.149999999999999
6,26690,471,276,10,end,14.900000000000002,30.0,12.649999999999999
7,2,480,76,1,start,14.900000000000002,30.0,12.649999999999999
7,377,481,76,1,end,14.900000000000002,30.0,12.649999999999999
7,380,481,203,6,start,14.900000000000002,30.0,12.649999999999999
7,3756,490,203,6,end,14.900000000000002,30.0,12.649999999999999
7,3760,490,167,4,start,14.900000000000002,30.0,12.649999999999999
7,6760,498,167,4,end,14.900000000000002,30.0,13.249999999999998
7,6767,498,72,5,start,14.900000000000002,30.0,13.249999999999998
7,10517,508,72,5,end,14.900000000000002,30.0,13.999999999999998
7,10524,508,104,7,start,14.900000000000002,30.0,13.999999999999998
7,15774,522,104,7,end,15.950000000000003,30.0,13.999999999999998
7,15780,522,40,6,start,15.950000000000003,30.0,13.999999999999998
7,20655,535,40,6,end,16.85,30.0,14.899999999999999
7,20668,535,80,10,start,16.85,30.0,14.899999999999999
7,28169,555,80,10,end,18.35,30.0,14.899999999999999
8,11,560,59,1,start,18.35,30.0,14.899999999999999
8,386,561,59,1,end,18.35,30.0,14.899999999999999
8,389,561,333,6,start,18.35,30.0,14.899999999999999
8,3764,570,333,6,end,18.35,30.0,14.899999999999999
8,3764,570,266,9,start,18.35,30.0,14.899999999999999
8,9015,584,266,9,end,18.35,30.0,14.899999999999999
8,9020,584,282,4,start,18.35,30.0,14.899999999999999
8,12020,592,282,4,end,18.950000000000003,30.0,14.899999999999999
8,12024,592,177,5,start,18.950000000000003,30.0,14.899999999999999
8,15775,602,177,5,end,19.700000000000003,30.0,14.899999999999999
8,15777,602,161,7,start,19.700000000000003,30.0,14.899999999999999
8,21027,616,161,7,end,20.750000000000004,30.0,14.899999999999999
9,28,640,265,6,start,20.750000000000004,30.0,14.899999999999999
9,3404,649,265,6,end,20.750000000000004,30.0,14.899999999999999
9,3409,649,66,10,start,20.750000000000004,30.0,14.899999999999999
9,9409,665,66,10,end,20.750000000000004,30.0,14.899999999999999
9,9416,665,328,5,start,20.750000000000004,30.0,14.899999999999999
9,12417,673,328,5,end,21.500000000000004,30.0,14.899999999999999
9,12423,673,37,6,start,21.500000000000004,30.0,14.899999999999999
9,15799,682,37,6,end,22.400000000000002,30.0,14.899999999999999
9,15801,682,264,7,start,22.400000000000002,30.0,14.899999999999999
9,19927,693,264,7,end,23.450000000000003,30.0,14.899999999999999
9,19933,693,356,10,start,23.450000000000003,30.0,14.899999999999999
9,25933,709,356,10,end,24.950000000000003,30.0,14.899999999999999
10,15,720,19,2,start,24.950000000000003,30.0,14.899999999999999
10,1140,723,19,2,end,24.950000000000003,30.0,14.899999999999999
10,1144,723,136,3,start,24.950000000000003,30.0,14.899999999999999
10,2645,727,136,3,end,24.950000000000003,30.0,14.899999999999999
10,2651,727,154,3,start,24.950000000000003,30.0,14.899999999999999
10,4151,731,154,3,end,24.950000000000003,30.0,14.899999999999999
10,4151,731,392,9,start,24.950000000000003,30.0,14.899999999999999
10,9401,745,392,9,end,24.950000000000003,30.0,14.899999999999999
10,9404,745,293,5,start,24.950000000000003,30.0,14.899999999999999
10,12405,753,293,5,end,25.700000000000003,30.0,14.899999999999999
10,12411,753,230,9,start,25.700000000000003,30.0,14.899999999999999
10,17661,767,230,9,end,27.050000000000004,30.0,14.899999999999999
10,17664,767,278,9,start,27.050000000000004,30.0,14.899999999999999
10,23665,783,278,9,end,28.400000000000006,30.0,16.25
11,37,800,183,9,start,28.400000000000006,30.0,16.25
11,5287,814,183,9,end,28.400000000000006,30.0,16.25
11,5292,814,162,1,start,28.400000000000006,30.0,16.25
11,5668,815,162,1,end,28.550000000000004,30.0,16.4
11,5671,815,292,1,start,28.550000000000004,30.0,16.4
11,6046,816,292,1,end,28.700000000000003,30.0,16.549999999999997
11,6050,816,197,2,start,28.700000000000003,30.0,16.549999999999997
11,7551,820,197,2,end,29.000000000000004,30.0,16.849999999999998
11,7554,820,323,4,start,29.000000000000004,30.0,16.849999999999998
11,9804,826,323,4,end,29.600000000000005,30.0,16.849999999999998
11,9810,826,101,6,start,29.600000000000005,30.0,16.849999999999998
11,13185,835,101,6,end,30.0,30.0,16.849999999999998
11,13188,835,16,9,start,30.0,30.0,16.849999999999998
11,18439,849,16,9,end,30.0,30.0,16.849999999999998
11,18442,849,334,10,start,30.0,30.0,16.849999999999998
11,24442,865,334,10,end,30.0,30.0,16.849999999999998
12,34,880,267,1,start,30.0,30.0,16.849999999999998
12,410,881,267,1,end,30.0,30.0,16.849999999999998
12,413,881,31,2,start,30.0,30.0,16.849999999999998
12,1539,884,31,2,end,30.0,30.0,16.849999999999998
