sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,5,0,54,1,start,0.1,21.0,0.1
1,380,1,54,1,end,0.1,21.15,0.1
1,384,1,394,3,start,0.1,21.15,0.1
1,1884,5,394,3,end,0.1,21.599999999999998,0.1
1,1888,5,366,5,start,0.1,21.599999999999998,0.1
1,6764,18,366,5,end,0.1,22.349999999999998,0.85
2,12,80,342,1,start,0.1,22.349999999999998,0.85
2,3012,88,342,1,end,0.1,22.349999999999998,1.0
2,3015,88,171,6,start,0.1,22.349999999999998,1.0
2,6390,97,171,6,end,0.1,23.249999999999996,1.0
2,6393,97,343,9,start,0.1,23.249999999999996,1.0
2,15393,121,343,9,end,1.45,24.599999999999998,1.0
3,23,160,99,4,start,1.45,24.599999999999998,1.0
3,2274,166,99,4,end,1.45,25.2,1.0
3,2276,166,398,7,start,1.45,25.2,1.0
3,6401,177,398,7,end,1.45,26.25,1.0
3,6405,177,112,6,start,1.45,26.25,1.0
3,13905,197,112,6,end,2.3499999999999996,27.15,1.9
3,13913,197,50,9,start,2.3499999999999996,27.15,1.9
3,25164,227,50,9,end,3.6999999999999993,28.5,3.25
4,26,240,29,5,start,3.6999999999999993,28.5,3.25
4,3026,248,29,5,end,3.6999999999999993,29.25,3.25
4,3028,248,77,7,start,3.6999999999999993,29.25,3.25
4,7154,259,77,7,end,3.6999999999999993,30.0,3.25
4,7156,259,312,4,start,3.6999999999999993,30.0,3.25
4,12032,272,312,4,end,4.299999999999999,30.0,3.85
4,12035,272,188,7,start,4.299999999999999,30.0,3.85
4,18785,290,188,7,end,4.299999999999999,30.0,4.9
4,18789,290,276,10,start,4.299999999999999,30.0,4.9
4,28540,316,276,10,end,4.299999999999999,30.0,6.4
5,17,320,243,3,start,4.299999999999999,30.0,6.4
5,1517,324,243,3,end,4.299999999999999,30.0,6.4
5,1520,324,283,2,start,4.299999999999999,30.0,6.4
5,3020,328,283,2,end,4.299999999999999,30.0,6.7
5,3024,328,360,3,start,4.299999999999999,30.0,6.7
5,6024,336,360,3,end,4.749999999999999,30.0,6.7
5,6027,336,238,3,start,4.749999999999999,30.0,6.7
5,9027,344,238,3,end,5.199999999999999,30.0,7.15
5,9030,344,69,5,start,5.199999999999999,30.0,7.15
5,12780,354,69,5,end,5.199999999999999,30.0,7.9
5,12784,354,242,7,start,5.199999999999999,30.0,7.9
5,18034,368,242,7,end,5.199999999999999,30.0,8.950000000000001
5,18037,368,128,6,start,5.199999999999999,30.0,8.950000000000001
5,22913,381,128,6,end,6.1,30.0,9.850000000000001
6,17,400,203,6,start,6.1,30.0,9.850000000000001
6,3392,409,203,6,end,6.1,30.0,9.850000000000001
6,3395,409,213,4,start,6.1,30.0,9.850000000000001
6,6395,417,213,4,end,6.1,30.0,10.450000000000001
6,6399,417,151,6,start,6.1,30.0,10.450000000000001
6,10899,429,151,6,end,7.0,30.0,10.450000000000001
6,10905,429,207,7,start,7.0,30.0,10.450000000000001
6,16155,443,207,7,end,7.0,30.0,11.500000000000002
6,16159,443,81,5,start,7.0,30.0,11.500000000000002
6,19909,453,81,5,end,7.75,30.0,12.250000000000002
6,19912,453,80,10,start,7.75,30.0,12.250000000000002
6,27413,473,80,10,end,9.25,30.0,12.250000000000002
7,23,480,90,4,start,9.25,30.0,12.250000000000002
7,2273,486,90,4,end,9.25,30.0,12.250000000000002
7,2276,486,41,6,start,9.25,30.0,12.250000000000002
7,5652,495,41,6,end,9.25,30.0,12.250000000000002
7,5655,495,266,9,start,9.25,30.0,12.250000000000002
7,10906,509,266,9,end,9.25,30.0,12.250000000000002
7,10910,509,48,1,start,9.25,30.0,12.250000000000002
7,11660,511,48,1,end,9.25,30.0,12.400000000000002
7,11664,511,331,2,start,9.25,30.0,12.400000000000002
7,13165,515,331,2,end,9.55,30.0,12.400000000000002
7,13181,515,148,4,start,9.55,30.0,12.400000000000002
7,16182,523,148,4,end,9.55,30.0,13.000000000000002
7,16185,523,161,7,start,9.55,30.0,13.000000000000002
7,21435,537,161,7,end,10.600000000000001,30.0,13.000000000000002
8,20,560,234,3,start,10.600000000000001,30.0,13.000000000000002
8,1521,564,234,3,end,10.600000000000001,30.0,13.000000000000002
8,1529,564,66,10,start,10.600000000000001,30.0,13.000000000000002
8,7530,580,66,10,end,10.600000000000001,30.0,13.000000000000002
8,7534,580,137,4,start,10.600000000000001,30.0,13.000000000000002
8,10534,588,137,4,end,10.600000000000001,30.0,13.600000000000001
8,10537,588,98,6,start,10.600000000000001,30.0,13.600000000000001
8,15037,600,98,6,end,11.500000000000002,30.0,13.600000000000001
8,15040,600,225,8,start,11.500000000000002,30.0,13.600000000000001
8,21040,616,225,8,end,11.500000000000002,30.0,14.8
8,21043,616,356,10,start,11.500000000000002,30.0,14.8
8,28544,636,356,10,end,13.000000000000002,30.0,14.8
9,46,640,154,3,start,13.000000000000002,30.0,14.8
9,1546,644,154,3,end,13.000000000000002,30.0,14.8
9,1550,644,298,2,start,13.000000000000002,30.0,14.8
9,3051,648,298,2,end,13.300000000000002,30.0,14.8
9,3055,648,228,2,start,13.300000000000002,30.0,14.8
9,4556,652,228,2,end,13.300000000000002,30.0,15.100000000000001
9,4559,652,336,3,start,13.300000000000002,30.0,15.100000000000001
9,6809,658,336,3,end,13.750000000000002,30.0,15.100000000000001
9,6812,658,339,6,start,13.750000000000002,30.0,15.100000000000001
9,11312,670,339,6,end,13.750000000000002,30.0,16.0
9,11316,670,16,9,start,13.750000000000002,30.0,16.0
9,18067,688,16,9,end,15.100000000000001,30.0,16.0
9,18070,688,334,10,start,15.100000000000001,30.0,16.0
9,25571,708,334,10,end,16.6,30.0,16.0
10,25,720,369,6,start,16.6,30.0,16.0
10,3400,729,369,6,end,16.6,30.0,16.0
10,3403,729,195,9,start,16.6,30.0,16.0
10,8654,743,195,9,end,16.6,30.0,16.0
10,8657,743,364,2,start,16.6,30.0,16.0
10,10158,747,364,2,end,16.900000000000002,30.0,16.0
10,10161,747,323,4,start,16.900000000000002,30.0,16.0
10,13162,755,323,4,end,17.500000000000004,30.0,16.0
10,13164,755,363,4,start,17.500000000000004,30.0,16.0
10,16164,763,363,4,end,18.100000000000005,30.0,16.6
10,16168,763,262,7,start,18.100000000000005,30.0,16.6
10,21418,777,262,7,end,18.100000000000005,30.0,17.650000000000002
10,21421,777,215,10,start,18.100000000000005,30.0,17.650000000000002
10,28921,797,215,10,end,18.100000000000005,30.0,19.150000000000002
11,24,800,100,6,start,18.100000000000005,30.0,19.150000000000002
11,3400,809,100,6,end,18.100000000000005,30.0,19.150000000000002
11,3403,809,321,1,start,18.100000000000005,30.0,19.150000000000002
11,4154,811,321,1,end,18.250000000000004,30.0,19.150000000000002
11,4163,811,305,1,start,18.250000000000004,30.0,19.150000000000002
11,4913,813,305,1,end,18.250000000000004,30.0,19.3
11,4917,813,31,2,start,18.250000000000004,30.0,19.3
11,6417,817,31,2,end,18.550000000000004,30.0,19.3
11,6421,817,79,2,start,18.550000000000004,30.0,19.3
11,7921,821,79,2,end,18.550000000000004,30.0,19.6
11,7924,821,127,2,start,18.550000000000004,30.0,19.6
11,9424,825,127,2,end,18.550000000000004,30.0,19.900000000000002
11,9428,825,236,5,start,18.550000000000004,30.0,19.900000000000002
11,13178,835,236,5,end,18.550000000000004,30.0,20.650000000000002
11,13181,835,291,4,start,18.550000000000004,30.0,20.650000000000002
11,15807,842,291,4,end,19.150000000000006,30.0,21.250000000000004
11,15809,842,233,8,start,19.150000000000006,30.0,21.250000000000004
11,21810,858,233,8,end,20.350000000000005,30.0,21.250000000000004
11,21813,858,330,10,start,20.350000000000005,30.0,21.250000000000004
11,27814,874,330,10,end,21.850000000000005,30.0,22.750000000000004
