sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_289,289,1,2,1,BackEnd
RandomTask_185,185,1,3,4,FrontEnd
RandomTask_280,280,1,3,6,Design
RandomTask_210,210,1,3,3,BackEnd Design
RandomTask_240,240,1,2,2,BackEnd FrontEnd
RandomTask_342,342,1,1,7,Design
RandomTask_111,111,1,4,4,FrontEnd
RandomTask_332,332,1,5,1,BackEnd
RandomTask_325,325,1,5,3,BackEnd Design
RandomTask_155,155,1,6,6,BackEnd
RandomTask_51,51,1,6,2,FrontEnd
RandomTask_171,171,1,6,7,FrontEnd
RandomTask_316,316,1,4,4,BackEnd FrontEnd
RandomTask_70,70,1,5,1,BackEnd FrontEnd
RandomTask_270,270,1,8,3,BackEnd Design
RandomTask_346,346,1,8,2,FrontEnd
RandomTask_294,294,1,10,6,BackEnd Design
RandomTask_344,344,1,10,1,BackEnd Design
RandomTask_343,343,1,9,7,BackEnd FrontEnd
RandomTask_361,361,1,10,4,BackEnd Design FrontEnd
