sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_22,22,1,3,BackEnd FrontEnd
RandomTask_212,212,1,10,BackEnd
RandomTask_15,15,1,8,BackEnd Design
RandomTask_122,122,1,1,BackEnd FrontEnd
RandomTask_387,387,1,2,BackEnd Design FrontEnd
RandomTask_398,398,1,7,FrontEnd
RandomTask_57,57,1,4,BackEnd Design FrontEnd
RandomTask_99,99,1,4,FrontEnd
RandomTask_315,315,1,3,FrontEnd
RandomTask_248,248,1,1,BackEnd Design
RandomTask_341,341,1,10,Design
RandomTask_52,52,1,1,BackEnd Design FrontEnd
RandomTask_141,141,1,8,Design
RandomTask_163,163,1,7,BackEnd Design
RandomTask_47,47,1,10,BackEnd
