sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,12,0,131,3,start,21.0,6.0,0.1
1,3012,8,131,3,end,21.0,6.45,0.1
1,3016,8,382,7,start,21.0,6.45,0.1
1,7141,19,382,7,end,22.05,6.45,0.1
2,27,80,254,2,start,22.05,6.45,0.1
2,3027,88,254,2,end,22.05,6.75,0.4
2,3030,88,155,6,start,22.05,6.75,0.4
2,6405,97,155,6,end,22.95,6.75,0.4
2,6409,97,255,7,start,22.95,6.75,0.4
2,13160,115,255,7,end,22.95,7.8,0.4
2,13164,115,375,9,start,22.95,7.8,0.4
2,19914,133,375,9,end,24.3,9.15,0.4
3,35,160,368,1,start,24.3,9.15,0.4
3,785,162,368,1,end,24.45,9.15,0.55
3,802,162,138,3,start,24.45,9.15,0.55
3,3802,170,138,3,end,24.9,9.6,1.0
3,3807,170,174,7,start,24.9,9.6,1.0
3,7932,181,174,7,end,25.95,9.6,1.0
3,7935,181,312,4,start,25.95,9.6,1.0
3,11686,191,312,4,end,26.55,10.2,1.6
3,11690,191,163,7,start,26.55,10.2,1.6
3,18440,209,163,7,end,27.6,10.2,2.6500000000000004
3,18442,209,26,9,start,27.6,10.2,2.6500000000000004
3,25192,227,26,9,end,28.950000000000003,11.549999999999999,2.6500000000000004
4,15,240,117,1,start,28.950000000000003,11.549999999999999,2.6500000000000004
4,765,242,117,1,end,28.950000000000003,11.7,2.6500000000000004
4,767,242,180,2,start,28.950000000000003,11.7,2.6500000000000004
4,1892,245,180,2,end,29.250000000000004,11.7,2.6500000000000004
4,1895,245,126,2,start,29.250000000000004,11.7,2.6500000000000004
4,3770,250,126,2,end,29.550000000000004,12.0,2.95
4,3772,250,338,5,start,29.550000000000004,12.0,2.95
4,8647,263,338,5,end,29.550000000000004,12.75,2.95
4,8649,263,238,3,start,29.550000000000004,12.75,2.95
4,11650,271,238,3,end,30.0,13.2,3.4000000000000004
4,11652,271,192,6,start,30.0,13.2,3.4000000000000004
4,17652,287,192,6,end,30.0,13.2,4.300000000000001
4,17655,287,320,6,start,30.0,13.2,4.300000000000001
4,23655,303,320,6,end,30.0,14.1,5.200000000000001
4,23657,303,231,7,start,30.0,14.1,5.200000000000001
4,29282,318,231,7,end,30.0,15.15,6.250000000000001
5,19,320,182,3,start,30.0,15.15,6.250000000000001
5,1519,324,182,3,end,30.0,15.15,6.250000000000001
5,1521,324,246,5,start,30.0,15.15,6.250000000000001
5,4521,332,246,5,end,30.0,15.15,6.250000000000001
5,4524,332,296,9,start,30.0,15.15,6.250000000000001
5,9774,346,296,9,end,30.0,15.15,6.250000000000001
5,9777,346,313,5,start,30.0,15.15,6.250000000000001
5,13527,356,313,5,end,30.0,15.9,7.000000000000001
5,13530,356,252,5,start,30.0,15.9,7.000000000000001
5,17280,366,252,5,end,30.0,16.65,7.750000000000001
5,17283,366,61,9,start,30.0,16.65,7.750000000000001
5,24033,384,61,9,end,30.0,16.65,9.100000000000001
6,10,400,164,3,start,30.0,16.65,9.100000000000001
6,1510,404,164,3,end,30.0,16.65,9.100000000000001
6,1513,404,124,7,start,30.0,16.65,9.100000000000001
6,5638,415,124,7,end,30.0,16.65,9.100000000000001
6,5640,415,282,4,start,30.0,16.65,9.100000000000001
6,8640,423,282,4,end,30.0,17.25,9.100000000000001
6,8642,423,151,6,start,30.0,17.25,9.100000000000001
6,13142,435,151,6,end,30.0,18.15,9.100000000000001
6,13144,435,221,7,start,30.0,18.15,9.100000000000001
6,18394,449,221,7,end,30.0,19.2,9.100000000000001
6,18398,449,34,8,start,30.0,19.2,9.100000000000001
6,24773,466,34,8,end,30.0,20.4,10.3
7,11,480,353,3,start,30.0,20.4,10.3
7,1512,484,353,3,end,30.0,20.4,10.3
7,1514,484,43,4,start,30.0,20.4,10.3
7,3764,490,43,4,end,30.0,20.4,10.3
7,3768,490,328,5,start,30.0,20.4,10.3
7,6768,498,328,5,end,30.0,20.4,10.3
7,6772,498,235,7,start,30.0,20.4,10.3
7,10897,509,235,7,end,30.0,20.4,10.3
7,10900,509,227,5,start,30.0,20.4,10.3
7,13900,517,227,5,end,30.0,21.15,10.3
7,13903,517,106,4,start,30.0,21.15,10.3
7,16528,524,106,4,end,30.0,21.75,10.9
7,16530,524,223,9,start,30.0,21.75,10.9
7,23281,542,223,9,end,30.0,21.75,12.25
8,16,560,274,4,start,30.0,21.75,12.25
8,2266,566,274,4,end,30.0,21.75,12.25
8,2268,566,46,7,start,30.0,21.75,12.25
8,6394,577,46,7,end,30.0,21.75,12.25
8,6401,577,209,9,start,30.0,21.75,12.25
8,11651,591,209,9,end,30.0,21.75,12.25
8,11655,591,301,6,start,30.0,21.75,12.25
8,15031,600,301,6,end,30.0,22.65,12.25
8,15034,600,380,9,start,30.0,22.65,12.25
8,20285,614,380,9,end,30.0,24.0,12.25
8,20287,614,308,10,start,30.0,24.0,12.25
8,27037,632,308,10,end,30.0,25.5,13.75
9,12,640,388,1,start,30.0,25.5,13.75
9,388,641,388,1,end,30.0,25.5,13.75
9,391,641,202,2,start,30.0,25.5,13.75
9,1516,644,202,2,end,30.0,25.5,13.75
9,1527,644,125,3,start,30.0,25.5,13.75
9,3028,648,125,3,end,30.0,25.5,13.75
9,3031,648,101,6,start,30.0,25.5,13.75
9,6406,657,101,6,end,30.0,25.5,13.75
9,6410,657,157,8,start,30.0,25.5,13.75
9,10910,669,157,8,end,30.0,25.5,13.75
9,10913,669,222,10,start,30.0,25.5,13.75
9,16913,685,222,10,end,30.0,25.5,13.75
9,16917,685,288,10,start,30.0,25.5,13.75
9,22917,701,288,10,end,30.0,25.5,13.75
10,18,720,267,1,start,30.0,25.5,13.75
10,393,721,267,1,end,30.0,25.5,13.75
10,397,721,386,5,start,30.0,25.5,13.75
10,3398,729,386,5,end,30.0,25.5,13.75
10,3400,729,6,6,start,30.0,25.5,13.75
10,6775,738,6,6,end,30.0,25.5,13.75
10,6779,738,205,9,start,30.0,25.5,13.75
10,12029,752,205,9,end,30.0,25.5,13.75
10,12032,752,323,4,start,30.0,25.5,13.75
10,14282,758,323,4,end,30.0,26.1,13.75
10,14284,758,397,7,start,30.0,26.1,13.75
10,18410,769,397,7,end,30.0,27.150000000000002,13.75
10,18413,769,120,6,start,30.0,27.150000000000002,13.75
10,22538,780,120,6,end,30.0,28.05,14.65
11,15,800,206,4,start,30.0,28.05,14.65
11,2265,806,206,4,end,30.0,28.05,14.65
11,2267,806,79,2,start,30.0,28.05,14.65
11,3767,810,79,2,end,30.0,28.35,14.950000000000001
11,3770,810,8,2,start,30.0,28.35,14.950000000000001
11,5270,814,8,2,end,30.0,28.650000000000002,15.250000000000002
11,5274,814,226,4,start,30.0,28.650000000000002,15.250000000000002
11,7899,821,226,4,end,30.0,29.250000000000004,15.850000000000001
11,7902,821,233,8,start,30.0,29.250000000000004,15.850000000000001
11,12402,833,233,8,end,30.0,30.0,15.850000000000001
11,12405,833,290,9,start,30.0,30.0,15.850000000000001
11,18406,849,290,9,end,30.0,30.0,17.200000000000003
