sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,5,0,327,1,PICKED,picked for inspection
1,5,0,327,1,ACCEPTED,accepted for execution
1,757,2,4,3,PICKED,picked for inspection
1,757,2,4,3,ACCEPTED,accepted for execution
1,3759,10,55,7,PICKED,picked for inspection
1,3759,10,55,7,ACCEPTED,accepted for execution
2,10,80,50,9,PICKED,picked for inspection
2,10,80,50,9,ACCEPTED,accepted for execution
2,9013,104,325,5,PICKED,picked for inspection
2,9013,104,325,5,ACCEPTED,accepted for execution
2,13891,117,289,2,PICKED,picked for inspection
2,13891,117,289,2,ACCEPTED,accepted for execution
2,15020,120,346,8,PICKED,picked for inspection
2,15020,120,346,8,ACCEPTED,accepted for execution
3,11,160,57,4,PICKED,picked for inspection
3,11,160,57,4,ACCEPTED,accepted for execution
3,3765,170,122,1,PICKED,picked for inspection
3,3765,170,122,1,ACCEPTED,accepted for execution
3,4518,172,199,8,PICKED,picked for inspection
3,4518,172,199,8,ACCEPTED,accepted for execution
3,12396,193,47,10,PICKED,picked for inspection
3,12396,193,47,10,ACCEPTED,accepted for execution
4,17,240,186,7,PICKED,picked for inspection
4,17,240,186,7,ACCEPTED,accepted for execution
4,6771,258,360,3,PICKED,picked for inspection
4,6771,258,360,3,ACCEPTED,accepted for execution
4,9024,264,175,4,PICKED,picked for inspection
4,9024,264,175,4,ACCEPTED,accepted for execution
4,12777,274,188,7,PICKED,picked for inspection
4,12777,274,188,7,ACCEPTED,accepted for execution
4,19530,292,276,10,PICKED,picked for inspection
4,19530,292,276,10,ACCEPTED,accepted for execution
4,29284,318,10,8,PICKED,picked for inspection
4,29284,318,10,8,REJECTED,Mostafa cannot finish task within the remaining time
4,29284,318,299,8,PICKED,picked for inspection
4,29284,318,299,8,REJECTED,Mostafa cannot finish task within the remaining time
4,29284,318,77,7,PICKED,picked for inspection
4,29284,318,77,7,REJECTED,Mostafa cannot finish task within the remaining time
4,29284,318,3,6,PICKED,picked for inspection
4,29284,318,3,6,REJECTED,Mostafa cannot finish task within the remaining time
4,29284,318,286,5,PICKED,picked for inspection
4,29284,318,286,5,REJECTED,Mostafa cannot finish task within the remaining time
4,29284,318,29,5,PICKED,picked for inspection
4,29284,318,29,5,REJECTED,Mostafa cannot finish task within the remaining time
4,29284,318,311,5,PICKED,picked for inspection
4,29284,318,311,5,REJECTED,Mostafa cannot finish task within the remaining time
4,29284,318,190,5,PICKED,picked for inspection
4,29284,318,190,5,REJECTED,Mostafa cannot finish task within the remaining time
4,29284,318,10,8,PICKED,no other tasks could be accepted-trying to break this task
4,29284,318,10,8,REJECTED,could not break this task-Mostafa finished for this sprint
5,16,320,313,5,PICKED,picked for inspection
5,16,320,313,5,ACCEPTED,accepted for execution
5,3770,330,390,4,PICKED,picked for inspection
5,3770,330,390,4,ACCEPTED,accepted for execution
5,7523,340,91,1,PICKED,picked for inspection
5,7523,340,91,1,ACCEPTED,accepted for execution
5,8277,342,10,8,PICKED,picked for inspection
5,8277,342,10,8,ACCEPTED,accepted for execution
5,16155,363,399,8,PICKED,picked for inspection
5,16155,363,399,8,ACCEPTED,accepted for execution
6,13,400,81,5,PICKED,picked for inspection
6,13,400,81,5,ACCEPTED,accepted for execution
6,3778,410,396,8,PICKED,picked for inspection
6,3778,410,396,8,ACCEPTED,accepted for execution
6,11657,431,207,7,PICKED,picked for inspection
6,11657,431,207,7,ACCEPTED,accepted for execution
6,18412,449,92,8,PICKED,picked for inspection
6,18412,449,92,8,ACCEPTED,accepted for execution
7,0,480,34,8,PICKED,picked for inspection
7,0,480,34,8,ACCEPTED,accepted for execution
7,6385,497,169,5,PICKED,picked for inspection
7,6385,497,169,5,ACCEPTED,accepted for execution
7,11263,510,272,9,PICKED,picked for inspection
7,11263,510,272,9,ACCEPTED,accepted for execution
7,18017,528,41,6,PICKED,picked for inspection
7,18017,528,41,6,ACCEPTED,accepted for execution
8,17,560,38,6,PICKED,picked for inspection
8,17,560,38,6,ACCEPTED,accepted for execution
8,3395,569,319,5,PICKED,picked for inspection
8,3395,569,319,5,ACCEPTED,accepted for execution
8,6398,577,48,1,PICKED,picked for inspection
8,6398,577,48,1,ACCEPTED,accepted for execution
8,6776,578,159,7,PICKED,picked for inspection
8,6776,578,159,7,ACCEPTED,accepted for execution
8,10904,589,158,10,PICKED,picked for inspection
8,10904,589,158,10,ACCEPTED,accepted for execution
8,16912,605,347,5,PICKED,picked for inspection
8,16912,605,347,5,ACCEPTED,accepted for execution
8,19917,613,328,5,PICKED,picked for inspection
8,19917,613,328,5,ACCEPTED,accepted for execution
9,0,640,93,3,PICKED,picked for inspection
9,0,640,93,3,ACCEPTED,accepted for execution
9,1503,644,44,10,PICKED,picked for inspection
9,1503,644,44,10,ACCEPTED,accepted for execution
9,7506,660,317,6,PICKED,picked for inspection
9,7506,660,317,6,ACCEPTED,accepted for execution
9,10885,669,339,6,PICKED,picked for inspection
9,10885,669,339,6,ACCEPTED,accepted for execution
9,14262,678,340,10,PICKED,picked for inspection
9,14262,678,340,10,ACCEPTED,accepted for execution
9,20266,694,383,6,PICKED,picked for inspection
9,20266,694,383,6,ACCEPTED,accepted for execution
9,23651,703,14,8,PICKED,picked for inspection
9,23651,703,14,8,ACCEPTED,accepted for execution
10,24,720,5,6,PICKED,picked for inspection
10,24,720,5,6,ACCEPTED,accepted for execution
10,3401,729,322,1,PICKED,picked for inspection
10,3401,729,322,1,ACCEPTED,accepted for execution
10,3780,730,392,9,PICKED,picked for inspection
10,3780,730,392,9,ACCEPTED,accepted for execution
10,9033,744,181,8,PICKED,picked for inspection
10,9033,744,181,8,ACCEPTED,accepted for execution
10,13536,756,88,5,PICKED,picked for inspection
10,13536,756,88,5,ACCEPTED,accepted for execution
10,16539,764,261,6,PICKED,picked for inspection
10,16539,764,261,6,ACCEPTED,accepted for execution
10,19917,773,391,2,PICKED,picked for inspection
10,19917,773,391,2,ACCEPTED,accepted for execution
10,21046,776,288,10,PICKED,picked for inspection
10,21046,776,288,10,ACCEPTED,accepted for execution
11,9,800,60,10,PICKED,picked for inspection
11,9,800,60,10,ACCEPTED,accepted for execution
11,6012,816,17,10,PICKED,picked for inspection
11,6012,816,17,10,ACCEPTED,accepted for execution
11,12014,832,351,2,PICKED,picked for inspection
11,12014,832,351,2,ACCEPTED,accepted for execution
11,13142,835,211,2,PICKED,picked for inspection
11,13142,835,211,2,ACCEPTED,accepted for execution
11,14269,838,205,9,PICKED,picked for inspection
11,14269,838,205,9,ACCEPTED,accepted for execution
11,19522,852,123,10,PICKED,picked for inspection
11,19522,852,123,10,ACCEPTED,accepted for execution
12,18,880,267,1,PICKED,picked for inspection
12,18,880,267,1,ACCEPTED,accepted for execution
12,395,881,362,10,PICKED,picked for inspection
12,395,881,362,10,ACCEPTED,accepted for execution
12,6397,897,290,9,PICKED,picked for inspection
12,6397,897,290,9,ACCEPTED,accepted for execution
12,11650,911,201,5,PICKED,picked for inspection
12,11650,911,201,5,ACCEPTED,accepted for execution
12,14652,919,349,6,PICKED,picked for inspection
12,14652,919,349,6,ACCEPTED,accepted for execution
12,18030,928,291,4,PICKED,picked for inspection
12,18030,928,291,4,ACCEPTED,accepted for execution
