sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.899580195908576,72,80,0
2,0.8121210101952422,65,80,0
3,0.818746993302002,59,72,8
4,0.8884282224031983,64,72,8
5,0.9298323526146332,67,72,8
6,0.9575531048775072,69,72,8
7,0.9116794884603856,73,80,0
8,0.9989494615990694,71,71,9
9,1.7466126300508107,77,44,36
10,2.5115729341081456,136,54,26
11,2.8104624147493067,200,71,9
12,2.8766413268832065,222,77,3
13,2.9673195656802216,223,75,5
14,3.4041554173025004,232,68,12
15,3.6073051256566804,271,75,5
16,3.600303183425973,285,79,1
17,0.6640106241699867,4,6,74
