sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.9846108963605864,72,73,7
2,0.9851483414480366,75,76,4
3,1.0251287982336243,78,76,4
4,1.0667602895106407,79,74,6
5,1.077026886743486,83,77,3
6,1.3426188708902764,82,61,19
7,1.8847935350349856,102,54,26
8,2.454295562633623,150,61,19
9,2.6068451853165455,196,75,5
10,2.4842704484170577,199,80,0
11,2.589742690878497,197,76,4
12,3.268570201803349,203,62,18
13,3.623601917370463,254,70,10
14,3.6542806082880936,289,79,1
15,2.9691749773345424,131,44,36
