sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_219,219,1,1,2,BackEnd Design
RandomTask_248,248,1,1,4,BackEnd Design
RandomTask_315,315,1,3,6,FrontEnd
RandomTask_240,240,1,2,1,BackEnd FrontEnd
RandomTask_260,260,1,3,3,Design
RandomTask_32,32,1,4,7,Design
RandomTask_67,67,1,2,2,BackEnd Design FrontEnd
RandomTask_387,387,1,2,4,BackEnd Design FrontEnd
RandomTask_103,103,1,5,3,Design
RandomTask_241,241,1,4,1,BackEnd Design
RandomTask_217,217,1,4,2,BackEnd Design
RandomTask_110,110,1,6,7,Design
RandomTask_148,148,1,4,4,Design FrontEnd
RandomTask_386,386,1,5,6,BackEnd
RandomTask_159,159,1,7,3,Design
RandomTask_141,141,1,8,7,Design
RandomTask_304,304,1,8,4,FrontEnd
RandomTask_193,193,1,4,1,Design FrontEnd
RandomTask_288,288,1,10,2,BackEnd
RandomTask_253,253,1,9,6,FrontEnd
RandomTask_39,39,1,5,3,BackEnd Design
RandomTask_198,198,1,6,7,Design FrontEnd
RandomTask_207,207,1,7,4,Design FrontEnd
RandomTask_30,30,1,7,1,BackEnd FrontEnd
RandomTask_74,74,1,7,2,BackEnd Design
RandomTask_264,264,1,7,6,BackEnd FrontEnd
RandomTask_252,252,1,5,3,BackEnd Design FrontEnd
RandomTask_81,81,1,5,7,BackEnd Design FrontEnd
RandomTask_166,166,1,7,4,BackEnd FrontEnd
RandomTask_393,393,1,10,2,BackEnd Design
RandomTask_15,15,1,8,1,BackEnd Design
RandomTask_251,251,1,8,3,BackEnd Design FrontEnd
RandomTask_44,44,1,10,6,Design FrontEnd
