sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_312,312,1,4,BackEnd Design FrontEnd
RandomTask_42,42,1,5,BackEnd
RandomTask_204,204,1,1,BackEnd Design
RandomTask_232,232,1,3,BackEnd Design FrontEnd
RandomTask_244,244,1,10,FrontEnd
RandomTask_220,220,1,3,BackEnd Design
RandomTask_330,330,1,10,BackEnd Design FrontEnd
RandomTask_349,349,1,6,BackEnd Design
RandomTask_324,324,1,1,BackEnd
RandomTask_247,247,1,7,BackEnd
RandomTask_11,11,1,10,BackEnd FrontEnd
RandomTask_275,275,1,3,BackEnd
RandomTask_309,309,1,7,Design
RandomTask_352,352,1,1,BackEnd Design
RandomTask_1,1,1,8,BackEnd Design
RandomTask_270,270,1,8,BackEnd Design
RandomTask_54,54,1,1,FrontEnd
RandomTask_371,371,1,1,BackEnd Design
RandomTask_124,124,1,7,BackEnd
RandomTask_156,156,1,5,BackEnd FrontEnd
RandomTask_314,314,1,1,BackEnd Design FrontEnd
RandomTask_245,245,1,6,Design
RandomTask_105,105,1,8,BackEnd Design FrontEnd
RandomTask_12,12,1,5,BackEnd Design
RandomTask_55,55,1,7,BackEnd
RandomTask_177,177,1,5,BackEnd FrontEnd
RandomTask_268,268,1,7,BackEnd Design FrontEnd
RandomTask_286,286,1,5,Design
RandomTask_338,338,1,5,FrontEnd
RandomTask_114,114,1,2,Design FrontEnd
RandomTask_381,381,1,3,Design
