sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,11,0,299,8,start,6.0,6.0,6.0
1,7886,21,299,8,end,6.0,6.0,7.2
1,7891,21,243,3,start,6.0,6.0,7.2
1,10891,29,243,3,end,6.0,6.45,7.2
2,11,80,284,10,start,6.0,6.45,7.2
2,9761,106,284,10,end,7.5,7.95,8.7
2,9765,106,27,4,start,7.5,7.95,8.7
2,13515,116,27,4,end,7.5,8.55,8.7
2,13518,116,347,5,start,7.5,8.55,8.7
2,18394,129,347,5,end,7.5,9.3,8.7
3,27,160,132,7,start,7.5,9.3,8.7
3,6777,178,132,7,end,8.55,10.350000000000001,8.7
3,6782,178,207,7,start,8.55,10.350000000000001,8.7
3,13532,196,207,7,end,8.55,11.400000000000002,9.75
3,13536,196,141,8,start,8.55,11.400000000000002,9.75
3,21411,217,141,8,end,8.55,11.400000000000002,10.95
3,21414,217,315,3,start,8.55,11.400000000000002,10.95
3,24415,225,315,3,end,8.55,11.850000000000001,10.95
4,25,240,361,10,start,8.55,11.850000000000001,10.95
4,9776,266,361,10,end,10.05,13.350000000000001,12.45
4,9800,266,187,3,start,10.05,13.350000000000001,12.45
4,12800,274,187,3,end,10.5,13.8,12.45
4,12803,274,118,9,start,10.5,13.8,12.45
4,21804,298,118,9,end,11.85,15.15,12.45
4,21808,298,103,5,start,11.85,15.15,12.45
4,26683,311,103,5,end,11.85,15.15,13.2
4,26686,311,60,3,start,11.85,15.15,13.2
4,29687,319,60,3,end,11.85,15.15,13.649999999999999
5,6,320,57,4,start,11.85,15.15,13.649999999999999
5,3756,330,57,4,end,12.45,15.75,14.249999999999998
5,3760,330,175,4,start,12.45,15.75,14.249999999999998
5,7511,340,175,4,end,12.45,16.35,14.849999999999998
5,7514,340,334,10,start,12.45,16.35,14.849999999999998
5,17265,366,334,10,end,13.95,17.85,14.849999999999998
5,17270,366,21,5,start,13.95,17.85,14.849999999999998
5,22145,379,21,5,end,13.95,18.6,14.849999999999998
6,16,400,312,4,start,13.95,18.6,14.849999999999998
6,3766,410,312,4,end,14.549999999999999,19.200000000000003,15.449999999999998
6,3769,410,270,8,start,14.549999999999999,19.200000000000003,15.449999999999998
6,11645,431,270,8,end,15.749999999999998,19.200000000000003,16.65
6,11649,431,65,4,start,15.749999999999998,19.200000000000003,16.65
6,15399,441,65,4,end,15.749999999999998,19.200000000000003,17.25
6,15404,441,54,1,start,15.749999999999998,19.200000000000003,17.25
6,16154,443,54,1,end,15.749999999999998,19.35,17.25
6,16157,443,36,3,start,15.749999999999998,19.35,17.25
6,19157,451,36,3,end,16.2,19.35,17.25
6,19160,451,42,5,start,16.2,19.35,17.25
6,24035,464,42,5,end,16.95,19.35,17.25
7,20,480,9,6,start,16.95,19.35,17.25
7,6020,496,9,6,end,17.849999999999998,20.25,18.15
7,6024,496,389,3,start,17.849999999999998,20.25,18.15
7,8274,502,389,3,end,17.849999999999998,20.7,18.599999999999998
7,8278,502,93,3,start,17.849999999999998,20.7,18.599999999999998
7,10528,508,93,3,end,17.849999999999998,21.15,19.049999999999997
7,10532,508,338,5,start,17.849999999999998,21.15,19.049999999999997
7,13532,516,338,5,end,17.849999999999998,21.9,19.049999999999997
7,13536,516,185,3,start,17.849999999999998,21.9,19.049999999999997
7,15036,520,185,3,end,17.849999999999998,22.349999999999998,19.049999999999997
7,15039,520,111,4,start,17.849999999999998,22.349999999999998,19.049999999999997
7,17289,526,111,4,end,17.849999999999998,22.95,19.049999999999997
7,17292,526,286,5,start,17.849999999999998,22.95,19.049999999999997
7,22167,539,286,5,end,17.849999999999998,22.95,19.799999999999997
8,23,560,130,6,start,17.849999999999998,22.95,19.799999999999997
8,4524,572,130,6,end,18.749999999999996,23.849999999999998,19.799999999999997
8,4532,572,213,4,start,18.749999999999996,23.849999999999998,19.799999999999997
8,7532,580,213,4,end,18.749999999999996,24.45,20.4
8,7536,580,390,4,start,18.749999999999996,24.45,20.4
8,9786,586,390,4,end,18.749999999999996,25.05,21.0
8,9789,586,29,5,start,18.749999999999996,25.05,21.0
