sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_102,102,1,9,Design
RandomTask_134,134,1,3,BackEnd FrontEnd
RandomTask_226,226,1,4,BackEnd Design FrontEnd
RandomTask_343,343,1,9,BackEnd FrontEnd
RandomTask_13,13,1,1,BackEnd FrontEnd
RandomTask_132,132,1,7,BackEnd FrontEnd
RandomTask_369,369,1,6,FrontEnd
RandomTask_354,354,1,3,Design FrontEnd
RandomTask_253,253,1,9,FrontEnd
RandomTask_198,198,1,6,Design FrontEnd
RandomTask_241,241,1,4,BackEnd Design
RandomTask_240,240,1,2,BackEnd FrontEnd
RandomTask_74,74,1,7,BackEnd Design
RandomTask_393,393,1,10,BackEnd Design
RandomTask_288,288,1,10,BackEnd
RandomTask_141,141,1,8,Design
RandomTask_148,148,1,4,Design FrontEnd
RandomTask_30,30,1,7,BackEnd FrontEnd
RandomTask_248,248,1,1,BackEnd Design
RandomTask_193,193,1,4,Design FrontEnd
RandomTask_110,110,1,6,Design
RandomTask_252,252,1,5,BackEnd Design FrontEnd
RandomTask_81,81,1,5,BackEnd Design FrontEnd
RandomTask_67,67,1,2,BackEnd Design FrontEnd
RandomTask_264,264,1,7,BackEnd FrontEnd
RandomTask_207,207,1,7,Design FrontEnd
RandomTask_315,315,1,3,FrontEnd
RandomTask_15,15,1,8,BackEnd Design
RandomTask_159,159,1,7,Design
RandomTask_260,260,1,3,Design
RandomTask_44,44,1,10,Design FrontEnd
RandomTask_39,39,1,5,BackEnd Design
RandomTask_386,386,1,5,BackEnd
RandomTask_32,32,1,4,Design
RandomTask_304,304,1,8,FrontEnd
RandomTask_217,217,1,4,BackEnd Design
