sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_248,248,1,1,6,BackEnd Design
RandomTask_219,219,1,1,1,BackEnd Design
RandomTask_260,260,1,3,4,Design
RandomTask_67,67,1,2,6,BackEnd Design FrontEnd
RandomTask_387,387,1,2,1,BackEnd Design FrontEnd
RandomTask_32,32,1,4,7,Design
RandomTask_315,315,1,3,3,FrontEnd
RandomTask_103,103,1,5,2,Design
RandomTask_187,187,1,3,4,BackEnd FrontEnd
RandomTask_148,148,1,4,1,Design FrontEnd
RandomTask_193,193,1,4,3,Design FrontEnd
RandomTask_217,217,1,4,7,BackEnd Design
RandomTask_110,110,1,6,6,Design
RandomTask_159,159,1,7,2,Design
RandomTask_69,69,1,5,1,Design FrontEnd
RandomTask_39,39,1,5,3,BackEnd Design
RandomTask_386,386,1,5,4,BackEnd
RandomTask_252,252,1,5,6,BackEnd Design FrontEnd
RandomTask_141,141,1,8,7,Design
RandomTask_81,81,1,5,2,BackEnd Design FrontEnd
RandomTask_304,304,1,8,1,FrontEnd
RandomTask_207,207,1,7,3,Design FrontEnd
RandomTask_15,15,1,8,4,BackEnd Design
RandomTask_30,30,1,7,6,BackEnd FrontEnd
RandomTask_393,393,1,10,2,BackEnd Design
RandomTask_116,116,1,10,1,FrontEnd
RandomTask_264,264,1,7,3,BackEnd FrontEnd
RandomTask_288,288,1,10,7,BackEnd
RandomTask_251,251,1,8,2,BackEnd Design FrontEnd
RandomTask_166,166,1,7,4,BackEnd FrontEnd
RandomTask_44,44,1,10,6,Design FrontEnd
RandomTask_80,80,1,10,1,BackEnd FrontEnd
