sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.6242301161900322,50,80,0
2,0.524685188886668,42,80,0
3,0.45801102927569487,33,72,8
4,0.44971518038575564,36,80,0
5,0.48405229846768827,31,64,16
6,0.4579771288997447,33,72,8
7,0.4163736629779044,30,72,8
8,0.337342573465716,27,80,0
9,0.3746877601998335,24,64,16
10,0.8914139013026529,25,28,52
11,1.0479891707785687,64,61,19
12,1.3316761363636365,80,60,20
13,1.8694642079279804,103,55,25
14,1.7930500370395315,142,79,1
15,1.8314549180327868,143,78,2
16,1.9537934968625212,137,70,10
17,2.2209567198177678,156,70,10
18,2.6823588122764703,172,64,16
19,2.8836692299282047,211,73,7
20,3.06615117096452,221,72,8
21,3.261679920477137,245,75,5
22,3.357938044530494,185,55,25
