sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_334,334,1,10,BackEnd FrontEnd
RandomTask_18,18,1,1,BackEnd Design FrontEnd
RandomTask_128,128,1,6,BackEnd Design FrontEnd
RandomTask_123,123,1,10,Design
RandomTask_77,77,1,7,FrontEnd
RandomTask_392,392,1,9,FrontEnd
RandomTask_355,355,1,5,Design
RandomTask_175,175,1,4,Design FrontEnd
RandomTask_184,184,1,7,BackEnd FrontEnd
RandomTask_358,358,1,3,Design FrontEnd
RandomTask_321,321,1,1,BackEnd FrontEnd
RandomTask_228,228,1,2,Design FrontEnd
RandomTask_125,125,1,3,BackEnd
RandomTask_36,36,1,3,BackEnd
RandomTask_37,37,1,6,BackEnd
RandomTask_329,329,1,4,BackEnd FrontEnd
RandomTask_222,222,1,10,BackEnd
RandomTask_336,336,1,3,BackEnd FrontEnd
RandomTask_216,216,1,6,BackEnd FrontEnd
RandomTask_310,310,1,4,Design FrontEnd
RandomTask_237,237,1,3,BackEnd
RandomTask_52,52,1,1,BackEnd Design FrontEnd
RandomTask_318,318,1,6,BackEnd FrontEnd
RandomTask_197,197,1,2,BackEnd Design
RandomTask_326,326,1,2,FrontEnd
RandomTask_269,269,1,3,Design
RandomTask_65,65,1,4,Design
RandomTask_294,294,1,10,BackEnd Design
RandomTask_312,312,1,4,BackEnd Design FrontEnd
RandomTask_42,42,1,5,BackEnd
RandomTask_204,204,1,1,BackEnd Design
RandomTask_232,232,1,3,BackEnd Design FrontEnd
RandomTask_244,244,1,10,FrontEnd
RandomTask_220,220,1,3,BackEnd Design
RandomTask_330,330,1,10,BackEnd Design FrontEnd
RandomTask_349,349,1,6,BackEnd Design
RandomTask_324,324,1,1,BackEnd
RandomTask_247,247,1,7,BackEnd
RandomTask_11,11,1,10,BackEnd FrontEnd
RandomTask_275,275,1,3,BackEnd
RandomTask_309,309,1,7,Design
RandomTask_352,352,1,1,BackEnd Design
