sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_175,175,1,4,Design FrontEnd
RandomTask_159,159,1,7,Design
RandomTask_307,307,1,3,BackEnd Design
RandomTask_131,131,1,3,FrontEnd
RandomTask_370,370,1,6,BackEnd Design
RandomTask_219,219,1,1,BackEnd Design
RandomTask_125,125,1,3,BackEnd
RandomTask_267,267,1,1,BackEnd
RandomTask_9,9,1,6,BackEnd Design FrontEnd
RandomTask_145,145,1,9,FrontEnd
RandomTask_379,379,1,1,BackEnd Design
RandomTask_374,374,1,7,BackEnd FrontEnd
RandomTask_58,58,1,1,BackEnd Design FrontEnd
RandomTask_45,45,1,9,BackEnd Design
RandomTask_377,377,1,5,BackEnd Design FrontEnd
RandomTask_380,380,1,9,BackEnd FrontEnd
RandomTask_202,202,1,2,BackEnd
RandomTask_196,196,1,1,FrontEnd
RandomTask_385,385,1,7,Design FrontEnd
RandomTask_273,273,1,1,Design
RandomTask_394,394,1,3,FrontEnd
RandomTask_250,250,1,9,BackEnd Design FrontEnd
RandomTask_44,44,1,10,Design FrontEnd
RandomTask_345,345,1,6,BackEnd Design FrontEnd
RandomTask_39,39,1,5,BackEnd Design
RandomTask_30,30,1,7,BackEnd FrontEnd
RandomTask_279,279,1,8,FrontEnd
RandomTask_357,357,1,9,Design
RandomTask_263,263,1,2,BackEnd Design
RandomTask_310,310,1,4,Design FrontEnd
RandomTask_252,252,1,5,BackEnd Design FrontEnd
RandomTask_213,213,1,4,Design FrontEnd
RandomTask_342,342,1,1,Design
RandomTask_305,305,1,1,Design FrontEnd
RandomTask_60,60,1,10,Design
RandomTask_231,231,1,7,BackEnd Design FrontEnd
RandomTask_301,301,1,6,BackEnd FrontEnd
RandomTask_19,19,1,2,FrontEnd
RandomTask_12,12,1,5,BackEnd Design
RandomTask_181,181,1,8,BackEnd
RandomTask_163,163,1,7,BackEnd Design
RandomTask_275,275,1,3,BackEnd
RandomTask_261,261,1,6,Design
RandomTask_353,353,1,3,BackEnd
RandomTask_298,298,1,2,BackEnd FrontEnd
RandomTask_31,31,1,2,BackEnd FrontEnd
RandomTask_120,120,1,6,BackEnd Design FrontEnd
RandomTask_336,336,1,3,BackEnd FrontEnd
RandomTask_126,126,1,2,BackEnd Design FrontEnd
RandomTask_322,322,1,1,BackEnd FrontEnd
RandomTask_57,57,1,4,BackEnd Design FrontEnd
RandomTask_399,399,1,8,Design
RandomTask_368,368,1,1,BackEnd Design
RandomTask_110,110,1,6,Design
RandomTask_212,212,1,10,BackEnd
RandomTask_130,130,1,6,BackEnd FrontEnd
RandomTask_67,67,1,2,BackEnd Design FrontEnd
RandomTask_25,25,1,4,BackEnd
RandomTask_47,47,1,10,BackEnd
RandomTask_247,247,1,7,BackEnd
