sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_273,273,1,1,2,Design
RandomTask_196,196,1,1,1,FrontEnd
RandomTask_342,342,1,1,4,Design
RandomTask_267,267,1,1,7,BackEnd
RandomTask_31,31,1,2,3,BackEnd FrontEnd
RandomTask_202,202,1,2,6,BackEnd
RandomTask_305,305,1,1,3,Design FrontEnd
RandomTask_19,19,1,2,1,FrontEnd
RandomTask_125,125,1,3,7,BackEnd
RandomTask_275,275,1,3,6,BackEnd
RandomTask_131,131,1,3,3,FrontEnd
RandomTask_394,394,1,3,1,FrontEnd
RandomTask_353,353,1,3,7,BackEnd
RandomTask_261,261,1,6,2,Design
RandomTask_110,110,1,6,4,Design
RandomTask_25,25,1,4,6,BackEnd
RandomTask_175,175,1,4,3,Design FrontEnd
RandomTask_310,310,1,4,3,Design FrontEnd
RandomTask_279,279,1,8,1,FrontEnd
RandomTask_247,247,1,7,7,BackEnd
RandomTask_159,159,1,7,2,Design
RandomTask_399,399,1,8,4,Design
RandomTask_181,181,1,8,6,BackEnd
RandomTask_213,213,1,4,3,Design FrontEnd
RandomTask_145,145,1,9,1,FrontEnd
RandomTask_357,357,1,9,2,Design
RandomTask_322,322,1,1,1,BackEnd FrontEnd
RandomTask_219,219,1,1,2,BackEnd Design
RandomTask_379,379,1,1,1,BackEnd Design
RandomTask_212,212,1,10,7,BackEnd
RandomTask_385,385,1,7,3,Design FrontEnd
RandomTask_368,368,1,1,2,BackEnd Design
RandomTask_58,58,1,1,1,BackEnd Design FrontEnd
RandomTask_60,60,1,10,4,Design
RandomTask_263,263,1,2,7,BackEnd Design
RandomTask_126,126,1,2,2,BackEnd Design FrontEnd
RandomTask_298,298,1,2,1,BackEnd FrontEnd
RandomTask_67,67,1,2,4,BackEnd Design FrontEnd
RandomTask_47,47,1,10,6,BackEnd
RandomTask_307,307,1,3,7,BackEnd Design
RandomTask_336,336,1,3,2,BackEnd FrontEnd
RandomTask_57,57,1,4,1,BackEnd Design FrontEnd
RandomTask_39,39,1,5,4,BackEnd Design
RandomTask_12,12,1,5,6,BackEnd Design
RandomTask_377,377,1,5,2,BackEnd Design FrontEnd
RandomTask_370,370,1,6,7,BackEnd Design
RandomTask_44,44,1,10,3,Design FrontEnd
RandomTask_252,252,1,5,1,BackEnd Design FrontEnd
RandomTask_163,163,1,7,4,BackEnd Design
RandomTask_9,9,1,6,2,BackEnd Design FrontEnd
RandomTask_301,301,1,6,7,BackEnd FrontEnd
RandomTask_345,345,1,6,3,BackEnd Design FrontEnd
RandomTask_45,45,1,9,6,BackEnd Design
RandomTask_120,120,1,6,1,BackEnd Design FrontEnd
RandomTask_130,130,1,6,4,BackEnd FrontEnd
RandomTask_374,374,1,7,2,BackEnd FrontEnd
RandomTask_30,30,1,7,7,BackEnd FrontEnd
RandomTask_231,231,1,7,3,BackEnd Design FrontEnd
RandomTask_380,380,1,9,6,BackEnd FrontEnd
RandomTask_250,250,1,9,1,BackEnd Design FrontEnd
