sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_287,287,1,1,2,BackEnd Design FrontEnd
RandomTask_178,178,1,3,6,BackEnd Design FrontEnd
RandomTask_138,138,1,3,4,BackEnd Design FrontEnd
RandomTask_128,128,1,6,1,BackEnd Design FrontEnd
RandomTask_106,106,1,4,6,BackEnd Design FrontEnd
RandomTask_188,188,1,7,2,Design FrontEnd
RandomTask_50,50,1,9,3,BackEnd Design FrontEnd
RandomTask_397,397,1,7,4,BackEnd FrontEnd
RandomTask_140,140,1,10,7,BackEnd Design FrontEnd
RandomTask_148,148,1,4,2,Design FrontEnd
RandomTask_320,320,1,6,1,BackEnd Design FrontEnd
RandomTask_56,56,1,6,6,Design FrontEnd
RandomTask_149,149,1,3,7,BackEnd Design
RandomTask_193,193,1,4,2,Design FrontEnd
RandomTask_137,137,1,4,6,Design FrontEnd
RandomTask_84,84,1,6,1,BackEnd Design
RandomTask_211,211,1,2,6,Design FrontEnd
RandomTask_109,109,1,9,3,BackEnd Design FrontEnd
RandomTask_204,204,1,1,1,BackEnd Design
RandomTask_325,325,1,5,7,BackEnd Design
RandomTask_91,91,1,1,6,Design FrontEnd
RandomTask_371,371,1,1,1,BackEnd Design
RandomTask_11,11,1,10,4,BackEnd FrontEnd
RandomTask_360,360,1,3,3,BackEnd FrontEnd
RandomTask_187,187,1,3,4,BackEnd FrontEnd
RandomTask_170,170,1,4,1,BackEnd Design
RandomTask_396,396,1,8,2,Design FrontEnd
RandomTask_119,119,1,5,6,Design
RandomTask_214,214,1,6,7,BackEnd Design
RandomTask_326,326,1,2,6,FrontEnd
RandomTask_293,293,1,5,3,BackEnd FrontEnd
RandomTask_351,351,1,2,6,Design
RandomTask_42,42,1,5,1,BackEnd
RandomTask_384,384,1,1,6,BackEnd
RandomTask_3,3,1,7,2,Design
RandomTask_182,182,1,3,1,BackEnd
RandomTask_16,16,1,9,4,BackEnd FrontEnd
RandomTask_270,270,1,8,7,BackEnd Design
RandomTask_286,286,1,5,6,Design
RandomTask_61,61,1,9,3,BackEnd Design
RandomTask_246,246,1,5,1,BackEnd
RandomTask_328,328,1,5,4,BackEnd
RandomTask_302,302,1,2,3,Design
RandomTask_10,10,1,8,7,Design
RandomTask_123,123,1,10,2,Design
RandomTask_101,101,1,6,1,BackEnd
RandomTask_205,205,1,9,6,BackEnd
RandomTask_62,62,1,10,4,Design
