sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,3,0,162,1,start,0.1,0.1,0.1
1,3004,8,162,1,end,0.25,0.25,0.25
1,3015,8,265,6,start,0.25,0.25,0.25
1,21015,56,265,6,end,0.25,1.15,0.25
1,21016,56,303,3,start,0.25,1.15,0.25
1,30016,80,303,3,end,0.25,1.15,0.7
2,1,80,168,6,start,0.25,1.15,0.7
2,18002,128,168,6,end,0.25,2.05,1.5999999999999999
2,18002,128,49,3,start,0.25,2.05,1.5999999999999999
2,27002,152,49,3,end,0.7,2.5,1.5999999999999999
3,1,160,118,9,start,0.7,2.5,1.5999999999999999
3,27001,232,118,9,end,2.05,3.8499999999999996,1.5999999999999999
4,1,240,313,5,start,2.05,3.8499999999999996,1.5999999999999999
4,15001,280,313,5,end,2.8,4.6,2.3499999999999996
5,12,320,282,4,start,2.8,4.6,2.3499999999999996
5,12012,352,282,4,end,3.4,5.199999999999999,2.3499999999999996
6,10,400,207,7,start,3.4,5.199999999999999,2.3499999999999996
6,10511,428,207,7,end,3.4,6.249999999999999,3.3999999999999995
7,16,480,203,6,start,3.4,6.249999999999999,3.3999999999999995
7,6016,496,203,6,end,3.4,7.149999999999999,3.3999999999999995
8,16,560,37,6,start,3.4,7.149999999999999,3.3999999999999995
8,18017,608,37,6,end,4.3,7.149999999999999,3.3999999999999995
9,15,640,315,3,start,4.3,7.149999999999999,3.3999999999999995
9,3015,648,315,3,end,4.3,7.599999999999999,3.3999999999999995
9,3021,648,94,8,start,4.3,7.599999999999999,3.3999999999999995
9,10897,669,94,8,end,4.3,8.799999999999999,3.3999999999999995
10,9,720,127,2,start,4.3,8.799999999999999,3.3999999999999995
10,3010,728,127,2,end,4.3,9.1,3.6999999999999993
10,3013,728,367,8,start,4.3,9.1,3.6999999999999993
10,15013,760,367,8,end,4.3,10.299999999999999,4.8999999999999995
11,16,800,136,3,start,4.3,10.299999999999999,4.8999999999999995
11,3017,808,136,3,end,4.3,10.749999999999998,4.8999999999999995
11,3021,808,291,4,start,4.3,10.749999999999998,4.8999999999999995
11,10146,827,291,4,end,4.8999999999999995,11.349999999999998,5.499999999999999
11,10149,827,144,10,start,4.8999999999999995,11.349999999999998,5.499999999999999
11,19900,853,144,10,end,4.8999999999999995,12.849999999999998,6.999999999999999
12,17,880,196,1,start,4.8999999999999995,12.849999999999998,6.999999999999999
12,768,882,196,1,end,4.8999999999999995,12.999999999999998,6.999999999999999
12,777,882,131,3,start,4.8999999999999995,12.999999999999998,6.999999999999999
12,3777,890,131,3,end,4.8999999999999995,13.449999999999998,6.999999999999999
12,3779,890,145,9,start,4.8999999999999995,13.449999999999998,6.999999999999999
12,12780,914,145,9,end,4.8999999999999995,14.799999999999997,6.999999999999999
12,12785,914,44,10,start,4.8999999999999995,14.799999999999997,6.999999999999999
12,22535,940,44,10,end,4.8999999999999995,16.299999999999997,8.5
13,44,960,19,2,start,4.8999999999999995,16.299999999999997,8.5
13,1919,965,19,2,end,4.8999999999999995,16.599999999999998,8.5
13,1923,965,336,3,start,4.8999999999999995,16.599999999999998,8.5
13,6423,977,336,3,end,5.35,17.049999999999997,8.5
13,6426,977,279,8,start,5.35,17.049999999999997,8.5
13,14302,998,279,8,end,5.35,18.249999999999996,8.5
