sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,27,0,83,3,PICKED,picked for inspection
1,27,0,83,3,ACCEPTED,accepted for execution
1,2285,6,309,7,PICKED,picked for inspection
1,2285,6,309,7,ACCEPTED,accepted for execution
2,22,80,129,3,PICKED,picked for inspection
2,22,80,129,3,ACCEPTED,accepted for execution
2,1532,84,64,5,PICKED,picked for inspection
2,1532,84,64,5,ACCEPTED,accepted for execution
2,5284,94,102,9,PICKED,picked for inspection
2,5284,94,102,9,ACCEPTED,accepted for execution
2,10538,108,340,10,PICKED,picked for inspection
2,10538,108,340,10,ACCEPTED,accepted for execution
2,16540,124,20,7,PICKED,picked for inspection
2,16540,124,20,7,ACCEPTED,accepted for execution
3,0,160,48,1,PICKED,picked for inspection
3,0,160,48,1,ACCEPTED,accepted for execution
3,762,162,173,3,PICKED,picked for inspection
3,762,162,173,3,ACCEPTED,accepted for execution
3,2264,166,88,5,PICKED,picked for inspection
3,2264,166,88,5,ACCEPTED,accepted for execution
3,5267,174,362,10,PICKED,picked for inspection
3,5267,174,362,10,ACCEPTED,accepted for execution
3,11271,190,192,6,PICKED,picked for inspection
3,11271,190,192,6,ACCEPTED,accepted for execution
3,15773,202,393,10,PICKED,picked for inspection
3,15773,202,393,10,ACCEPTED,accepted for execution
4,19,240,381,3,PICKED,picked for inspection
4,19,240,381,3,ACCEPTED,accepted for execution
4,1530,244,159,7,PICKED,picked for inspection
4,1530,244,159,7,ACCEPTED,accepted for execution
4,5664,255,79,2,PICKED,picked for inspection
4,5664,255,79,2,ACCEPTED,accepted for execution
4,7544,260,307,3,PICKED,picked for inspection
4,7544,260,307,3,ACCEPTED,accepted for execution
4,9798,266,349,6,PICKED,picked for inspection
4,9798,266,349,6,ACCEPTED,accepted for execution
4,14300,278,377,5,PICKED,picked for inspection
4,14300,278,377,5,ACCEPTED,accepted for execution
4,19180,291,294,10,PICKED,picked for inspection
4,19180,291,294,10,ACCEPTED,accepted for execution
5,21,320,342,1,PICKED,picked for inspection
5,21,320,342,1,ACCEPTED,accepted for execution
5,401,321,110,6,PICKED,picked for inspection
5,401,321,110,6,ACCEPTED,accepted for execution
5,3779,330,357,9,PICKED,picked for inspection
5,3779,330,357,9,ACCEPTED,accepted for execution
5,9032,344,263,2,PICKED,picked for inspection
5,9032,344,263,2,ACCEPTED,accepted for execution
5,10539,348,12,5,PICKED,picked for inspection
5,10539,348,12,5,ACCEPTED,accepted for execution
5,14292,358,163,7,PICKED,picked for inspection
5,14292,358,163,7,ACCEPTED,accepted for execution
5,19550,372,44,10,PICKED,picked for inspection
5,19550,372,44,10,ACCEPTED,accepted for execution
6,9,400,260,3,PICKED,picked for inspection
6,9,400,260,3,ACCEPTED,accepted for execution
6,1527,404,383,6,PICKED,picked for inspection
6,1527,404,383,6,ACCEPTED,accepted for execution
6,4913,413,350,2,PICKED,picked for inspection
6,4913,413,350,2,ACCEPTED,accepted for execution
6,6790,418,359,2,PICKED,picked for inspection
6,6790,418,359,2,ACCEPTED,accepted for execution
6,9794,426,38,6,PICKED,picked for inspection
6,9794,426,38,6,ACCEPTED,accepted for execution
6,15797,442,256,10,PICKED,picked for inspection
6,15797,442,256,10,ACCEPTED,accepted for execution
7,0,480,95,2,PICKED,picked for inspection
7,0,480,95,2,ACCEPTED,accepted for execution
7,1134,483,191,8,PICKED,picked for inspection
7,1134,483,191,8,ACCEPTED,accepted for execution
7,5638,495,314,1,PICKED,picked for inspection
7,5638,495,314,1,ACCEPTED,accepted for execution
7,6390,497,122,1,PICKED,picked for inspection
7,6390,497,122,1,ACCEPTED,accepted for execution
7,7143,499,220,3,PICKED,picked for inspection
7,7143,499,220,3,ACCEPTED,accepted for execution
7,9395,505,331,2,PICKED,picked for inspection
7,9395,505,331,2,ACCEPTED,accepted for execution
7,11273,510,281,3,PICKED,picked for inspection
7,11273,510,281,3,ACCEPTED,accepted for execution
7,13525,516,223,9,PICKED,picked for inspection
7,13525,516,223,9,ACCEPTED,accepted for execution
7,20279,534,308,10,PICKED,picked for inspection
7,20279,534,308,10,ACCEPTED,accepted for execution
8,8,560,351,2,PICKED,picked for inspection
8,8,560,351,2,ACCEPTED,accepted for execution
8,1137,563,286,5,PICKED,picked for inspection
8,1137,563,286,5,ACCEPTED,accepted for execution
8,4139,571,3,7,PICKED,picked for inspection
8,4139,571,3,7,ACCEPTED,accepted for execution
8,8269,582,87,9,PICKED,picked for inspection
8,8269,582,87,9,ACCEPTED,accepted for execution
8,13522,596,270,8,PICKED,picked for inspection
8,13522,596,270,8,ACCEPTED,accepted for execution
8,18025,608,361,10,PICKED,picked for inspection
8,18025,608,361,10,ACCEPTED,accepted for execution
9,21,640,165,7,PICKED,picked for inspection
9,21,640,165,7,ACCEPTED,accepted for execution
9,4149,651,62,10,PICKED,picked for inspection
9,4149,651,62,10,ACCEPTED,accepted for execution
9,10153,667,211,2,PICKED,picked for inspection
9,10153,667,211,2,ACCEPTED,accepted for execution
9,11660,671,138,3,PICKED,picked for inspection
9,11660,671,138,3,ACCEPTED,accepted for execution
9,13539,676,325,5,PICKED,picked for inspection
9,13539,676,325,5,ACCEPTED,accepted for execution
9,16543,684,320,6,PICKED,picked for inspection
9,16543,684,320,6,ACCEPTED,accepted for execution
9,20672,695,34,8,PICKED,picked for inspection
9,20672,695,34,8,ACCEPTED,accepted for execution
10,19,720,32,4,PICKED,picked for inspection
10,19,720,32,4,ACCEPTED,accepted for execution
10,2271,726,299,8,PICKED,picked for inspection
10,2271,726,299,8,ACCEPTED,accepted for execution
10,6774,738,23,10,PICKED,picked for inspection
10,6774,738,23,10,ACCEPTED,accepted for execution
10,12778,754,68,7,PICKED,picked for inspection
10,12778,754,68,7,ACCEPTED,accepted for execution
10,16905,765,15,8,PICKED,picked for inspection
10,16905,765,15,8,ACCEPTED,accepted for execution
10,21408,777,278,9,PICKED,picked for inspection
10,21408,777,278,9,ACCEPTED,accepted for execution
11,23,800,153,4,PICKED,picked for inspection
11,23,800,153,4,ACCEPTED,accepted for execution
11,2279,806,241,4,PICKED,picked for inspection
11,2279,806,241,4,ACCEPTED,accepted for execution
11,4531,812,271,5,PICKED,picked for inspection
11,4531,812,271,5,ACCEPTED,accepted for execution
11,7535,820,143,8,PICKED,picked for inspection
11,7535,820,143,8,ACCEPTED,accepted for execution
