sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,33,0,319,5,start,2.0,24.0,7.0
1,3783,10,319,5,end,2.0,24.75,7.75
1,3784,10,309,7,start,2.0,24.75,7.75
1,10535,28,309,7,end,2.0,24.75,8.8
2,46,80,225,8,start,2.0,24.75,8.8
2,6047,96,225,8,end,2.0,25.95,10.0
2,6056,96,309,7,start,2.0,25.95,10.0
2,12806,114,309,7,end,2.0,25.95,11.05
2,12808,114,280,3,start,2.0,25.95,11.05
2,15808,122,280,3,end,2.0,25.95,11.5
2,15810,122,158,10,start,2.0,25.95,11.5
2,25563,148,158,10,end,2.0,25.95,13.0
3,32,160,254,2,start,2.0,25.95,13.0
3,1532,164,254,2,end,2.0,26.25,13.3
3,1532,164,207,7,start,2.0,26.25,13.3
3,6783,178,207,7,end,2.0,27.3,14.350000000000001
3,6783,178,104,7,start,2.0,27.3,14.350000000000001
3,13533,196,104,7,end,3.05,28.35,14.350000000000001
3,13536,196,100,6,start,3.05,28.35,14.350000000000001
3,16911,205,100,6,end,3.05,29.25,14.350000000000001
3,16914,205,5,6,start,3.05,29.25,14.350000000000001
3,20289,214,5,6,end,3.05,30.0,14.350000000000001
4,15,240,96,7,start,3.05,30.0,14.350000000000001
4,6765,258,96,7,end,4.1,30.0,15.400000000000002
4,6768,258,294,10,start,4.1,30.0,15.400000000000002
4,21769,298,294,10,end,5.6,30.0,16.900000000000002
4,21772,298,55,7,start,5.6,30.0,16.900000000000002
4,28532,316,55,7,end,6.6499999999999995,30.0,16.900000000000002
5,0,320,9,6,start,6.6499999999999995,30.0,16.900000000000002
5,4890,333,9,6,end,7.549999999999999,30.0,17.8
5,4894,333,219,1,start,7.549999999999999,30.0,17.8
5,5644,335,219,1,end,7.699999999999999,30.0,17.95
5,5646,335,349,6,start,7.699999999999999,30.0,17.95
5,11647,351,349,6,end,8.6,30.0,18.849999999999998
5,11652,351,45,9,start,8.6,30.0,18.849999999999998
5,20652,375,45,9,end,9.95,30.0,20.2
5,20657,375,381,3,start,9.95,30.0,20.2
5,22157,379,381,3,end,9.95,30.0,20.65
5,22160,379,289,2,start,9.95,30.0,20.65
5,24036,384,289,2,end,10.25,30.0,20.65
5,24036,384,267,1,start,10.25,30.0,20.65
5,24786,386,267,1,end,10.4,30.0,20.65
5,24786,386,202,2,start,10.4,30.0,20.65
5,26667,391,202,2,end,10.700000000000001,30.0,20.65
5,26667,391,145,5,start,10.700000000000001,30.0,20.65
5,29670,399,145,5,end,10.700000000000001,30.0,20.65
6,43,400,252,5,start,10.700000000000001,30.0,20.65
6,3418,409,252,5,end,11.450000000000001,30.0,21.4
6,3421,409,39,5,start,11.450000000000001,30.0,21.4
6,7173,419,39,5,end,12.200000000000001,30.0,22.15
6,7173,419,368,1,start,12.200000000000001,30.0,22.15
6,7923,421,368,1,end,12.350000000000001,30.0,22.299999999999997
6,7923,421,60,10,start,12.350000000000001,30.0,22.299999999999997
6,13933,437,60,10,end,12.350000000000001,30.0,23.799999999999997
6,13933,437,298,2,start,12.350000000000001,30.0,23.799999999999997
6,15433,441,298,2,end,12.650000000000002,30.0,23.799999999999997
6,15433,441,336,3,start,12.650000000000002,30.0,23.799999999999997
6,17684,447,336,3,end,13.100000000000001,30.0,23.799999999999997
6,17687,447,275,3,start,13.100000000000001,30.0,23.799999999999997
6,20687,455,275,3,end,13.55,30.0,23.799999999999997
7,0,480,268,7,start,13.55,30.0,23.799999999999997
7,4500,492,268,7,end,14.600000000000001,30.0,24.849999999999998
7,4505,492,259,9,start,14.600000000000001,30.0,24.849999999999998
7,11255,510,259,9,end,15.950000000000001,30.0,26.2
7,11260,510,25,4,start,15.950000000000001,30.0,26.2
7,15024,520,25,4,end,16.55,30.0,26.2
7,15024,520,43,4,start,16.55,30.0,26.2
7,18774,530,43,4,end,17.150000000000002,30.0,26.2
7,18777,530,71,5,start,17.150000000000002,30.0,26.2
7,23653,543,71,5,end,17.900000000000002,30.0,26.2
8,26,560,281,3,start,17.900000000000002,30.0,26.2
8,1901,565,281,3,end,18.35,30.0,26.65
8,1901,565,223,9,start,18.35,30.0,26.65
8,8656,583,223,9,end,19.700000000000003,30.0,28.0
8,8656,583,216,6,start,19.700000000000003,30.0,28.0
8,13160,595,216,6,end,20.6,30.0,28.0
8,13160,595,86,10,start,20.6,30.0,28.0
8,19161,611,86,10,end,22.1,30.0,28.0
8,19161,611,6,6,start,22.1,30.0,28.0
8,22543,620,6,6,end,23.0,30.0,28.0
8,22543,620,41,6,start,23.0,30.0,28.0
8,25921,629,41,6,end,23.0,30.0,28.0
9,16,640,361,10,start,23.0,30.0,28.0
9,6016,656,361,10,end,24.5,30.0,29.5
9,6020,656,61,9,start,24.5,30.0,29.5
9,11270,670,61,9,end,25.85,30.0,30.0
9,11273,670,386,5,start,25.85,30.0,30.0
9,14284,678,386,5,end,26.6,30.0,30.0
9,14284,678,42,5,start,26.6,30.0,30.0
9,17285,686,42,5,end,27.35,30.0,30.0
9,17285,686,384,1,start,27.35,30.0,30.0
9,17663,687,384,1,end,27.5,30.0,30.0
9,17663,687,346,8,start,27.5,30.0,30.0
9,22177,699,346,8,end,27.5,30.0,30.0
10,0,720,397,7,start,27.5,30.0,30.0
10,4131,731,397,7,end,28.55,30.0,30.0
10,4135,731,320,6,start,28.55,30.0,30.0
10,7510,740,320,6,end,29.45,30.0,30.0
10,7514,740,337,3,start,29.45,30.0,30.0
10,9014,744,337,3,end,29.9,30.0,30.0
10,9023,744,13,1,start,29.9,30.0,30.0
10,9398,745,13,1,end,30.0,30.0,30.0
10,9403,745,351,2,start,30.0,30.0,30.0
10,10528,748,351,2,end,30.0,30.0,30.0
10,10531,748,270,8,start,30.0,30.0,30.0
10,15031,760,270,8,end,30.0,30.0,30.0
10,15036,760,396,8,start,30.0,30.0,30.0
10,19536,772,396,8,end,30.0,30.0,30.0
10,19539,772,16,9,start,30.0,30.0,30.0
10,24800,786,16,9,end,30.0,30.0,30.0
11,16,800,34,8,start,30.0,30.0,30.0
11,4517,812,34,8,end,30.0,30.0,30.0
11,4520,812,78,9,start,30.0,30.0,30.0
11,9770,826,78,9,end,30.0,30.0,30.0
11,9776,826,40,6,start,30.0,30.0,30.0
11,13151,835,40,6,end,30.0,30.0,30.0
11,13153,835,124,7,start,30.0,30.0,30.0
11,17278,846,124,7,end,30.0,30.0,30.0
11,17278,846,299,8,start,30.0,30.0,30.0
11,21778,858,299,8,end,30.0,30.0,30.0
11,21784,858,73,10,start,30.0,30.0,30.0
11,27792,874,73,10,end,30.0,30.0,30.0
12,16,880,171,6,start,30.0,30.0,30.0
12,3406,889,171,6,end,30.0,30.0,30.0
12,3409,889,292,1,start,30.0,30.0,30.0
12,3784,890,292,1,end,30.0,30.0,30.0
12,3786,890,330,10,start,30.0,30.0,30.0
12,9799,906,330,10,end,30.0,30.0,30.0
