sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,0,0,162,1,PICKED,picked for inspection
1,0,0,162,1,ACCEPTED,accepted for execution
1,760,2,265,6,PICKED,picked for inspection
1,760,2,265,6,ACCEPTED,accepted for execution
1,4138,11,303,10,PICKED,picked for inspection
1,4138,11,303,10,ACCEPTED,accepted for execution
2,15,80,52,1,PICKED,picked for inspection
2,15,80,52,1,ACCEPTED,accepted for execution
2,765,82,168,6,PICKED,picked for inspection
2,765,82,168,6,ACCEPTED,accepted for execution
2,5266,94,28,6,PICKED,picked for inspection
2,5266,94,28,6,ACCEPTED,accepted for execution
2,11266,110,373,5,PICKED,picked for inspection
2,11266,110,373,5,ACCEPTED,accepted for execution
3,0,160,20,7,PICKED,picked for inspection
3,0,160,20,7,ACCEPTED,accepted for execution
3,6751,178,150,1,PICKED,picked for inspection
3,6751,178,150,1,ACCEPTED,accepted for execution
3,7501,180,233,8,PICKED,picked for inspection
3,7501,180,233,8,ACCEPTED,accepted for execution
3,15383,201,203,6,PICKED,picked for inspection
3,15383,201,203,6,ACCEPTED,accepted for execution
4,48,240,169,5,PICKED,picked for inspection
4,48,240,169,5,ACCEPTED,accepted for execution
4,3807,250,127,2,PICKED,picked for inspection
4,3807,250,127,2,ACCEPTED,accepted for execution
4,5311,254,367,8,PICKED,picked for inspection
4,5311,254,367,8,ACCEPTED,accepted for execution
4,11325,270,245,6,PICKED,picked for inspection
4,11325,270,245,6,ACCEPTED,accepted for execution
4,17326,286,190,5,PICKED,picked for inspection
4,17326,286,190,5,REJECTED,Rashina cannot finish task within the remaining time
4,17326,286,55,7,PICKED,picked for inspection
4,17326,286,55,7,REJECTED,Rashina cannot finish task within the remaining time
4,17326,286,85,2,PICKED,picked for inspection
4,17326,286,85,2,ACCEPTED,accepted for execution
4,17326,286,85,2,ACCEPTED,accepted for execution
4,23329,302,288,10,PICKED,picked for inspection
4,23329,302,288,10,REJECTED,Rashina cannot finish task within the remaining time
4,23329,302,348,6,PICKED,picked for inspection
4,23329,302,348,6,ACCEPTED,accepted for execution
4,23329,302,348,6,ACCEPTED,accepted for execution
5,22,320,377,5,PICKED,picked for inspection
5,22,320,377,5,ACCEPTED,accepted for execution
5,4907,333,379,1,PICKED,picked for inspection
5,4907,333,379,1,ACCEPTED,accepted for execution
5,5660,335,210,3,PICKED,picked for inspection
5,5660,335,210,3,ACCEPTED,accepted for execution
5,8662,343,370,6,PICKED,picked for inspection
5,8662,343,370,6,ACCEPTED,accepted for execution
5,14669,359,380,9,PICKED,picked for inspection
5,14669,359,380,9,ACCEPTED,accepted for execution
5,21420,377,46,7,PICKED,picked for inspection
5,21420,377,46,7,ACCEPTED,accepted for execution
6,43,400,120,6,PICKED,picked for inspection
6,43,400,120,6,ACCEPTED,accepted for execution
6,4928,413,163,7,PICKED,picked for inspection
6,4928,413,163,7,ACCEPTED,accepted for execution
6,11681,431,301,6,PICKED,picked for inspection
6,11681,431,301,6,ACCEPTED,accepted for execution
6,16199,443,322,1,PICKED,picked for inspection
6,16199,443,322,1,ACCEPTED,accepted for execution
6,16949,445,130,6,PICKED,picked for inspection
6,16949,445,130,6,ACCEPTED,accepted for execution
7,26,480,251,8,PICKED,picked for inspection
7,26,480,251,8,ACCEPTED,accepted for execution
7,6412,497,199,8,PICKED,picked for inspection
7,6412,497,199,8,ACCEPTED,accepted for execution
7,14290,518,247,7,PICKED,picked for inspection
7,14290,518,247,7,ACCEPTED,accepted for execution
7,21041,536,300,3,PICKED,picked for inspection
7,21041,536,300,3,ACCEPTED,accepted for execution
8,26,560,220,3,PICKED,picked for inspection
8,26,560,220,3,ACCEPTED,accepted for execution
8,2292,566,277,4,PICKED,picked for inspection
8,2292,566,277,4,ACCEPTED,accepted for execution
8,5292,574,395,3,PICKED,picked for inspection
8,5292,574,395,3,ACCEPTED,accepted for execution
8,6793,578,95,2,PICKED,picked for inspection
8,6793,578,95,2,ACCEPTED,accepted for execution
8,7921,581,191,8,PICKED,picked for inspection
8,7921,581,191,8,ACCEPTED,accepted for execution
8,12425,593,166,7,PICKED,picked for inspection
8,12425,593,166,7,ACCEPTED,accepted for execution
8,17676,607,155,6,PICKED,picked for inspection
8,17676,607,155,6,ACCEPTED,accepted for execution
9,16,640,128,6,PICKED,picked for inspection
9,16,640,128,6,ACCEPTED,accepted for execution
9,3403,649,1,8,PICKED,picked for inspection
9,3403,649,1,8,ACCEPTED,accepted for execution
9,7903,661,75,5,PICKED,picked for inspection
9,7903,661,75,5,ACCEPTED,accepted for execution
9,10909,669,215,10,PICKED,picked for inspection
9,10909,669,215,10,ACCEPTED,accepted for execution
9,16926,685,182,3,PICKED,picked for inspection
9,16926,685,182,3,ACCEPTED,accepted for execution
9,18427,689,123,10,PICKED,picked for inspection
9,18427,689,123,10,ACCEPTED,accepted for execution
10,10,720,325,5,PICKED,picked for inspection
10,10,720,325,5,ACCEPTED,accepted for execution
10,3013,728,138,3,PICKED,picked for inspection
10,3013,728,138,3,ACCEPTED,accepted for execution
10,4516,732,371,1,PICKED,picked for inspection
10,4516,732,371,1,ACCEPTED,accepted for execution
10,4893,733,352,1,PICKED,picked for inspection
10,4893,733,352,1,ACCEPTED,accepted for execution
10,5273,734,170,4,PICKED,picked for inspection
10,5273,734,170,4,ACCEPTED,accepted for execution
10,7532,740,328,5,PICKED,picked for inspection
10,7532,740,328,5,ACCEPTED,accepted for execution
10,10542,748,164,3,PICKED,picked for inspection
10,10542,748,164,3,ACCEPTED,accepted for execution
10,12044,752,108,10,PICKED,picked for inspection
10,12044,752,108,10,ACCEPTED,accepted for execution
10,18047,768,205,9,PICKED,picked for inspection
10,18047,768,205,9,ACCEPTED,accepted for execution
10,23302,782,26,9,PICKED,picked for inspection
10,23302,782,26,9,ACCEPTED,accepted for execution
11,16,800,278,9,PICKED,picked for inspection
11,16,800,278,9,ACCEPTED,accepted for execution
11,5276,814,183,9,PICKED,picked for inspection
11,5276,814,183,9,ACCEPTED,accepted for execution
11,10529,828,332,5,PICKED,picked for inspection
11,10529,828,332,5,ACCEPTED,accepted for execution
11,13534,836,81,5,PICKED,picked for inspection
11,13534,836,81,5,ACCEPTED,accepted for execution
11,16537,844,172,10,PICKED,picked for inspection
11,16537,844,172,10,ACCEPTED,accepted for execution
11,22543,860,244,10,PICKED,picked for inspection
11,22543,860,244,10,ACCEPTED,accepted for execution
12,0,880,271,5,PICKED,picked for inspection
12,0,880,271,5,ACCEPTED,accepted for execution
12,3016,888,232,3,PICKED,picked for inspection
12,3016,888,232,3,ACCEPTED,accepted for execution
12,4521,892,274,4,PICKED,picked for inspection
12,4521,892,274,4,ACCEPTED,accepted for execution
