sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_142,142,1,9,BackEnd Design
RandomTask_48,48,1,1,Design FrontEnd
RandomTask_276,276,1,10,Design FrontEnd
RandomTask_362,362,1,10,Design
RandomTask_100,100,1,6,FrontEnd
RandomTask_192,192,1,6,BackEnd Design
RandomTask_21,21,1,5,FrontEnd
RandomTask_203,203,1,6,FrontEnd
RandomTask_150,150,1,1,Design FrontEnd
RandomTask_117,117,1,1,FrontEnd
RandomTask_5,5,1,6,FrontEnd
RandomTask_37,37,1,6,BackEnd
RandomTask_82,82,1,10,Design
RandomTask_393,393,1,10,BackEnd Design
RandomTask_115,115,1,10,BackEnd Design FrontEnd
RandomTask_190,190,1,5,BackEnd
RandomTask_55,55,1,7,BackEnd
RandomTask_173,173,1,3,Design
RandomTask_152,152,1,1,FrontEnd
RandomTask_245,245,1,6,Design
RandomTask_113,113,1,2,BackEnd Design
RandomTask_96,96,1,7,BackEnd Design FrontEnd
RandomTask_88,88,1,5,Design
RandomTask_59,59,1,1,FrontEnd
RandomTask_344,344,1,10,BackEnd Design
RandomTask_169,169,1,5,Design FrontEnd
RandomTask_348,348,1,6,FrontEnd
RandomTask_242,242,1,7,Design FrontEnd
RandomTask_312,312,1,4,BackEnd Design FrontEnd
RandomTask_85,85,1,2,BackEnd
