sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_138,138,1,3,2,BackEnd Design FrontEnd
RandomTask_293,293,1,5,7,BackEnd FrontEnd
RandomTask_337,337,1,3,2,BackEnd FrontEnd
RandomTask_328,328,1,5,3,BackEnd
RandomTask_101,101,1,6,6,BackEnd
RandomTask_221,221,1,7,4,BackEnd FrontEnd
RandomTask_295,295,1,7,1,BackEnd
RandomTask_164,164,1,3,3,BackEnd
RandomTask_189,189,1,6,7,BackEnd Design FrontEnd
RandomTask_112,112,1,6,2,BackEnd Design FrontEnd
RandomTask_156,156,1,5,6,BackEnd FrontEnd
RandomTask_352,352,1,1,6,BackEnd Design
RandomTask_72,72,1,5,4,Design FrontEnd
RandomTask_98,98,1,6,3,BackEnd FrontEnd
RandomTask_170,170,1,4,6,BackEnd Design
RandomTask_22,22,1,3,3,BackEnd FrontEnd
RandomTask_107,107,1,6,7,FrontEnd
RandomTask_108,108,1,10,1,BackEnd Design FrontEnd
RandomTask_369,369,1,6,4,FrontEnd
RandomTask_13,13,1,1,1,BackEnd FrontEnd
RandomTask_211,211,1,2,4,Design FrontEnd
RandomTask_364,364,1,2,1,BackEnd FrontEnd
RandomTask_17,17,1,10,2,Design FrontEnd
RandomTask_63,63,1,5,3,BackEnd FrontEnd
RandomTask_326,326,1,2,4,FrontEnd
RandomTask_194,194,1,5,7,Design FrontEnd
RandomTask_240,240,1,2,1,BackEnd FrontEnd
RandomTask_91,91,1,1,2,Design FrontEnd
RandomTask_321,321,1,1,1,BackEnd FrontEnd
RandomTask_248,248,1,1,1,BackEnd Design
RandomTask_283,283,1,2,4,Design FrontEnd
RandomTask_327,327,1,1,1,BackEnd FrontEnd
RandomTask_228,228,1,2,4,Design FrontEnd
RandomTask_387,387,1,2,1,BackEnd Design FrontEnd
RandomTask_62,62,1,10,6,Design
RandomTask_335,335,1,1,4,Design FrontEnd
RandomTask_302,302,1,2,1,Design
RandomTask_8,8,1,2,4,Design FrontEnd
RandomTask_16,16,1,9,3,BackEnd FrontEnd
RandomTask_26,26,1,9,7,BackEnd FrontEnd
RandomTask_195,195,1,9,2,FrontEnd
RandomTask_316,316,1,4,3,BackEnd FrontEnd
RandomTask_141,141,1,8,4,Design
RandomTask_341,341,1,10,6,Design
RandomTask_296,296,1,9,1,BackEnd
RandomTask_34,34,1,8,2,BackEnd Design FrontEnd
RandomTask_253,253,1,9,7,FrontEnd
RandomTask_165,165,1,7,3,Design
RandomTask_24,24,1,1,3,Design
RandomTask_278,278,1,9,4,BackEnd Design FrontEnd
RandomTask_78,78,1,9,1,FrontEnd
RandomTask_23,23,1,10,6,Design
RandomTask_290,290,1,9,2,BackEnd Design FrontEnd
RandomTask_183,183,1,9,7,FrontEnd
