sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_258,258,1,1,3,Design
RandomTask_322,322,1,1,2,BackEnd FrontEnd
RandomTask_368,368,1,1,6,BackEnd Design
RandomTask_298,298,1,2,7,BackEnd FrontEnd
RandomTask_31,31,1,2,4,BackEnd FrontEnd
RandomTask_359,359,1,2,2,BackEnd FrontEnd
RandomTask_275,275,1,3,1,BackEnd
RandomTask_260,260,1,3,3,Design
RandomTask_353,353,1,3,6,BackEnd
RandomTask_126,126,1,2,7,BackEnd Design FrontEnd
RandomTask_67,67,1,2,4,BackEnd Design FrontEnd
RandomTask_25,25,1,4,2,BackEnd
RandomTask_336,336,1,3,6,BackEnd FrontEnd
RandomTask_43,43,1,4,1,BackEnd
RandomTask_27,27,1,4,3,FrontEnd
RandomTask_261,261,1,6,7,Design
RandomTask_110,110,1,6,4,Design
RandomTask_57,57,1,4,2,BackEnd Design FrontEnd
RandomTask_247,247,1,7,6,BackEnd
RandomTask_181,181,1,8,1,BackEnd
RandomTask_399,399,1,8,3,Design
RandomTask_130,130,1,6,7,BackEnd FrontEnd
RandomTask_163,163,1,7,2,BackEnd Design
RandomTask_266,266,1,9,4,FrontEnd
RandomTask_120,120,1,6,3,BackEnd Design FrontEnd
RandomTask_212,212,1,10,6,BackEnd
RandomTask_47,47,1,10,1,BackEnd
RandomTask_259,259,1,9,7,BackEnd Design
RandomTask_284,284,1,10,2,BackEnd Design FrontEnd
