sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,0,0,162,1,PICKED,picked for inspection
1,0,0,162,1,ACCEPTED,accepted for execution
1,380,1,309,7,PICKED,picked for inspection
1,380,1,309,7,ACCEPTED,accepted for execution
1,4509,12,249,9,PICKED,picked for inspection
1,4509,12,249,9,ACCEPTED,accepted for execution
2,24,80,52,1,PICKED,picked for inspection
2,24,80,52,1,ACCEPTED,accepted for execution
2,409,81,104,7,PICKED,picked for inspection
2,409,81,104,7,ACCEPTED,accepted for execution
2,4537,92,135,10,PICKED,picked for inspection
2,4537,92,135,10,ACCEPTED,accepted for execution
2,10541,108,282,4,PICKED,picked for inspection
2,10541,108,282,4,ACCEPTED,accepted for execution
2,12796,114,158,10,PICKED,picked for inspection
2,12796,114,158,10,ACCEPTED,accepted for execution
3,0,160,96,7,PICKED,picked for inspection
3,0,160,96,7,ACCEPTED,accepted for execution
3,4137,171,169,5,PICKED,picked for inspection
3,4137,171,169,5,ACCEPTED,accepted for execution
3,7142,179,150,1,PICKED,picked for inspection
3,7142,179,150,1,ACCEPTED,accepted for execution
3,7522,180,113,2,PICKED,picked for inspection
3,7522,180,113,2,ACCEPTED,accepted for execution
3,8651,183,400,1,PICKED,picked for inspection
3,8651,183,400,1,ACCEPTED,accepted for execution
3,9029,184,127,2,PICKED,picked for inspection
3,9029,184,127,2,ACCEPTED,accepted for execution
3,10158,187,375,9,PICKED,picked for inspection
3,10158,187,375,9,ACCEPTED,accepted for execution
3,15411,201,190,5,PICKED,picked for inspection
3,15411,201,190,5,ACCEPTED,accepted for execution
3,18414,209,66,10,PICKED,picked for inspection
3,18414,209,66,10,ACCEPTED,accepted for execution
4,23,240,252,5,PICKED,picked for inspection
4,23,240,252,5,ACCEPTED,accepted for execution
4,3028,248,385,7,PICKED,picked for inspection
4,3028,248,385,7,ACCEPTED,accepted for execution
4,7156,259,391,2,PICKED,picked for inspection
4,7156,259,391,2,ACCEPTED,accepted for execution
4,8283,262,297,8,PICKED,picked for inspection
4,8283,262,297,8,ACCEPTED,accepted for execution
4,12786,274,370,6,PICKED,picked for inspection
4,12786,274,370,6,ACCEPTED,accepted for execution
4,16166,283,380,9,PICKED,picked for inspection
4,16166,283,380,9,ACCEPTED,accepted for execution
4,21419,297,342,1,PICKED,picked for inspection
4,21419,297,342,1,ACCEPTED,accepted for execution
4,21796,298,12,5,PICKED,picked for inspection
4,21796,298,12,5,ACCEPTED,accepted for execution
4,24799,306,353,3,PICKED,picked for inspection
4,24799,306,353,3,ACCEPTED,accepted for execution
5,8,320,57,4,PICKED,picked for inspection
5,8,320,57,4,ACCEPTED,accepted for execution
5,2261,326,47,10,PICKED,picked for inspection
5,2261,326,47,10,ACCEPTED,accepted for execution
5,8264,342,304,8,PICKED,picked for inspection
5,8264,342,304,8,ACCEPTED,accepted for execution
5,12765,354,398,7,PICKED,picked for inspection
5,12765,354,398,7,ACCEPTED,accepted for execution
5,16892,365,376,8,PICKED,picked for inspection
5,16892,365,376,8,ACCEPTED,accepted for execution
5,21397,377,33,8,PICKED,picked for inspection
5,21397,377,33,8,ACCEPTED,accepted for execution
5,25901,389,86,10,PICKED,picked for inspection
5,25901,389,86,10,REJECTED,Weiwei cannot finish task within the remaining time
5,25901,389,116,10,PICKED,picked for inspection
5,25901,389,116,10,REJECTED,Weiwei cannot finish task within the remaining time
5,25901,389,86,10,PICKED,no other tasks could be accepted-trying to break this task
5,25901,389,86,6,ACCEPTED,broke task into smaller parts-accepted for execution
5,25901,389,86,6,ACCEPTED,accepted for execution
6,16,400,155,6,PICKED,picked for inspection
6,16,400,155,6,ACCEPTED,accepted for execution
6,3395,409,255,7,PICKED,picked for inspection
6,3395,409,255,7,ACCEPTED,accepted for execution
6,7522,420,166,7,PICKED,picked for inspection
6,7522,420,166,7,ACCEPTED,accepted for execution
6,11650,431,365,3,PICKED,picked for inspection
6,11650,431,365,3,ACCEPTED,accepted for execution
6,13152,435,105,8,PICKED,picked for inspection
6,13152,435,105,8,ACCEPTED,accepted for execution
6,17655,447,29,5,PICKED,picked for inspection
6,17655,447,29,5,ACCEPTED,accepted for execution
6,20660,455,346,8,PICKED,picked for inspection
6,20660,455,346,8,ACCEPTED,accepted for execution
6,25162,467,61,9,PICKED,picked for inspection
6,25162,467,61,9,REJECTED,Weiwei cannot finish task within the remaining time
6,25162,467,384,1,PICKED,picked for inspection
6,25162,467,384,1,ACCEPTED,accepted for execution
6,25162,467,384,1,ACCEPTED,accepted for execution
6,25539,468,80,10,PICKED,picked for inspection
6,25539,468,80,10,REJECTED,Weiwei cannot finish task within the remaining time
6,25539,468,61,9,PICKED,picked for inspection
6,25539,468,61,9,REJECTED,Weiwei cannot finish task within the remaining time
6,25539,468,80,10,PICKED,no other tasks could be accepted-trying to break this task
6,25539,468,80,7,ACCEPTED,broke task into smaller parts-accepted for execution
6,25539,468,80,7,ACCEPTED,accepted for execution
7,11,480,148,4,PICKED,picked for inspection
7,11,480,148,4,ACCEPTED,accepted for execution
7,2271,486,149,3,PICKED,picked for inspection
7,2271,486,149,3,ACCEPTED,accepted for execution
7,3775,490,137,4,PICKED,picked for inspection
7,3775,490,137,4,ACCEPTED,accepted for execution
7,6028,496,351,2,PICKED,picked for inspection
7,6028,496,351,2,ACCEPTED,accepted for execution
7,7157,499,84,6,PICKED,picked for inspection
7,7157,499,84,6,ACCEPTED,accepted for execution
7,10537,508,325,5,PICKED,picked for inspection
7,10537,508,325,5,ACCEPTED,accepted for execution
7,13540,516,320,6,PICKED,picked for inspection
7,13540,516,320,6,ACCEPTED,accepted for execution
7,16918,525,101,6,PICKED,picked for inspection
7,16918,525,101,6,ACCEPTED,accepted for execution
7,20296,534,302,2,PICKED,picked for inspection
7,20296,534,302,2,ACCEPTED,accepted for execution
7,21424,537,283,2,PICKED,picked for inspection
7,21424,537,283,2,ACCEPTED,accepted for execution
7,22552,540,189,6,PICKED,picked for inspection
7,22552,540,189,6,ACCEPTED,accepted for execution
7,25930,549,296,9,PICKED,picked for inspection
7,25930,549,296,9,REJECTED,Weiwei cannot finish task within the remaining time
7,25930,549,296,9,PICKED,no other tasks could be accepted-trying to break this task
7,25930,549,296,6,ACCEPTED,broke task into smaller parts-accepted for execution
7,25930,549,296,6,ACCEPTED,accepted for execution
8,0,560,26,9,PICKED,picked for inspection
8,0,560,26,9,ACCEPTED,accepted for execution
8,5254,574,194,5,PICKED,picked for inspection
8,5254,574,194,5,ACCEPTED,accepted for execution
8,8257,582,23,10,PICKED,picked for inspection
8,8257,582,23,10,ACCEPTED,accepted for execution
8,14259,598,24,1,PICKED,picked for inspection
8,14259,598,24,1,ACCEPTED,accepted for execution
