sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,9,0,49,9,PICKED,picked for inspection
1,9,0,49,9,ACCEPTED,accepted for execution
2,12,80,121,9,PICKED,picked for inspection
2,12,80,121,9,ACCEPTED,accepted for execution
2,11266,110,118,9,PICKED,picked for inspection
2,11266,110,118,9,ACCEPTED,accepted for execution
2,20270,134,157,8,PICKED,picked for inspection
2,20270,134,157,8,REJECTED,Tiffany cannot finish task within the remaining time
2,20270,134,157,8,PICKED,no other tasks could be accepted-trying to break this task
2,20270,134,157,3,ACCEPTED,broke task into smaller parts-accepted for execution
2,20270,134,157,3,ACCEPTED,accepted for execution
3,0,160,20,7,PICKED,picked for inspection
3,0,160,20,7,ACCEPTED,accepted for execution
3,9010,184,21,5,PICKED,picked for inspection
3,9010,184,21,5,ACCEPTED,accepted for execution
3,12015,192,5,6,PICKED,picked for inspection
3,12015,192,5,6,ACCEPTED,accepted for execution
4,0,240,96,7,PICKED,picked for inspection
4,0,240,96,7,ACCEPTED,accepted for execution
4,6762,258,400,1,PICKED,picked for inspection
4,6762,258,400,1,ACCEPTED,accepted for execution
4,7515,260,375,9,PICKED,picked for inspection
4,7515,260,375,9,ACCEPTED,accepted for execution
4,14269,278,294,10,PICKED,picked for inspection
4,14269,278,294,10,ACCEPTED,accepted for execution
5,8,320,9,6,PICKED,picked for inspection
5,8,320,9,6,ACCEPTED,accepted for execution
5,4887,333,378,8,PICKED,picked for inspection
5,4887,333,378,8,ACCEPTED,accepted for execution
5,12766,354,263,2,PICKED,picked for inspection
5,12766,354,263,2,ACCEPTED,accepted for execution
5,14644,359,39,5,PICKED,picked for inspection
5,14644,359,39,5,ACCEPTED,accepted for execution
5,19522,372,174,7,PICKED,picked for inspection
5,19522,372,174,7,ACCEPTED,accepted for execution
5,26276,390,202,2,PICKED,picked for inspection
5,26276,390,202,2,ACCEPTED,accepted for execution
6,0,400,231,7,PICKED,picked for inspection
6,0,400,231,7,ACCEPTED,accepted for execution
6,5637,415,368,1,PICKED,picked for inspection
6,5637,415,368,1,ACCEPTED,accepted for execution
6,6389,417,259,9,PICKED,picked for inspection
6,6389,417,259,9,ACCEPTED,accepted for execution
6,15396,441,25,4,PICKED,picked for inspection
6,15396,441,25,4,ACCEPTED,accepted for execution
6,19149,451,247,7,PICKED,picked for inspection
6,19149,451,247,7,ACCEPTED,accepted for execution
7,33,480,251,8,PICKED,picked for inspection
7,33,480,251,8,ACCEPTED,accepted for execution
7,6417,497,74,7,PICKED,picked for inspection
7,6417,497,74,7,ACCEPTED,accepted for execution
7,13172,515,71,5,PICKED,picked for inspection
7,13172,515,71,5,ACCEPTED,accepted for execution
7,16176,523,300,3,PICKED,picked for inspection
7,16176,523,300,3,ACCEPTED,accepted for execution
7,17679,527,222,10,PICKED,picked for inspection
7,17679,527,222,10,ACCEPTED,accepted for execution
7,23681,543,116,10,PICKED,picked for inspection
7,23681,543,116,10,ACCEPTED,accepted for execution
8,25,560,220,3,PICKED,picked for inspection
8,25,560,220,3,ACCEPTED,accepted for execution
8,2277,566,223,9,PICKED,picked for inspection
8,2277,566,223,9,ACCEPTED,accepted for execution
8,9030,584,229,10,PICKED,picked for inspection
8,9030,584,229,10,ACCEPTED,accepted for execution
8,15035,600,155,6,PICKED,picked for inspection
8,15035,600,155,6,ACCEPTED,accepted for execution
8,18421,609,6,6,PICKED,picked for inspection
8,18421,609,6,6,ACCEPTED,accepted for execution
8,21799,618,29,5,PICKED,picked for inspection
8,21799,618,29,5,ACCEPTED,accepted for execution
9,9,640,287,1,PICKED,picked for inspection
9,9,640,287,1,ACCEPTED,accepted for execution
9,388,641,106,4,PICKED,picked for inspection
9,388,641,106,4,ACCEPTED,accepted for execution
9,3018,648,178,3,PICKED,picked for inspection
9,3018,648,178,3,ACCEPTED,accepted for execution
9,4897,653,204,1,PICKED,picked for inspection
9,4897,653,204,1,ACCEPTED,accepted for execution
9,5651,655,149,3,PICKED,picked for inspection
9,5651,655,149,3,ACCEPTED,accepted for execution
9,7906,661,114,2,PICKED,picked for inspection
9,7906,661,114,2,ACCEPTED,accepted for execution
9,9410,665,61,9,PICKED,picked for inspection
9,9410,665,61,9,ACCEPTED,accepted for execution
9,16164,683,137,4,PICKED,picked for inspection
9,16164,683,137,4,ACCEPTED,accepted for execution
9,19168,691,10,8,PICKED,picked for inspection
9,19168,691,10,8,ACCEPTED,accepted for execution
10,18,720,165,7,PICKED,picked for inspection
10,18,720,165,7,ACCEPTED,accepted for execution
10,4145,731,325,5,PICKED,picked for inspection
10,4145,731,325,5,ACCEPTED,accepted for execution
10,7148,739,62,10,PICKED,picked for inspection
10,7148,739,62,10,ACCEPTED,accepted for execution
10,13152,755,194,5,PICKED,picked for inspection
10,13152,755,194,5,ACCEPTED,accepted for execution
10,16155,763,302,2,PICKED,picked for inspection
10,16155,763,302,2,ACCEPTED,accepted for execution
10,17285,766,141,8,PICKED,picked for inspection
10,17285,766,141,8,ACCEPTED,accepted for execution
10,21789,778,296,9,PICKED,picked for inspection
10,21789,778,296,9,ACCEPTED,accepted for execution
11,19,800,68,7,PICKED,picked for inspection
11,19,800,68,7,ACCEPTED,accepted for execution
11,4152,811,262,7,PICKED,picked for inspection
11,4152,811,262,7,ACCEPTED,accepted for execution
11,8287,822,133,6,PICKED,picked for inspection
11,8287,822,133,6,ACCEPTED,accepted for execution
11,11666,831,103,5,PICKED,picked for inspection
11,11666,831,103,5,ACCEPTED,accepted for execution
11,14668,839,97,3,PICKED,picked for inspection
11,14668,839,97,3,ACCEPTED,accepted for execution
11,16172,843,354,3,PICKED,picked for inspection
