sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,12,0,217,4,PICKED,picked for inspection
1,12,0,217,4,ACCEPTED,accepted for execution
2,15,80,168,6,PICKED,picked for inspection
2,15,80,168,6,ACCEPTED,accepted for execution
3,19,160,254,2,PICKED,picked for inspection
3,19,160,254,2,ACCEPTED,accepted for execution
3,6026,176,65,4,PICKED,picked for inspection
3,6026,176,65,4,ACCEPTED,accepted for execution
4,0,240,20,7,PICKED,picked for inspection
4,0,240,20,7,ACCEPTED,accepted for execution
5,14,320,150,1,PICKED,picked for inspection
5,14,320,150,1,ACCEPTED,accepted for execution
5,3018,328,100,6,PICKED,picked for inspection
5,3018,328,100,6,ACCEPTED,accepted for execution
6,42,400,344,10,PICKED,picked for inspection
6,42,400,344,10,ACCEPTED,accepted for execution
7,32,480,294,10,PICKED,picked for inspection
7,32,480,294,10,ACCEPTED,accepted for execution
8,13,560,9,6,PICKED,picked for inspection
8,13,560,9,6,ACCEPTED,accepted for execution
8,10517,588,45,9,PICKED,picked for inspection
8,10517,588,45,9,ACCEPTED,accepted for execution
9,17,640,345,6,PICKED,picked for inspection
9,17,640,345,6,ACCEPTED,accepted for execution
9,7522,660,120,6,PICKED,picked for inspection
9,7522,660,120,6,ACCEPTED,accepted for execution
9,13527,676,163,7,PICKED,picked for inspection
9,13527,676,163,7,ACCEPTED,accepted for execution
9,20281,694,25,4,PICKED,picked for inspection
9,20281,694,25,4,ACCEPTED,accepted for execution
10,21,720,251,8,PICKED,picked for inspection
10,21,720,251,8,ACCEPTED,accepted for execution
10,7898,741,376,8,PICKED,picked for inspection
10,7898,741,376,8,ACCEPTED,accepted for execution
10,15778,762,350,2,PICKED,picked for inspection
10,15778,762,350,2,ACCEPTED,accepted for execution
10,17657,767,256,10,PICKED,picked for inspection
10,17657,767,256,10,ACCEPTED,accepted for execution
11,20,800,186,7,PICKED,picked for inspection
11,20,800,186,7,ACCEPTED,accepted for execution
11,6771,818,331,2,PICKED,picked for inspection
11,6771,818,331,2,ACCEPTED,accepted for execution
11,8650,823,166,7,PICKED,picked for inspection
11,8650,823,166,7,ACCEPTED,accepted for execution
11,15405,841,220,3,PICKED,picked for inspection
11,15405,841,220,3,ACCEPTED,accepted for execution
11,18409,849,272,9,PICKED,picked for inspection
11,18409,849,272,9,ACCEPTED,accepted for execution
12,21,880,287,1,PICKED,picked for inspection
12,21,880,287,1,ACCEPTED,accepted for execution
12,773,882,50,9,PICKED,picked for inspection
12,773,882,50,9,ACCEPTED,accepted for execution
12,9776,906,114,2,PICKED,picked for inspection
12,9776,906,114,2,ACCEPTED,accepted for execution
12,11279,910,61,9,PICKED,picked for inspection
12,11279,910,61,9,ACCEPTED,accepted for execution
12,18034,928,84,6,PICKED,picked for inspection
12,18034,928,84,6,ACCEPTED,accepted for execution
12,21413,937,204,1,PICKED,picked for inspection
12,21413,937,204,1,ACCEPTED,accepted for execution
12,21792,938,270,8,PICKED,picked for inspection
12,21792,938,270,8,ACCEPTED,accepted for execution
13,22,960,108,10,PICKED,picked for inspection
13,22,960,108,10,ACCEPTED,accepted for execution
13,6775,978,112,6,PICKED,picked for inspection
13,6775,978,112,6,ACCEPTED,accepted for execution
13,10904,989,170,4,PICKED,picked for inspection
13,10904,989,170,4,ACCEPTED,accepted for execution
13,13159,995,16,9,PICKED,picked for inspection
13,13159,995,16,9,ACCEPTED,accepted for execution
13,19912,1013,364,2,PICKED,picked for inspection
13,19912,1013,364,2,ACCEPTED,accepted for execution
13,21417,1017,228,2,PICKED,picked for inspection
13,21417,1017,228,2,ACCEPTED,accepted for execution
13,22923,1021,369,6,PICKED,picked for inspection
13,22923,1021,369,6,ACCEPTED,accepted for execution
14,22,1040,290,9,PICKED,picked for inspection
14,22,1040,290,9,ACCEPTED,accepted for execution
14,6024,1056,387,2,PICKED,picked for inspection
14,6024,1056,387,2,ACCEPTED,accepted for execution
14,7154,1059,221,7,PICKED,picked for inspection
14,7154,1059,221,7,ACCEPTED,accepted for execution
14,11281,1070,248,1,PICKED,picked for inspection
14,11281,1070,248,1,ACCEPTED,accepted for execution
14,11659,1071,8,2,PICKED,picked for inspection
14,11659,1071,8,2,ACCEPTED,accepted for execution
14,12793,1074,372,10,PICKED,picked for inspection
14,12793,1074,372,10,ACCEPTED,accepted for execution
14,18796,1090,185,3,PICKED,picked for inspection
14,18796,1090,185,3,ACCEPTED,accepted for execution
14,20302,1094,299,8,PICKED,picked for inspection
14,20302,1094,299,8,ACCEPTED,accepted for execution
15,15,1120,292,1,PICKED,picked for inspection
15,15,1120,292,1,ACCEPTED,accepted for execution
15,394,1121,227,5,PICKED,picked for inspection
15,394,1121,227,5,ACCEPTED,accepted for execution
15,3397,1129,244,10,PICKED,picked for inspection
15,3397,1129,244,10,ACCEPTED,accepted for execution
15,9401,1145,318,6,PICKED,picked for inspection
15,9401,1145,318,6,ACCEPTED,accepted for execution
15,12780,1154,285,1,PICKED,picked for inspection
15,12780,1154,285,1,ACCEPTED,accepted for execution
15,13158,1155,241,4,PICKED,picked for inspection
15,13158,1155,241,4,ACCEPTED,accepted for execution
