sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,10,0,57,4,start,21.0,21.0,21.0
1,2260,6,57,4,end,21.6,21.6,21.6
1,2265,6,60,10,start,21.6,21.6,21.6
1,8266,22,60,10,end,21.6,21.6,23.1
2,4,80,197,2,start,21.6,21.6,23.1
2,1129,83,197,2,end,21.900000000000002,21.6,23.400000000000002
2,1132,83,43,4,start,21.900000000000002,21.6,23.400000000000002
2,3382,89,43,4,end,22.500000000000004,21.6,23.400000000000002
2,3386,89,110,6,start,22.500000000000004,21.6,23.400000000000002
2,6762,98,110,6,end,22.500000000000004,21.6,24.3
2,6765,98,399,8,start,22.500000000000004,21.6,24.3
2,11266,110,399,8,end,22.500000000000004,21.6,25.5
2,11269,110,30,7,start,22.500000000000004,21.6,25.5
2,15394,121,30,7,end,23.550000000000004,22.650000000000002,25.5
2,15399,121,270,8,start,23.550000000000004,22.650000000000002,25.5
2,19899,133,270,8,end,24.750000000000004,22.650000000000002,26.7
2,19904,133,144,10,start,24.750000000000004,22.650000000000002,26.7
2,25904,149,144,10,end,24.750000000000004,24.150000000000002,28.2
3,25,160,321,1,start,24.750000000000004,24.150000000000002,28.2
3,401,161,321,1,end,24.900000000000002,24.3,28.2
3,409,161,263,2,start,24.900000000000002,24.3,28.2
3,1534,164,263,2,end,25.200000000000003,24.3,28.5
3,1538,164,119,5,start,25.200000000000003,24.3,28.5
3,4538,172,119,5,end,25.200000000000003,24.3,29.25
3,4570,172,124,7,start,25.200000000000003,24.3,29.25
3,8695,183,124,7,end,26.250000000000004,24.3,29.25
3,8717,183,82,10,start,26.250000000000004,24.3,29.25
3,14717,199,82,10,end,26.250000000000004,24.3,30.0
3,14720,199,15,8,start,26.250000000000004,24.3,30.0
3,19220,211,15,8,end,27.450000000000003,24.3,30.0
3,19223,211,259,9,start,27.450000000000003,24.3,30.0
3,24473,225,259,9,end,28.800000000000004,24.3,30.0
4,10,240,24,1,start,28.800000000000004,24.3,30.0
4,385,241,24,1,end,28.800000000000004,24.3,30.0
4,388,241,302,2,start,28.800000000000004,24.3,30.0
4,1513,244,302,2,end,28.800000000000004,24.3,30.0
4,1517,244,95,2,start,28.800000000000004,24.3,30.0
4,2642,247,95,2,end,28.800000000000004,24.3,30.0
4,2646,247,395,3,start,28.800000000000004,24.3,30.0
4,4146,251,395,3,end,28.800000000000004,24.3,30.0
4,4150,251,381,3,start,28.800000000000004,24.3,30.0
4,5650,255,381,3,end,28.800000000000004,24.3,30.0
4,5654,255,32,4,start,28.800000000000004,24.3,30.0
4,7904,261,32,4,end,28.800000000000004,24.3,30.0
4,7907,261,23,10,start,28.800000000000004,24.3,30.0
4,13907,277,23,10,end,28.800000000000004,24.3,30.0
4,13910,277,333,6,start,28.800000000000004,24.3,30.0
4,17286,286,333,6,end,28.800000000000004,25.2,30.0
4,17289,286,297,8,start,28.800000000000004,25.2,30.0
4,21790,298,297,8,end,28.800000000000004,26.4,30.0
4,21793,298,244,10,start,28.800000000000004,26.4,30.0
4,27793,314,244,10,end,28.800000000000004,27.9,30.0
5,44,320,97,3,start,28.800000000000004,27.9,30.0
5,1544,324,97,3,end,28.800000000000004,27.9,30.0
5,1550,324,355,5,start,28.800000000000004,27.9,30.0
5,4551,332,355,5,end,28.800000000000004,27.9,30.0
5,4555,332,2,6,start,28.800000000000004,27.9,30.0
5,7930,341,2,6,end,28.800000000000004,27.9,30.0
5,7934,341,143,8,start,28.800000000000004,27.9,30.0
5,12434,353,143,8,end,28.800000000000004,27.9,30.0
5,12438,353,62,10,start,28.800000000000004,27.9,30.0
5,18439,369,62,10,end,28.800000000000004,27.9,30.0
5,18443,369,362,10,start,28.800000000000004,27.9,30.0
5,24444,385,362,10,end,28.800000000000004,27.9,30.0
