sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,13,0,282,4,start,21.0,6.0,0.1
1,3014,8,282,4,end,21.6,6.6,0.1
1,3022,8,233,8,start,21.6,6.6,0.1
1,9023,24,233,8,end,22.8,7.8,0.1
2,18,80,35,2,start,22.8,7.8,0.1
2,1519,84,35,2,end,23.1,8.1,0.1
2,1529,84,43,4,start,23.1,8.1,0.1
2,3780,90,43,4,end,23.700000000000003,8.1,0.1
2,3784,90,217,4,start,23.700000000000003,8.1,0.1
2,7534,100,217,4,end,24.300000000000004,8.1,0.7
2,7539,100,296,9,start,24.300000000000004,8.1,0.7
2,12789,114,296,9,end,25.650000000000006,8.1,0.7
2,12793,114,30,7,start,25.650000000000006,8.1,0.7
2,18044,128,30,7,end,26.700000000000006,9.15,0.7
2,18048,128,34,8,start,26.700000000000006,9.15,0.7
2,25924,149,34,8,end,27.900000000000006,10.35,1.9
3,16,160,182,3,start,27.900000000000006,10.35,1.9
3,1516,164,182,3,end,28.350000000000005,10.35,1.9
3,1518,164,55,7,start,28.350000000000005,10.35,1.9
3,5644,175,55,7,end,29.400000000000006,10.35,1.9
3,5648,175,33,8,start,29.400000000000006,10.35,1.9
3,10148,187,33,8,end,30.0,10.35,1.9
3,10151,187,212,10,start,30.0,10.35,1.9
3,16151,203,212,10,end,30.0,10.35,1.9
3,16154,203,264,7,start,30.0,10.35,1.9
3,21404,217,264,7,end,30.0,11.4,1.9
3,21409,217,250,8,start,30.0,11.4,1.9
3,29284,238,250,8,end,30.0,12.6,3.0999999999999996
4,46,240,222,10,start,30.0,12.6,3.0999999999999996
4,6046,256,222,10,end,30.0,12.6,3.0999999999999996
4,6050,256,64,5,start,30.0,12.6,3.0999999999999996
4,10925,269,64,5,end,30.0,12.6,3.8499999999999996
4,10929,269,49,9,start,30.0,12.6,3.8499999999999996
4,17679,287,49,9,end,30.0,13.95,3.8499999999999996
4,17683,287,356,10,start,30.0,13.95,3.8499999999999996
4,25183,307,356,10,end,30.0,15.45,3.8499999999999996
4,25186,307,330,4,start,30.0,15.45,3.8499999999999996
4,28937,317,330,4,end,30.0,16.05,4.449999999999999
5,23,320,275,3,start,30.0,16.05,4.449999999999999
5,1524,324,275,3,end,30.0,16.05,4.449999999999999
5,1528,324,328,5,start,30.0,16.05,4.449999999999999
5,4528,332,328,5,end,30.0,16.05,4.449999999999999
5,4532,332,298,2,start,30.0,16.05,4.449999999999999
5,6033,336,298,2,end,30.0,16.35,4.449999999999999
5,6036,336,91,1,start,30.0,16.35,4.449999999999999
5,7536,340,91,1,end,30.0,16.5,4.6
5,7540,340,336,3,start,30.0,16.5,4.6
5,9790,346,336,3,end,30.0,16.95,4.6
5,9794,346,387,2,start,30.0,16.95,4.6
5,11669,351,387,2,end,30.0,17.25,4.8999999999999995
5,11672,351,177,5,start,30.0,17.25,4.8999999999999995
5,15423,361,177,5,end,30.0,18.0,4.8999999999999995
5,15426,361,334,10,start,30.0,18.0,4.8999999999999995
5,22927,381,334,10,end,30.0,19.5,4.8999999999999995
6,22,400,202,2,start,30.0,19.5,4.8999999999999995
6,1148,403,202,2,end,30.0,19.5,4.8999999999999995
6,1150,403,139,3,start,30.0,19.5,4.8999999999999995
6,2650,407,139,3,end,30.0,19.5,4.8999999999999995
6,2652,407,126,2,start,30.0,19.5,4.8999999999999995
6,4528,412,126,2,end,30.0,19.8,5.199999999999999
6,4548,412,211,2,start,30.0,19.8,5.199999999999999
6,6424,417,211,2,end,30.0,20.1,5.499999999999999
6,6428,417,93,3,start,30.0,20.1,5.499999999999999
6,8678,423,93,3,end,30.0,20.55,5.949999999999999
6,8682,423,12,5,start,30.0,20.55,5.949999999999999
6,12433,433,12,5,end,30.0,20.55,6.699999999999999
6,12436,433,106,4,start,30.0,20.55,6.699999999999999
6,15062,440,106,4,end,30.0,21.150000000000002,7.299999999999999
6,15065,440,380,9,start,30.0,21.150000000000002,7.299999999999999
6,20315,454,380,9,end,30.0,22.500000000000004,7.299999999999999
6,20319,454,231,7,start,30.0,22.500000000000004,7.299999999999999
6,24819,466,231,7,end,30.0,23.550000000000004,8.35
7,24,480,200,5,start,30.0,23.550000000000004,8.35
7,3025,488,200,5,end,30.0,23.550000000000004,8.35
7,3027,488,46,7,start,30.0,23.550000000000004,8.35
7,7153,499,46,7,end,30.0,23.550000000000004,8.35
7,7156,499,205,9,start,30.0,23.550000000000004,8.35
7,12406,513,205,9,end,30.0,23.550000000000004,8.35
7,12410,513,241,4,start,30.0,23.550000000000004,8.35
7,15410,521,241,4,end,30.0,23.550000000000004,8.95
7,15414,521,343,9,start,30.0,23.550000000000004,8.95
7,20664,535,343,9,end,30.0,24.900000000000006,8.95
7,20667,535,278,9,start,30.0,24.900000000000006,8.95
7,26667,551,278,9,end,30.0,26.250000000000007,10.299999999999999
8,19,560,237,3,start,30.0,26.250000000000007,10.299999999999999
8,1519,564,237,3,end,30.0,26.250000000000007,10.299999999999999
