sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,0,0,57,4,PICKED,picked for inspection
1,0,0,57,4,ACCEPTED,accepted for execution
1,3752,10,88,5,PICKED,picked for inspection
1,3752,10,88,5,ACCEPTED,accepted for execution
2,0,80,320,6,PICKED,picked for inspection
2,0,80,320,6,ACCEPTED,accepted for execution
2,6009,96,217,4,PICKED,picked for inspection
2,6009,96,217,4,ACCEPTED,accepted for execution
2,9763,106,7,6,PICKED,picked for inspection
2,9763,106,7,6,ACCEPTED,accepted for execution
2,13142,115,296,9,PICKED,picked for inspection
2,13142,115,296,9,REJECTED,Tiffany cannot finish task within the remaining time
2,13142,115,296,9,PICKED,no other tasks could be accepted-trying to break this task
2,13142,115,296,9,REJECTED,could not break this task-Tiffany finished for this sprint
3,16,160,9,6,PICKED,picked for inspection
3,16,160,9,6,ACCEPTED,accepted for execution
3,6019,176,144,10,PICKED,picked for inspection
3,6019,176,144,10,ACCEPTED,accepted for execution
3,13528,196,56,6,PICKED,picked for inspection
3,13529,196,56,6,ACCEPTED,accepted for execution
3,18032,208,176,10,PICKED,picked for inspection
3,18032,208,176,10,ACCEPTED,accepted for execution
3,25535,228,82,10,PICKED,picked for inspection
3,25535,228,82,10,REJECTED,Tiffany cannot finish task within the remaining time
3,25535,228,82,10,PICKED,no other tasks could be accepted-trying to break this task
3,25535,228,82,7,ACCEPTED,broke task into smaller parts-accepted for execution
3,25535,228,82,7,ACCEPTED,accepted for execution
4,0,240,287,1,PICKED,picked for inspection
4,0,240,287,1,ACCEPTED,accepted for execution
4,762,242,40,6,PICKED,picked for inspection
4,762,242,40,6,ACCEPTED,accepted for execution
4,6765,258,293,5,PICKED,picked for inspection
4,6765,258,293,5,ACCEPTED,accepted for execution
4,14269,278,216,6,PICKED,picked for inspection
4,14269,278,216,6,ACCEPTED,accepted for execution
4,23272,302,174,7,PICKED,picked for inspection
4,23272,302,174,7,REJECTED,Tiffany cannot finish task within the remaining time
4,23272,302,124,7,PICKED,picked for inspection
4,23272,302,124,7,REJECTED,Tiffany cannot finish task within the remaining time
4,23272,302,33,8,PICKED,picked for inspection
4,23272,302,33,8,REJECTED,Tiffany cannot finish task within the remaining time
4,23272,302,289,2,PICKED,picked for inspection
4,23272,302,289,2,ACCEPTED,accepted for execution
4,23272,302,289,2,ACCEPTED,accepted for execution
4,25150,307,174,7,PICKED,picked for inspection
4,25150,307,174,7,REJECTED,Tiffany cannot finish task within the remaining time
4,25150,307,124,7,PICKED,picked for inspection
4,25150,307,124,7,REJECTED,Tiffany cannot finish task within the remaining time
4,25150,307,33,8,PICKED,picked for inspection
4,25150,307,33,8,REJECTED,Tiffany cannot finish task within the remaining time
4,25150,307,182,3,PICKED,picked for inspection
4,25150,307,182,3,ACCEPTED,accepted for execution
4,25150,307,182,3,ACCEPTED,accepted for execution
4,28153,315,174,7,PICKED,picked for inspection
4,28153,315,174,7,REJECTED,Tiffany cannot finish task within the remaining time
4,28153,315,124,7,PICKED,picked for inspection
4,28153,315,124,7,REJECTED,Tiffany cannot finish task within the remaining time
