sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,11,0,382,7,start,2.0,1.5,2.0
1,21037,56,382,7,end,3.05,1.5,2.0
1,21037,56,60,3,start,3.05,1.5,2.0
1,30041,80,60,3,end,3.05,1.5,2.45
2,0,80,57,4,start,3.05,1.5,2.45
2,12013,112,57,4,end,3.65,2.1,3.0500000000000003
3,0,160,88,5,start,3.65,2.1,3.0500000000000003
3,15005,200,88,5,end,3.65,2.1,3.8000000000000003
4,16,240,344,10,start,3.65,2.1,3.8000000000000003
4,30020,320,344,10,end,5.15,2.1,5.300000000000001
5,0,320,269,3,start,5.15,2.1,5.300000000000001
5,3001,328,269,3,end,5.15,2.1,5.750000000000001
5,3001,328,392,9,start,5.15,2.1,5.750000000000001
5,30011,400,392,9,end,5.15,3.45,5.750000000000001
6,20,400,256,10,start,5.15,3.45,5.750000000000001
6,9774,426,256,10,end,6.65,3.45,7.250000000000001
7,15,480,270,8,start,6.65,3.45,7.250000000000001
7,7897,501,270,8,end,7.8500000000000005,3.45,8.450000000000001
8,33,560,138,3,start,7.8500000000000005,3.45,8.450000000000001
8,3793,570,138,3,end,8.3,3.9000000000000004,8.9
8,3793,570,188,7,start,8.3,3.9000000000000004,8.9
8,14294,598,188,7,end,8.3,4.95,9.950000000000001
9,21,640,212,10,start,8.3,4.95,9.950000000000001
9,9786,666,212,10,end,9.8,4.95,9.950000000000001
9,9786,666,105,8,start,9.8,4.95,9.950000000000001
9,19918,693,105,8,end,11.0,6.15,11.15
10,31,720,13,1,start,11.0,6.15,11.15
10,781,722,13,1,end,11.15,6.300000000000001,11.15
10,785,722,119,5,start,11.15,6.300000000000001,11.15
10,5660,735,119,5,end,11.15,6.300000000000001,11.9
10,5664,735,124,7,start,11.15,6.300000000000001,11.9
10,12415,753,124,7,end,12.200000000000001,6.300000000000001,11.9
10,12418,753,74,7,start,12.200000000000001,6.300000000000001,11.9
10,19168,771,74,7,end,13.250000000000002,6.300000000000001,12.950000000000001
11,62,800,162,1,start,13.250000000000002,6.300000000000001,12.950000000000001
11,812,802,162,1,end,13.400000000000002,6.450000000000001,13.100000000000001
11,838,802,64,5,start,13.400000000000002,6.450000000000001,13.100000000000001
11,5714,815,64,5,end,14.150000000000002,6.450000000000001,13.850000000000001
11,5717,815,345,6,start,14.150000000000002,6.450000000000001,13.850000000000001
11,11718,831,345,6,end,15.050000000000002,7.350000000000001,14.750000000000002
11,11720,831,259,9,start,15.050000000000002,7.350000000000001,14.750000000000002
11,20724,855,259,9,end,16.400000000000002,7.350000000000001,16.1
12,39,880,298,2,start,16.400000000000002,7.350000000000001,16.1
12,1914,885,298,2,end,16.700000000000003,7.650000000000001,16.1
12,1917,885,387,2,start,16.700000000000003,7.650000000000001,16.1
12,3792,890,387,2,end,17.000000000000004,7.950000000000001,16.400000000000002
12,3792,890,389,3,start,17.000000000000004,7.950000000000001,16.400000000000002
12,6792,898,389,3,end,17.000000000000004,8.4,16.85
12,6792,898,101,6,start,17.000000000000004,8.4,16.85
12,12805,914,101,6,end,17.900000000000002,8.4,16.85
12,12805,914,189,6,start,17.900000000000002,8.4,16.85
12,18805,930,189,6,end,18.8,9.3,17.75
12,18808,930,334,10,start,18.8,9.3,17.75
12,28562,956,334,10,end,20.3,10.8,17.75
13,36,960,95,2,start,20.3,10.8,17.75
13,1911,965,95,2,end,20.3,10.8,18.05
13,1916,965,149,3,start,20.3,10.8,18.05
13,4167,971,149,3,end,20.75,10.8,18.5
13,4170,971,177,5,start,20.75,10.8,18.5
13,7921,981,177,5,end,21.5,11.55,18.5
13,7923,981,195,9,start,21.5,11.55,18.5
13,16924,1005,195,9,end,21.5,12.9,18.5
13,16930,1005,44,10,start,21.5,12.9,18.5
13,26688,1031,44,10,end,21.5,14.4,20.0
14,16,1040,384,1,start,21.5,14.4,20.0
14,392,1041,384,1,end,21.65,14.4,20.0
14,394,1041,329,4,start,21.65,14.4,20.0
14,3395,1049,329,4,end,22.25,15.0,20.0
14,3398,1049,84,6,start,22.25,15.0,20.0
14,7899,1061,84,6,end,23.15,15.0,20.9
14,7903,1061,362,10,start,23.15,15.0,20.9
14,13916,1077,362,10,end,23.15,15.0,22.4
14,13916,1077,239,10,start,23.15,15.0,22.4
14,19916,1093,239,10,end,23.15,15.0,23.9
15,54,1120,200,5,start,23.15,15.0,23.9
15,3054,1128,200,5,end,23.9,15.0,23.9
15,3057,1128,2,6,start,23.9,15.0,23.9
15,6433,1137,2,6,end,23.9,15.0,24.799999999999997
15,6436,1137,46,7,start,23.9,15.0,24.799999999999997
15,10562,1148,46,7,end,24.95,15.0,24.799999999999997
15,10567,1148,184,7,start,24.95,15.0,24.799999999999997
15,15818,1162,184,7,end,26.0,16.05,24.799999999999997
15,15824,1162,376,8,start,26.0,16.05,24.799999999999997
15,21074,1176,376,8,end,27.2,17.25,25.999999999999996
16,63,1200,53,3,start,27.2,17.25,25.999999999999996
16,1578,1204,53,3,end,27.2,17.25,26.449999999999996
16,1578,1204,360,3,start,27.2,17.25,26.449999999999996
16,3828,1210,360,3,end,27.65,17.7,26.449999999999996
16,3828,1210,170,4,start,27.65,17.7,26.449999999999996
16,6079,1216,170,4,end,28.25,17.7,27.049999999999997
16,6081,1216,70,5,start,28.25,17.7,27.049999999999997
