sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,6,0,282,4,PICKED,picked for inspection
1,6,0,282,4,ACCEPTED,accepted for execution
1,3761,10,86,10,PICKED,picked for inspection
1,3761,10,86,10,ACCEPTED,accepted for execution
2,9,80,43,4,PICKED,picked for inspection
2,9,80,43,4,ACCEPTED,accepted for execution
2,3762,90,325,5,PICKED,picked for inspection
2,3762,90,325,5,ACCEPTED,accepted for execution
2,8640,103,392,9,PICKED,picked for inspection
2,8640,103,392,9,ACCEPTED,accepted for execution
2,17643,127,144,10,PICKED,picked for inspection
2,17643,127,144,10,ACCEPTED,accepted for execution
3,10,160,8,2,PICKED,picked for inspection
3,10,160,8,2,ACCEPTED,accepted for execution
3,1893,165,41,6,PICKED,picked for inspection
3,1893,165,41,6,ACCEPTED,accepted for execution
3,7904,181,370,6,PICKED,picked for inspection
3,7904,181,370,6,ACCEPTED,accepted for execution
3,13906,197,212,10,PICKED,picked for inspection
3,13906,197,212,10,ACCEPTED,accepted for execution
4,0,240,285,1,PICKED,picked for inspection
4,0,240,285,1,ACCEPTED,accepted for execution
4,759,242,173,3,PICKED,picked for inspection
4,759,242,173,3,ACCEPTED,accepted for execution
4,3761,250,55,7,PICKED,picked for inspection
4,3761,250,55,7,ACCEPTED,accepted for execution
4,10514,268,98,6,PICKED,picked for inspection
4,10514,268,98,6,ACCEPTED,accepted for execution
4,16517,284,40,6,PICKED,picked for inspection
4,16517,284,40,6,ACCEPTED,accepted for execution
4,22520,300,356,2,PICKED,picked for inspection
4,22520,300,356,2,ACCEPTED,accepted for execution
5,29679,399,258,1,PICKED,picked for inspection
5,29679,399,258,1,REJECTED,Mohan cannot finish task within the remaining time
5,29679,399,24,1,PICKED,picked for inspection
5,29679,399,24,1,REJECTED,Mohan cannot finish task within the remaining time
5,29679,399,321,1,PICKED,picked for inspection
5,29679,399,321,1,REJECTED,Mohan cannot finish task within the remaining time
5,29679,399,219,1,PICKED,picked for inspection
5,29679,399,219,1,REJECTED,Mohan cannot finish task within the remaining time
5,29679,399,322,1,PICKED,picked for inspection
5,29679,399,322,1,REJECTED,Mohan cannot finish task within the remaining time
5,29679,399,58,1,PICKED,picked for inspection
5,29679,399,58,1,REJECTED,Mohan cannot finish task within the remaining time
5,29679,399,162,1,PICKED,picked for inspection
5,29679,399,162,1,REJECTED,Mohan cannot finish task within the remaining time
5,29679,399,302,2,PICKED,picked for inspection
5,29679,399,302,2,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,263,2,PICKED,picked for inspection
5,29680,399,263,2,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,315,3,PICKED,picked for inspection
5,29680,399,315,3,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,206,4,PICKED,picked for inspection
5,29680,399,206,4,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,134,3,PICKED,picked for inspection
5,29680,399,134,3,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,365,3,PICKED,picked for inspection
5,29680,399,365,3,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,153,4,PICKED,picked for inspection
5,29680,399,153,4,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,193,4,PICKED,picked for inspection
5,29680,399,193,4,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,101,6,PICKED,picked for inspection
5,29680,399,101,6,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,156,5,PICKED,picked for inspection
5,29680,399,156,5,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,64,5,PICKED,picked for inspection
5,29680,399,64,5,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,319,5,PICKED,picked for inspection
5,29680,399,319,5,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,222,10,PICKED,picked for inspection
5,29680,399,222,10,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,345,6,PICKED,picked for inspection
5,29680,399,345,6,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,189,6,PICKED,picked for inspection
5,29680,399,189,6,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,1,8,PICKED,picked for inspection
5,29680,399,1,8,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,199,8,PICKED,picked for inspection
5,29680,399,199,8,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,297,8,PICKED,picked for inspection
5,29680,399,297,8,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,186,7,PICKED,picked for inspection
5,29680,399,186,7,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,20,7,PICKED,picked for inspection
5,29680,399,20,7,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,49,9,PICKED,picked for inspection
5,29680,399,49,9,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,372,10,PICKED,picked for inspection
5,29680,399,372,10,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,393,10,PICKED,picked for inspection
5,29680,399,393,10,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,330,10,PICKED,picked for inspection
5,29680,399,330,10,REJECTED,Mohan cannot finish task within the remaining time
5,29680,399,258,1,PICKED,no other tasks could be accepted-trying to break this task
5,29680,399,258,1,REJECTED,could not break this task-Mohan finished for this sprint
6,9,400,95,2,PICKED,picked for inspection
6,9,400,95,2,ACCEPTED,accepted for execution
6,1889,405,234,3,PICKED,picked for inspection
6,1889,405,234,3,ACCEPTED,accepted for execution
6,4892,413,354,3,PICKED,picked for inspection
6,4892,413,354,3,ACCEPTED,accepted for execution
6,7897,421,301,6,PICKED,picked for inspection
6,7897,421,301,6,ACCEPTED,accepted for execution
6,13900,437,294,10,PICKED,picked for inspection
6,13900,437,294,10,ACCEPTED,accepted for execution
7,1,480,342,1,PICKED,picked for inspection
7,1,480,342,1,ACCEPTED,accepted for execution
7,763,482,381,3,PICKED,picked for inspection
7,763,482,381,3,ACCEPTED,accepted for execution
7,3767,490,171,6,PICKED,picked for inspection
7,3767,490,171,6,ACCEPTED,accepted for execution
7,9768,506,362,10,PICKED,picked for inspection
7,9768,506,362,10,ACCEPTED,accepted for execution
8,10,560,122,1,PICKED,picked for inspection
8,10,560,122,1,ACCEPTED,accepted for execution
8,766,562,358,3,PICKED,picked for inspection
8,766,562,358,3,ACCEPTED,accepted for execution
8,3767,570,167,4,PICKED,picked for inspection
8,3767,570,167,4,ACCEPTED,accepted for execution
8,7521,580,84,6,PICKED,picked for inspection
8,7521,580,84,6,ACCEPTED,accepted for execution
8,13524,596,229,10,PICKED,picked for inspection
8,13524,596,229,10,ACCEPTED,accepted for execution
9,6,640,292,1,PICKED,picked for inspection
9,6,640,292,1,ACCEPTED,accepted for execution
9,761,642,187,3,PICKED,picked for inspection
9,761,642,187,3,ACCEPTED,accepted for execution
9,3017,648,241,4,PICKED,picked for inspection
9,3017,648,241,4,ACCEPTED,accepted for execution
9,6020,656,46,7,PICKED,picked for inspection
9,6020,656,46,7,ACCEPTED,accepted for execution
9,10148,667,205,9,PICKED,picked for inspection
9,10148,667,205,9,ACCEPTED,accepted for execution
9,15401,681,242,7,PICKED,picked for inspection
9,15401,681,242,7,ACCEPTED,accepted for execution
10,24,720,400,1,PICKED,picked for inspection
10,24,720,400,1,ACCEPTED,accepted for execution
10,776,722,394,3,PICKED,picked for inspection
10,776,722,394,3,ACCEPTED,accepted for execution
10,3778,730,67,2,PICKED,picked for inspection
10,3778,730,67,2,ACCEPTED,accepted for execution
10,5282,734,210,3,PICKED,picked for inspection
10,5282,734,210,3,ACCEPTED,accepted for execution
10,7536,740,332,5,PICKED,picked for inspection
10,7536,740,332,5,ACCEPTED,accepted for execution
10,10539,748,6,6,PICKED,picked for inspection
10,10539,748,6,6,ACCEPTED,accepted for execution
10,13918,757,209,9,PICKED,picked for inspection
10,13918,757,209,9,ACCEPTED,accepted for execution
10,19170,771,251,8,PICKED,picked for inspection
10,19170,771,251,8,ACCEPTED,accepted for execution
11,40,800,335,1,PICKED,picked for inspection
11,40,800,335,1,ACCEPTED,accepted for execution
11,426,801,31,2,PICKED,picked for inspection
11,426,801,31,2,ACCEPTED,accepted for execution
11,1561,804,36,3,PICKED,picked for inspection
11,1561,804,36,3,ACCEPTED,accepted for execution
11,3064,808,300,3,PICKED,picked for inspection
11,3064,808,300,3,ACCEPTED,accepted for execution
11,4566,812,37,6,PICKED,picked for inspection
11,4566,812,37,6,ACCEPTED,accepted for execution
11,7945,821,247,7,PICKED,picked for inspection
11,7945,821,247,7,ACCEPTED,accepted for execution
11,12073,832,249,9,PICKED,picked for inspection
11,12073,832,249,9,ACCEPTED,accepted for execution
11,17327,846,226,4,PICKED,picked for inspection
11,17327,846,226,4,ACCEPTED,accepted for execution
11,19580,852,26,9,PICKED,picked for inspection
11,19580,852,26,9,ACCEPTED,accepted for execution
12,19,880,180,2,PICKED,picked for inspection
12,19,880,180,2,ACCEPTED,accepted for execution
12,1147,883,353,3,PICKED,picked for inspection
12,1147,883,353,3,ACCEPTED,accepted for execution
12,2649,887,274,4,PICKED,picked for inspection
12,2649,887,274,4,ACCEPTED,accepted for execution
12,4902,893,14,8,PICKED,picked for inspection
12,4902,893,14,8,ACCEPTED,accepted for execution
12,9406,905,47,10,PICKED,picked for inspection
12,9406,905,47,10,ACCEPTED,accepted for execution
12,15409,921,128,6,PICKED,picked for inspection
12,15409,921,128,6,ACCEPTED,accepted for execution
12,18787,930,284,10,PICKED,picked for inspection
12,18787,930,284,10,ACCEPTED,accepted for execution
