sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_370,370,1,6,1,BackEnd Design
RandomTask_9,9,1,6,6,BackEnd Design FrontEnd
RandomTask_291,291,1,4,4,BackEnd Design FrontEnd
RandomTask_264,264,1,7,3,BackEnd FrontEnd
RandomTask_339,339,1,6,1,Design FrontEnd
RandomTask_176,176,1,10,7,Design FrontEnd
RandomTask_105,105,1,8,2,BackEnd Design FrontEnd
RandomTask_130,130,1,6,6,BackEnd FrontEnd
RandomTask_168,168,1,6,4,Design FrontEnd
RandomTask_154,154,1,3,2,FrontEnd
RandomTask_41,41,1,6,7,FrontEnd
RandomTask_165,165,1,7,1,Design
RandomTask_346,346,1,8,4,FrontEnd
RandomTask_272,272,1,9,3,Design FrontEnd
RandomTask_212,212,1,10,6,BackEnd
RandomTask_71,71,1,5,2,BackEnd
