sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,8,0,190,5,start,0.1,0.1,0.1
1,15009,40,190,5,end,0.85,0.1,0.1
2,17,80,386,5,start,0.85,0.1,0.1
2,15017,120,386,5,end,1.6,0.1,0.1
3,9,160,68,7,start,1.6,0.1,0.1
3,21009,216,68,7,end,2.6500000000000004,0.1,1.1500000000000001
4,14,240,8,2,start,2.6500000000000004,0.1,1.1500000000000001
4,6014,256,8,2,end,2.6500000000000004,0.4,1.4500000000000002
4,6018,256,370,6,start,2.6500000000000004,0.4,1.4500000000000002
4,24019,304,370,6,end,3.5500000000000003,0.4,2.35
5,17,320,71,5,start,3.5500000000000003,0.4,2.35
5,15017,360,71,5,end,4.300000000000001,0.4,2.35
6,12,400,285,1,start,4.300000000000001,0.4,2.35
6,3012,408,285,1,end,4.300000000000001,0.4,2.5
6,3015,408,21,5,start,4.300000000000001,0.4,2.5
6,18015,448,21,5,end,4.300000000000001,1.15,2.5
7,27,480,219,1,start,4.300000000000001,1.15,2.5
7,3027,488,219,1,end,4.450000000000001,1.15,2.65
7,3032,488,156,5,start,4.450000000000001,1.15,2.65
7,18032,528,156,5,end,5.200000000000001,1.9,2.65
8,22,560,275,3,start,5.200000000000001,1.9,2.65
8,3023,568,275,3,end,5.650000000000001,1.9,2.65
8,3026,568,336,3,start,5.650000000000001,1.9,2.65
8,7527,580,336,3,end,6.100000000000001,2.3499999999999996,2.65
8,7532,580,288,10,start,6.100000000000001,2.3499999999999996,2.65
8,17283,606,288,10,end,7.600000000000001,2.3499999999999996,2.65
9,16,640,368,1,start,7.600000000000001,2.3499999999999996,2.65
9,1517,644,368,1,end,7.750000000000002,2.3499999999999996,2.8
9,1522,644,139,3,start,7.750000000000002,2.3499999999999996,2.8
9,4522,652,139,3,end,8.200000000000001,2.3499999999999996,2.8
9,4526,652,143,8,start,8.200000000000001,2.3499999999999996,2.8
9,28526,716,143,8,end,8.200000000000001,2.3499999999999996,4.0
10,24,720,85,2,start,8.200000000000001,2.3499999999999996,4.0
10,1899,725,85,2,end,8.500000000000002,2.3499999999999996,4.0
10,1902,725,235,7,start,8.500000000000002,2.3499999999999996,4.0
10,8652,743,235,7,end,9.550000000000002,2.3499999999999996,4.0
10,8660,743,229,10,start,9.550000000000002,2.3499999999999996,4.0
10,18411,769,229,10,end,11.050000000000002,2.3499999999999996,4.0
11,20,800,18,1,start,11.050000000000002,2.3499999999999996,4.0
11,1521,804,18,1,end,11.200000000000003,2.4999999999999996,4.15
11,1527,804,75,5,start,11.200000000000003,2.4999999999999996,4.15
11,6402,817,75,5,end,11.950000000000003,2.4999999999999996,4.15
11,6405,817,295,7,start,11.950000000000003,2.4999999999999996,4.15
11,13156,835,295,7,end,13.000000000000004,2.4999999999999996,4.15
11,13158,835,205,9,start,13.000000000000004,2.4999999999999996,4.15
11,22158,859,205,9,end,14.350000000000003,2.4999999999999996,4.15
11,22162,859,278,4,start,14.350000000000003,2.4999999999999996,4.15
11,29288,878,278,4,end,14.950000000000003,3.0999999999999996,4.75
12,54,880,400,1,start,14.950000000000003,3.0999999999999996,4.75
12,1555,884,400,1,end,15.100000000000003,3.2499999999999996,4.75
12,1571,884,210,3,start,15.100000000000003,3.2499999999999996,4.75
12,6071,896,210,3,end,15.550000000000002,3.2499999999999996,5.2
12,6074,896,159,7,start,15.550000000000002,3.2499999999999996,5.2
12,12824,914,159,7,end,15.550000000000002,3.2499999999999996,6.25
12,12826,914,209,9,start,15.550000000000002,3.2499999999999996,6.25
12,21826,938,209,9,end,16.900000000000002,3.2499999999999996,6.25
12,21829,938,116,2,start,16.900000000000002,3.2499999999999996,6.25
12,27829,954,116,2,end,16.900000000000002,3.5499999999999994,6.25
13,16,960,273,1,start,16.900000000000002,3.5499999999999994,6.25
13,766,962,273,1,end,16.900000000000002,3.5499999999999994,6.4
13,769,962,125,3,start,16.900000000000002,3.5499999999999994,6.4
13,3769,970,125,3,end,17.35,3.5499999999999994,6.4
13,3771,970,332,5,start,17.35,3.5499999999999994,6.4
13,8646,983,332,5,end,18.1,3.5499999999999994,6.4
13,8648,983,37,6,start,18.1,3.5499999999999994,6.4
13,14648,999,37,6,end,19.0,3.5499999999999994,6.4
13,14652,999,249,9,start,19.0,3.5499999999999994,6.4
13,23653,1023,249,9,end,20.35,3.5499999999999994,6.4
14,28,1040,391,2,start,20.35,3.5499999999999994,6.4
14,1904,1045,391,2,end,20.35,3.5499999999999994,6.7
14,1907,1045,65,4,start,20.35,3.5499999999999994,6.7
14,5657,1055,65,4,end,20.35,3.5499999999999994,7.3
14,5659,1055,155,6,start,20.35,3.5499999999999994,7.3
14,9034,1064,155,6,end,21.25,3.5499999999999994,7.3
14,9037,1064,247,7,start,21.25,3.5499999999999994,7.3
14,13162,1075,247,7,end,22.3,3.5499999999999994,7.3
14,13178,1075,181,8,start,22.3,3.5499999999999994,7.3
14,17678,1087,181,8,end,23.5,3.5499999999999994,7.3
14,17681,1087,47,10,start,23.5,3.5499999999999994,7.3
14,23682,1103,47,10,end,25.0,3.5499999999999994,7.3
15,12,1120,371,1,start,25.0,3.5499999999999994,7.3
15,762,1122,371,1,end,25.15,3.5499999999999994,7.45
15,764,1122,180,2,start,25.15,3.5499999999999994,7.45
15,1889,1125,180,2,end,25.45,3.5499999999999994,7.45
15,1892,1125,160,9,start,25.45,3.5499999999999994,7.45
15,10892,1149,160,9,end,25.45,3.5499999999999994,8.8
