sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_257,257,1,9,Design
RandomTask_363,363,1,4,BackEnd Design FrontEnd
RandomTask_73,73,1,10,Design FrontEnd
RandomTask_61,61,1,9,BackEnd Design
RandomTask_51,51,1,6,FrontEnd
RandomTask_205,205,1,9,BackEnd
RandomTask_117,117,1,1,FrontEnd
RandomTask_146,146,1,6,Design
RandomTask_224,224,1,10,Design
RandomTask_242,242,1,7,Design FrontEnd
RandomTask_360,360,1,3,BackEnd FrontEnd
RandomTask_304,304,1,8,FrontEnd
RandomTask_151,151,1,6,BackEnd FrontEnd
RandomTask_29,29,1,5,FrontEnd
RandomTask_18,18,1,1,BackEnd Design FrontEnd
RandomTask_111,111,1,4,FrontEnd
RandomTask_75,75,1,5,BackEnd
RandomTask_141,141,1,8,Design
RandomTask_187,187,1,3,BackEnd FrontEnd
RandomTask_136,136,1,3,FrontEnd
RandomTask_196,196,1,1,FrontEnd
RandomTask_292,292,1,1,BackEnd Design FrontEnd
RandomTask_10,10,1,8,Design
RandomTask_170,170,1,4,BackEnd Design
RandomTask_80,80,1,10,BackEnd FrontEnd
RandomTask_192,192,1,6,BackEnd Design
RandomTask_237,237,1,3,BackEnd
RandomTask_38,38,1,6,Design FrontEnd
RandomTask_178,178,1,3,BackEnd Design FrontEnd
RandomTask_290,290,1,9,BackEnd Design FrontEnd
RandomTask_163,163,1,7,BackEnd Design
RandomTask_53,53,1,3,Design
RandomTask_350,350,1,2,Design FrontEnd
RandomTask_129,129,1,3,Design
RandomTask_81,81,1,5,BackEnd Design FrontEnd
RandomTask_210,210,1,3,BackEnd Design
RandomTask_394,394,1,3,FrontEnd
RandomTask_311,311,1,5,FrontEnd
RandomTask_70,70,1,5,BackEnd FrontEnd
RandomTask_69,69,1,5,Design FrontEnd
RandomTask_251,251,1,8,BackEnd Design FrontEnd
