sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,0,0,166,7,PICKED,picked for inspection
1,0,0,166,7,ACCEPTED,accepted for execution
1,4130,11,139,3,PICKED,picked for inspection
1,4130,11,139,3,ACCEPTED,accepted for execution
2,30,80,126,2,PICKED,picked for inspection
2,30,80,126,2,ACCEPTED,accepted for execution
2,1164,83,69,5,PICKED,picked for inspection
2,1164,83,69,5,ACCEPTED,accepted for execution
2,4167,91,259,9,PICKED,picked for inspection
2,4167,91,259,9,ACCEPTED,accepted for execution
2,9420,105,394,3,PICKED,picked for inspection
2,9420,105,394,3,ACCEPTED,accepted for execution
2,10924,109,245,6,PICKED,picked for inspection
2,10924,109,245,6,ACCEPTED,accepted for execution
2,14302,118,76,1,PICKED,picked for inspection
2,14302,118,76,1,ACCEPTED,accepted for execution
2,14682,119,208,2,PICKED,picked for inspection
2,14682,119,208,2,ACCEPTED,accepted for execution
2,15810,122,54,1,PICKED,picked for inspection
2,15810,122,54,1,ACCEPTED,accepted for execution
2,16188,123,274,4,PICKED,picked for inspection
2,16188,123,274,4,ACCEPTED,accepted for execution
2,18443,129,202,2,PICKED,picked for inspection
2,18443,129,202,2,ACCEPTED,accepted for execution
3,9,160,377,5,PICKED,picked for inspection
3,9,160,377,5,ACCEPTED,accepted for execution
3,3012,168,184,7,PICKED,picked for inspection
3,3012,168,184,7,ACCEPTED,accepted for execution
3,7140,179,310,4,PICKED,picked for inspection
3,7140,179,310,4,ACCEPTED,accepted for execution
3,9393,185,305,1,PICKED,picked for inspection
3,9393,185,305,1,ACCEPTED,accepted for execution
3,9772,186,1,8,PICKED,picked for inspection
3,9772,186,1,8,ACCEPTED,accepted for execution
3,14277,198,116,10,PICKED,picked for inspection
3,14277,198,116,10,ACCEPTED,accepted for execution
3,20279,214,315,3,PICKED,picked for inspection
3,20279,214,315,3,ACCEPTED,accepted for execution
3,21783,218,299,8,PICKED,picked for inspection
3,21783,218,299,8,ACCEPTED,accepted for execution
4,16,240,284,10,PICKED,picked for inspection
4,16,240,284,10,ACCEPTED,accepted for execution
4,6020,256,324,1,PICKED,picked for inspection
4,6020,256,324,1,ACCEPTED,accepted for execution
4,6399,257,85,2,PICKED,picked for inspection
4,6399,257,85,2,ACCEPTED,accepted for execution
4,7527,260,326,2,PICKED,picked for inspection
4,7527,260,326,2,ACCEPTED,accepted for execution
4,8656,263,257,9,PICKED,picked for inspection
4,8656,263,257,9,ACCEPTED,accepted for execution
4,13909,277,330,10,PICKED,picked for inspection
4,13909,277,330,10,ACCEPTED,accepted for execution
4,19912,293,198,6,PICKED,picked for inspection
4,19912,293,198,6,ACCEPTED,accepted for execution
4,23290,302,65,4,PICKED,picked for inspection
4,23290,302,65,4,ACCEPTED,accepted for execution
4,25545,308,253,9,PICKED,picked for inspection
4,25545,308,253,9,REJECTED,Lisa cannot finish task within the remaining time
4,25545,308,42,5,PICKED,picked for inspection
4,25545,308,42,5,ACCEPTED,accepted for execution
4,25545,308,42,5,ACCEPTED,accepted for execution
4,28548,316,253,3,PICKED,picked for inspection
4,28548,316,253,3,REJECTED,Lisa cannot finish task within the remaining time
4,28548,316,253,3,PICKED,no other tasks could be accepted-trying to break this task
4,28548,316,253,3,REJECTED,could not break this task-Lisa finished for this sprint
5,46,320,248,1,PICKED,picked for inspection
5,46,320,248,1,ACCEPTED,accepted for execution
5,433,321,73,10,PICKED,picked for inspection
5,433,321,73,10,ACCEPTED,accepted for execution
5,6439,337,270,8,PICKED,picked for inspection
5,6439,337,270,8,ACCEPTED,accepted for execution
5,10942,349,39,5,PICKED,picked for inspection
5,10942,349,39,5,ACCEPTED,accepted for execution
5,13947,357,357,9,PICKED,picked for inspection
5,13947,357,357,9,ACCEPTED,accepted for execution
5,19201,371,111,4,PICKED,picked for inspection
5,19201,371,111,4,ACCEPTED,accepted for execution
5,21455,377,285,1,PICKED,picked for inspection
5,21455,377,285,1,ACCEPTED,accepted for execution
5,21834,378,230,9,PICKED,picked for inspection
5,21834,378,230,9,ACCEPTED,accepted for execution
5,27089,392,188,1,PICKED,picked for inspection
5,27089,392,188,1,ACCEPTED,accepted for execution
5,27467,393,221,3,PICKED,picked for inspection
5,27467,393,221,3,ACCEPTED,accepted for execution
5,28974,397,109,8,PICKED,picked for inspection
5,28974,397,109,8,REJECTED,Lisa cannot finish task within the remaining time
5,28974,397,109,8,PICKED,no other tasks could be accepted-trying to break this task
5,28974,397,109,1,ACCEPTED,broke task into smaller parts-accepted for execution
5,28974,397,109,1,ACCEPTED,accepted for execution
5,29353,398,109,7,PICKED,picked for inspection
5,29353,398,109,7,REJECTED,Lisa cannot finish task within the remaining time
5,29353,398,109,7,PICKED,no other tasks could be accepted-trying to break this task
5,29353,398,109,7,REJECTED,could not break this task-Lisa finished for this sprint
6,20,400,389,3,PICKED,picked for inspection
6,20,400,389,3,ACCEPTED,accepted for execution
6,1522,404,95,2,PICKED,picked for inspection
6,1522,404,95,2,ACCEPTED,accepted for execution
6,2651,407,340,10,PICKED,picked for inspection
6,2651,407,340,10,ACCEPTED,accepted for execution
6,8656,423,370,6,PICKED,picked for inspection
6,8656,423,370,6,ACCEPTED,accepted for execution
6,12035,432,220,3,PICKED,picked for inspection
6,12035,432,220,3,ACCEPTED,accepted for execution
6,13544,436,68,7,PICKED,picked for inspection
6,13544,436,68,7,ACCEPTED,accepted for execution
6,17671,447,362,10,PICKED,picked for inspection
6,17671,447,362,10,ACCEPTED,accepted for execution
6,23676,463,288,10,PICKED,picked for inspection
6,23676,463,288,10,ACCEPTED,accepted for execution
7,11,480,214,6,PICKED,picked for inspection
7,11,480,214,6,ACCEPTED,accepted for execution
7,3389,489,224,10,PICKED,picked for inspection
7,3389,489,224,10,ACCEPTED,accepted for execution
7,9394,505,55,7,PICKED,picked for inspection
7,9394,505,55,7,ACCEPTED,accepted for execution
7,13523,516,125,3,PICKED,picked for inspection
7,13523,516,125,3,ACCEPTED,accepted for execution
7,15026,520,34,8,PICKED,picked for inspection
7,15026,520,34,8,ACCEPTED,accepted for execution
7,19530,532,347,5,PICKED,picked for inspection
7,19530,532,347,5,ACCEPTED,accepted for execution
