sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_44,44,1,10,Design FrontEnd
RandomTask_119,119,1,5,Design
RandomTask_168,168,1,6,Design FrontEnd
RandomTask_158,158,1,10,Design
RandomTask_125,125,1,3,BackEnd
RandomTask_331,331,1,2,BackEnd FrontEnd
RandomTask_34,34,1,8,BackEnd Design FrontEnd
RandomTask_249,249,1,9,BackEnd
RandomTask_374,374,1,7,BackEnd FrontEnd
RandomTask_105,105,1,8,BackEnd Design FrontEnd
RandomTask_363,363,1,4,BackEnd Design FrontEnd
RandomTask_325,325,1,5,BackEnd Design
RandomTask_347,347,1,5,FrontEnd
RandomTask_250,250,1,9,BackEnd Design FrontEnd
RandomTask_397,397,1,7,BackEnd FrontEnd
RandomTask_11,11,1,10,BackEnd FrontEnd
RandomTask_269,269,1,3,Design
RandomTask_382,382,1,7,BackEnd
RandomTask_2,2,1,6,Design
RandomTask_242,242,1,7,Design FrontEnd
RandomTask_283,283,1,2,Design FrontEnd
RandomTask_364,364,1,2,BackEnd FrontEnd
RandomTask_287,287,1,1,BackEnd Design FrontEnd
RandomTask_236,236,1,5,Design FrontEnd
RandomTask_6,6,1,6,BackEnd
RandomTask_135,135,1,10,BackEnd Design
RandomTask_178,178,1,3,BackEnd Design FrontEnd
RandomTask_41,41,1,6,FrontEnd
RandomTask_195,195,1,9,FrontEnd
RandomTask_296,296,1,9,BackEnd
RandomTask_251,251,1,8,BackEnd Design FrontEnd
RandomTask_348,348,1,6,FrontEnd
RandomTask_337,337,1,3,BackEnd FrontEnd
RandomTask_273,273,1,1,Design
RandomTask_238,238,1,3,BackEnd Design FrontEnd
RandomTask_27,27,1,4,FrontEnd
RandomTask_66,66,1,10,FrontEnd
RandomTask_338,338,1,5,FrontEnd
RandomTask_137,137,1,4,Design FrontEnd
RandomTask_37,37,1,6,BackEnd
