sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_138,138,1,3,2,BackEnd Design FrontEnd
RandomTask_252,252,1,5,3,BackEnd Design FrontEnd
RandomTask_268,268,1,7,1,BackEnd Design FrontEnd
RandomTask_290,290,1,9,7,BackEnd Design FrontEnd
RandomTask_270,270,1,8,4,BackEnd Design
RandomTask_133,133,1,6,2,Design FrontEnd
RandomTask_140,140,1,10,6,BackEnd Design FrontEnd
RandomTask_72,72,1,5,1,Design FrontEnd
RandomTask_156,156,1,5,3,BackEnd FrontEnd
RandomTask_390,390,1,4,2,Design FrontEnd
RandomTask_285,285,1,1,2,Design
RandomTask_39,39,1,5,6,BackEnd Design
RandomTask_349,349,1,6,4,BackEnd Design
RandomTask_51,51,1,6,1,FrontEnd
RandomTask_124,124,1,7,3,BackEnd
RandomTask_149,149,1,3,6,BackEnd Design
RandomTask_230,230,1,9,7,BackEnd FrontEnd
RandomTask_111,111,1,4,2,FrontEnd
RandomTask_353,353,1,3,3,BackEnd
RandomTask_25,25,1,4,3,BackEnd
RandomTask_239,239,1,10,4,Design
RandomTask_383,383,1,6,2,Design
RandomTask_212,212,1,10,6,BackEnd
RandomTask_92,92,1,8,1,Design
RandomTask_181,181,1,8,7,BackEnd
RandomTask_14,14,1,8,3,BackEnd
RandomTask_357,357,1,9,2,Design
RandomTask_62,62,1,10,4,Design
RandomTask_157,157,1,8,6,BackEnd
