sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,4,0,139,3,start,6.0,6.0,6.0
1,3004,8,139,3,end,6.45,6.0,6.0
1,3006,8,399,8,start,6.45,6.0,6.0
1,10881,29,399,8,end,6.45,6.0,7.2
2,44,80,208,2,start,6.45,6.0,7.2
2,1919,85,208,2,end,6.45,6.0,7.5
2,1922,85,200,5,start,6.45,6.0,7.5
2,6798,98,200,5,end,7.2,6.0,7.5
2,6801,98,316,4,start,7.2,6.0,7.5
2,10552,108,316,4,end,7.8,6.6,7.5
2,10555,108,160,9,start,7.8,6.6,7.5
2,19556,132,160,9,end,7.8,6.6,8.85
3,9,160,54,1,start,7.8,6.6,8.85
3,760,162,54,1,end,7.8,6.75,8.85
3,761,162,79,2,start,7.8,6.75,8.85
3,2636,167,79,2,end,7.8,7.05,9.15
3,2640,167,93,3,start,7.8,7.05,9.15
3,5641,175,93,3,end,7.8,7.5,9.6
3,5646,175,369,6,start,7.8,7.5,9.6
3,11647,191,369,6,end,7.8,8.4,9.6
3,11652,191,183,9,start,7.8,8.4,9.6
3,20653,215,183,9,end,7.8,9.75,9.6
3,20656,215,80,1,start,7.8,9.75,9.6
3,21406,217,80,1,end,7.95,9.9,9.6
3,21412,217,215,8,start,7.95,9.9,9.6
3,29287,238,215,8,end,7.95,11.1,10.799999999999999
4,9,240,384,1,start,7.95,11.1,10.799999999999999
4,760,242,384,1,end,8.1,11.1,10.799999999999999
4,763,242,204,1,start,8.1,11.1,10.799999999999999
4,1513,244,204,1,end,8.25,11.1,10.95
4,1517,244,206,4,start,8.25,11.1,10.95
4,5267,254,206,4,end,8.85,11.1,10.95
4,5272,254,75,5,start,8.85,11.1,10.95
4,10147,267,75,5,end,9.6,11.1,10.95
4,10149,267,299,8,start,9.6,11.1,10.95
4,18025,288,299,8,end,9.6,11.1,12.149999999999999
4,18028,288,378,8,start,9.6,11.1,12.149999999999999
4,25903,309,378,8,end,10.799999999999999,11.1,13.349999999999998
5,11,320,324,1,start,10.799999999999999,11.1,13.349999999999998
5,761,322,324,1,end,10.95,11.1,13.349999999999998
5,763,322,280,3,start,10.95,11.1,13.349999999999998
5,3763,330,280,3,end,10.95,11.1,13.799999999999997
5,3767,330,333,6,start,10.95,11.1,13.799999999999997
5,9767,346,333,6,end,10.95,12.0,13.799999999999997
5,9772,346,318,6,start,10.95,12.0,13.799999999999997
5,15772,362,318,6,end,11.85,12.9,13.799999999999997
5,15774,362,20,7,start,11.85,12.9,13.799999999999997
5,22524,380,20,7,end,12.9,13.950000000000001,14.849999999999998
5,22529,380,330,1,start,12.9,13.950000000000001,14.849999999999998
5,23279,382,330,1,end,13.05,14.100000000000001,14.999999999999998
6,16,400,36,3,start,13.05,14.100000000000001,14.999999999999998
6,3017,408,36,3,end,13.5,14.100000000000001,14.999999999999998
6,3019,408,174,7,start,13.5,14.100000000000001,14.999999999999998
6,9769,426,174,7,end,14.55,14.100000000000001,14.999999999999998
6,9773,426,104,7,start,14.55,14.100000000000001,14.999999999999998
6,16524,444,104,7,end,15.600000000000001,15.150000000000002,14.999999999999998
6,16529,444,376,8,start,15.600000000000001,15.150000000000002,14.999999999999998
6,24405,465,376,8,end,16.8,16.35,16.2
7,12,480,248,1,start,16.8,16.35,16.2
7,762,482,248,1,end,16.95,16.35,16.349999999999998
7,776,482,159,7,start,16.95,16.35,16.349999999999998
7,7527,500,159,7,end,16.95,16.35,17.4
7,7530,500,181,8,start,16.95,16.35,17.4
7,15406,521,181,8,end,18.15,16.35,17.4
7,15414,521,276,10,start,18.15,16.35,17.4
7,25164,547,276,10,end,18.15,17.85,18.9
8,39,560,99,4,start,18.15,17.85,18.9
8,3789,570,99,4,end,18.15,18.450000000000003,18.9
8,3791,570,14,8,start,18.15,18.450000000000003,18.9
8,11667,591,14,8,end,19.349999999999998,18.450000000000003,18.9
8,11672,591,188,7,start,19.349999999999998,18.450000000000003,18.9
8,18422,609,188,7,end,19.349999999999998,19.500000000000004,19.95
9,11,640,122,1,start,19.349999999999998,19.500000000000004,19.95
9,761,642,122,1,end,19.499999999999996,19.650000000000002,19.95
9,769,642,114,2,start,19.499999999999996,19.650000000000002,19.95
9,2644,647,114,2,end,19.499999999999996,19.950000000000003,20.25
9,2646,647,217,4,start,19.499999999999996,19.950000000000003,20.25
9,5646,655,217,4,end,20.099999999999998,19.950000000000003,20.85
9,5652,655,101,6,start,20.099999999999998,19.950000000000003,20.85
9,9028,664,101,6,end,20.999999999999996,19.950000000000003,20.85
9,9035,664,46,7,start,20.999999999999996,19.950000000000003,20.85
9,13160,675,46,7,end,22.049999999999997,19.950000000000003,20.85
9,13162,675,98,6,start,22.049999999999997,19.950000000000003,20.85
9,17662,687,98,6,end,22.949999999999996,20.85,20.85
9,17665,687,222,10,start,22.949999999999996,20.85,20.85
9,23666,703,222,10,end,24.449999999999996,20.85,20.85
10,32,720,117,1,start,24.449999999999996,20.85,20.85
10,407,721,117,1,end,24.449999999999996,21.0,20.85
10,420,721,335,1,start,24.449999999999996,21.0,20.85
10,795,722,335,1,end,24.449999999999996,21.15,21.0
10,798,722,113,2,start,24.449999999999996,21.15,21.0
10,1924,725,113,2,end,24.749999999999996,21.15,21.3
10,1927,725,125,3,start,24.749999999999996,21.15,21.3
10,3427,729,125,3,end,25.199999999999996,21.15,21.3
10,3433,729,89,2,start,25.199999999999996,21.15,21.3
