sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_14,14,1,8,BackEnd
RandomTask_156,156,1,5,BackEnd FrontEnd
RandomTask_383,383,1,6,Design
RandomTask_62,62,1,10,Design
RandomTask_111,111,1,4,FrontEnd
RandomTask_157,157,1,8,BackEnd
RandomTask_124,124,1,7,BackEnd
RandomTask_92,92,1,8,Design
RandomTask_285,285,1,1,Design
RandomTask_390,390,1,4,Design FrontEnd
RandomTask_230,230,1,9,BackEnd FrontEnd
RandomTask_51,51,1,6,FrontEnd
RandomTask_138,138,1,3,BackEnd Design FrontEnd
RandomTask_109,109,1,9,BackEnd Design FrontEnd
RandomTask_189,189,1,6,BackEnd Design FrontEnd
RandomTask_301,301,1,6,BackEnd FrontEnd
RandomTask_188,188,1,7,Design FrontEnd
RandomTask_221,221,1,7,BackEnd FrontEnd
RandomTask_99,99,1,4,FrontEnd
RandomTask_362,362,1,10,Design
RandomTask_144,144,1,10,Design FrontEnd
RandomTask_84,84,1,6,BackEnd Design
RandomTask_98,98,1,6,BackEnd FrontEnd
RandomTask_110,110,1,6,Design
RandomTask_128,128,1,6,BackEnd Design FrontEnd
RandomTask_30,30,1,7,BackEnd FrontEnd
RandomTask_225,225,1,8,Design FrontEnd
RandomTask_122,122,1,1,BackEnd FrontEnd
RandomTask_114,114,1,2,Design FrontEnd
RandomTask_244,244,1,10,FrontEnd
RandomTask_288,288,1,10,BackEnd
RandomTask_366,366,1,5,Design FrontEnd
RandomTask_52,52,1,1,BackEnd Design FrontEnd
RandomTask_180,180,1,2,BackEnd
RandomTask_266,266,1,9,FrontEnd
RandomTask_260,260,1,3,Design
RandomTask_152,152,1,1,FrontEnd
RandomTask_162,162,1,1,BackEnd Design FrontEnd
RandomTask_48,48,1,1,Design FrontEnd
RandomTask_312,312,1,4,BackEnd Design FrontEnd
