sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,22,0,7,6,PICKED,picked for inspection
1,22,0,7,6,ACCEPTED,accepted for execution
1,3403,9,166,7,PICKED,picked for inspection
1,3403,9,166,7,ACCEPTED,accepted for execution
2,30,80,241,4,PICKED,picked for inspection
2,30,80,241,4,ACCEPTED,accepted for execution
2,3032,88,166,7,PICKED,picked for inspection
2,3032,88,166,7,ACCEPTED,accepted for execution
2,9785,106,76,1,PICKED,picked for inspection
2,9785,106,76,1,ACCEPTED,accepted for execution
2,10536,108,139,3,PICKED,picked for inspection
2,10536,108,139,3,ACCEPTED,accepted for execution
2,13538,116,21,5,PICKED,picked for inspection
2,13538,116,21,5,ACCEPTED,accepted for execution
3,0,160,186,7,PICKED,picked for inspection
3,0,160,186,7,ACCEPTED,accepted for execution
3,5637,175,118,9,PICKED,picked for inspection
3,5637,175,118,9,ACCEPTED,accepted for execution
3,14643,199,19,2,PICKED,picked for inspection
3,14643,199,19,2,ACCEPTED,accepted for execution
3,16521,204,203,6,PICKED,picked for inspection
3,16521,204,203,6,ACCEPTED,accepted for execution
4,25,240,148,4,PICKED,picked for inspection
4,25,240,148,4,ACCEPTED,accepted for execution
4,3028,248,93,3,PICKED,picked for inspection
4,3028,248,93,3,ACCEPTED,accepted for execution
4,5291,254,1,8,PICKED,picked for inspection
4,5291,254,1,8,ACCEPTED,accepted for execution
4,11292,270,351,2,PICKED,picked for inspection
4,11292,270,351,2,ACCEPTED,accepted for execution
4,12425,273,202,2,PICKED,picked for inspection
4,12425,273,202,2,ACCEPTED,accepted for execution
4,14304,278,384,1,PICKED,picked for inspection
4,14304,278,384,1,ACCEPTED,accepted for execution
4,15056,280,206,4,PICKED,picked for inspection
4,15056,280,206,4,ACCEPTED,accepted for execution
4,18810,290,147,8,PICKED,picked for inspection
4,18810,290,147,8,ACCEPTED,accepted for execution
5,42,320,40,6,PICKED,picked for inspection
5,42,320,40,6,ACCEPTED,accepted for execution
5,4926,333,184,7,PICKED,picked for inspection
5,4926,333,184,7,ACCEPTED,accepted for execution
5,11679,351,378,8,PICKED,picked for inspection
5,11679,351,378,8,ACCEPTED,accepted for execution
5,17691,367,123,10,PICKED,picked for inspection
5,17691,367,123,10,ACCEPTED,accepted for execution
6,19,400,330,10,PICKED,picked for inspection
6,19,400,330,10,ACCEPTED,accepted for execution
6,6780,418,26,9,PICKED,picked for inspection
6,6780,418,26,9,ACCEPTED,accepted for execution
6,13530,436,174,7,PICKED,picked for inspection
6,13530,436,174,7,ACCEPTED,accepted for execution
6,17659,447,42,5,PICKED,picked for inspection
6,17659,447,42,5,ACCEPTED,accepted for execution
6,20660,455,43,4,PICKED,picked for inspection
6,20660,455,43,4,ACCEPTED,accepted for execution
6,22915,461,65,4,PICKED,picked for inspection
6,22915,461,65,4,ACCEPTED,accepted for execution
7,0,480,268,7,PICKED,picked for inspection
7,0,480,268,7,ACCEPTED,accepted for execution
7,4510,492,295,7,PICKED,picked for inspection
7,4510,492,295,7,ACCEPTED,accepted for execution
7,8638,503,39,5,PICKED,picked for inspection
7,8638,503,39,5,ACCEPTED,accepted for execution
7,11643,511,353,3,PICKED,picked for inspection
7,11643,511,353,3,ACCEPTED,accepted for execution
7,13150,515,25,4,PICKED,picked for inspection
7,13150,515,25,4,ACCEPTED,accepted for execution
7,15403,521,133,6,PICKED,picked for inspection
7,15403,521,133,6,ACCEPTED,accepted for execution
7,19907,533,159,7,PICKED,picked for inspection
7,19907,533,159,7,ACCEPTED,accepted for execution
7,24035,544,383,6,PICKED,picked for inspection
7,24035,544,383,6,ACCEPTED,accepted for execution
8,0,560,109,9,PICKED,picked for inspection
8,0,560,109,9,ACCEPTED,accepted for execution
8,6001,576,98,6,PICKED,picked for inspection
8,6001,576,98,6,ACCEPTED,accepted for execution
8,10506,588,207,7,PICKED,picked for inspection
8,10506,588,207,7,ACCEPTED,accepted for execution
8,14634,599,51,6,PICKED,picked for inspection
8,14634,599,51,6,ACCEPTED,accepted for execution
8,18015,608,244,10,PICKED,picked for inspection
8,18015,608,244,10,ACCEPTED,accepted for execution
8,24027,624,87,9,PICKED,picked for inspection
8,24027,624,87,9,ACCEPTED,accepted for execution
9,52,640,385,7,PICKED,picked for inspection
9,52,640,385,7,ACCEPTED,accepted for execution
9,4188,651,77,7,PICKED,picked for inspection
9,4188,651,77,7,ACCEPTED,accepted for execution
9,8316,662,172,10,PICKED,picked for inspection
9,8316,662,172,10,ACCEPTED,accepted for execution
9,14319,678,175,4,PICKED,picked for inspection
9,14319,678,175,4,ACCEPTED,accepted for execution
9,16572,684,117,1,PICKED,picked for inspection
9,16572,684,117,1,ACCEPTED,accepted for execution
9,16951,685,303,10,PICKED,picked for inspection
9,16951,685,303,10,ACCEPTED,accepted for execution
10,55,720,242,7,PICKED,picked for inspection
10,55,720,242,7,ACCEPTED,accepted for execution
10,4190,731,178,3,PICKED,picked for inspection
10,4190,731,178,3,ACCEPTED,accepted for execution
10,5696,735,287,1,PICKED,picked for inspection
10,5696,735,287,1,ACCEPTED,accepted for execution
10,6077,736,158,10,PICKED,picked for inspection
10,6077,736,158,10,ACCEPTED,accepted for execution
10,12080,752,363,4,PICKED,picked for inspection
10,12080,752,363,4,ACCEPTED,accepted for execution
10,14334,758,250,9,PICKED,picked for inspection
10,14334,758,250,9,ACCEPTED,accepted for execution
10,19588,772,251,8,PICKED,picked for inspection
10,19588,772,251,8,ACCEPTED,accepted for execution
10,24095,784,273,1,PICKED,picked for inspection
10,24095,784,273,1,ACCEPTED,accepted for execution
11,0,800,291,4,PICKED,picked for inspection
11,0,800,291,4,ACCEPTED,accepted for execution
11,2267,806,97,3,PICKED,picked for inspection
11,2267,806,97,3,ACCEPTED,accepted for execution
11,3771,810,8,2,PICKED,picked for inspection
11,3771,810,8,2,ACCEPTED,accepted for execution
11,4899,813,271,5,PICKED,picked for inspection
11,4899,813,271,5,ACCEPTED,accepted for execution
11,7903,821,272,9,PICKED,picked for inspection
11,7903,821,272,9,ACCEPTED,accepted for execution
11,13159,835,197,2,PICKED,picked for inspection
11,13159,835,197,2,ACCEPTED,accepted for execution
11,14287,838,375,9,PICKED,picked for inspection
11,14287,838,375,9,ACCEPTED,accepted for execution
11,19550,852,240,2,PICKED,picked for inspection
11,19550,852,240,2,ACCEPTED,accepted for execution
11,20682,855,391,2,PICKED,picked for inspection
11,20682,855,391,2,ACCEPTED,accepted for execution
11,21820,858,209,9,PICKED,picked for inspection
11,21820,858,209,9,ACCEPTED,accepted for execution
12,0,880,294,10,PICKED,picked for inspection
12,0,880,294,10,ACCEPTED,accepted for execution
