sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_330,330,1,10,BackEnd Design FrontEnd
RandomTask_333,333,1,6,FrontEnd
RandomTask_96,96,1,7,BackEnd Design FrontEnd
RandomTask_36,36,1,3,BackEnd
RandomTask_165,165,1,7,Design
RandomTask_130,130,1,6,BackEnd FrontEnd
RandomTask_67,67,1,2,BackEnd Design FrontEnd
RandomTask_174,174,1,7,BackEnd
RandomTask_317,317,1,6,Design FrontEnd
RandomTask_229,229,1,10,BackEnd
RandomTask_176,176,1,10,Design FrontEnd
RandomTask_115,115,1,10,BackEnd Design FrontEnd
RandomTask_198,198,1,6,Design FrontEnd
RandomTask_368,368,1,1,BackEnd Design
RandomTask_308,308,1,10,BackEnd Design FrontEnd
RandomTask_94,94,1,8,FrontEnd
RandomTask_182,182,1,3,BackEnd
RandomTask_70,70,1,5,BackEnd FrontEnd
RandomTask_43,43,1,4,BackEnd
RandomTask_170,170,1,4,BackEnd Design
RandomTask_65,65,1,4,Design
RandomTask_26,26,1,9,BackEnd FrontEnd
RandomTask_104,104,1,7,BackEnd FrontEnd
RandomTask_45,45,1,9,BackEnd Design
RandomTask_359,359,1,2,BackEnd FrontEnd
RandomTask_376,376,1,8,BackEnd Design FrontEnd
RandomTask_56,56,1,6,Design FrontEnd
RandomTask_216,216,1,6,BackEnd FrontEnd
RandomTask_253,253,1,9,FrontEnd
RandomTask_42,42,1,5,BackEnd
RandomTask_132,132,1,7,BackEnd FrontEnd
RandomTask_345,345,1,6,BackEnd Design FrontEnd
RandomTask_159,159,1,7,Design
RandomTask_177,177,1,5,BackEnd FrontEnd
RandomTask_327,327,1,1,BackEnd FrontEnd
RandomTask_248,248,1,1,BackEnd Design
