sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,0,0,166,7,PICKED,picked for inspection
1,0,0,166,7,ACCEPTED,accepted for execution
1,6768,18,139,3,PICKED,picked for inspection
1,6768,18,139,3,ACCEPTED,accepted for execution
2,29,80,166,7,PICKED,picked for inspection
2,29,80,166,7,ACCEPTED,accepted for execution
2,6790,98,29,5,PICKED,picked for inspection
2,6790,98,29,5,ACCEPTED,accepted for execution
2,9790,106,21,5,PICKED,picked for inspection
2,9790,106,21,5,ACCEPTED,accepted for execution
2,12791,114,7,6,PICKED,picked for inspection
2,12791,114,7,6,ACCEPTED,accepted for execution
3,24,160,69,5,PICKED,picked for inspection
3,24,160,69,5,ACCEPTED,accepted for execution
3,3779,170,127,2,PICKED,picked for inspection
3,3779,170,127,2,ACCEPTED,accepted for execution
3,5284,174,54,1,PICKED,picked for inspection
3,5284,174,54,1,ACCEPTED,accepted for execution
3,5669,175,19,2,PICKED,picked for inspection
3,5669,175,19,2,ACCEPTED,accepted for execution
3,6797,178,208,2,PICKED,picked for inspection
3,6797,178,208,2,ACCEPTED,accepted for execution
3,8676,183,191,8,PICKED,picked for inspection
3,8676,183,191,8,ACCEPTED,accepted for execution
3,16559,204,71,5,PICKED,picked for inspection
3,16559,204,71,5,REJECTED,Weiwei cannot finish task within the remaining time
3,16559,204,369,6,PICKED,picked for inspection
3,16559,204,369,6,ACCEPTED,accepted for execution
3,16559,204,369,6,ACCEPTED,accepted for execution
4,0,240,387,2,PICKED,picked for inspection
4,0,240,387,2,ACCEPTED,accepted for execution
4,1892,245,193,4,PICKED,picked for inspection
4,1892,245,193,4,ACCEPTED,accepted for execution
4,4897,253,310,4,PICKED,picked for inspection
4,4897,253,310,4,ACCEPTED,accepted for execution
4,7902,261,358,3,PICKED,picked for inspection
4,7902,261,358,3,ACCEPTED,accepted for execution
4,10158,267,396,8,PICKED,picked for inspection
4,10158,267,396,8,ACCEPTED,accepted for execution
4,16166,283,299,8,PICKED,picked for inspection
4,16166,283,299,8,ACCEPTED,accepted for execution
4,24043,304,82,10,PICKED,picked for inspection
4,24043,304,82,10,REJECTED,Weiwei cannot finish task within the remaining time
4,24043,304,47,10,PICKED,picked for inspection
4,24043,304,47,10,REJECTED,Weiwei cannot finish task within the remaining time
4,24043,304,82,10,PICKED,no other tasks could be accepted-trying to break this task
4,24043,304,82,10,REJECTED,could not break this task-Weiwei finished for this sprint
5,14,320,292,1,PICKED,picked for inspection
5,14,320,292,1,ACCEPTED,accepted for execution
5,768,322,361,10,PICKED,picked for inspection
5,768,322,361,10,ACCEPTED,accepted for execution
5,10521,348,4,3,PICKED,picked for inspection
5,10521,348,4,3,ACCEPTED,accepted for execution
5,13525,356,179,4,PICKED,picked for inspection
5,13525,356,179,4,ACCEPTED,accepted for execution
5,17280,366,32,4,PICKED,picked for inspection
5,17280,366,32,4,ACCEPTED,accepted for execution
5,21035,376,257,9,PICKED,picked for inspection
5,21035,376,257,9,ACCEPTED,accepted for execution
6,22,400,67,2,PICKED,picked for inspection
6,22,400,67,2,ACCEPTED,accepted for execution
6,1155,403,210,3,PICKED,picked for inspection
6,1155,403,210,3,ACCEPTED,accepted for execution
6,3407,409,368,1,PICKED,picked for inspection
6,3407,409,368,1,ACCEPTED,accepted for execution
6,4161,411,170,4,PICKED,picked for inspection
6,4161,411,170,4,ACCEPTED,accepted for execution
6,7167,419,165,7,PICKED,picked for inspection
6,7167,419,165,7,ACCEPTED,accepted for execution
6,11295,430,198,6,PICKED,picked for inspection
6,11295,430,198,6,ACCEPTED,accepted for execution
6,14674,439,235,7,PICKED,picked for inspection
6,14674,439,235,7,ACCEPTED,accepted for execution
6,21427,457,229,1,PICKED,picked for inspection
6,21427,457,229,1,ACCEPTED,accepted for execution
7,0,480,376,8,PICKED,picked for inspection
7,0,480,376,8,ACCEPTED,accepted for execution
7,5270,494,349,6,PICKED,picked for inspection
7,5270,494,349,6,ACCEPTED,accepted for execution
7,9771,506,73,10,PICKED,picked for inspection
7,9771,506,73,10,ACCEPTED,accepted for execution
7,15774,522,239,10,PICKED,picked for inspection
7,15774,522,239,10,ACCEPTED,accepted for execution
8,16,560,138,3,PICKED,picked for inspection
8,16,560,138,3,ACCEPTED,accepted for execution
8,1901,565,149,3,PICKED,picked for inspection
8,1901,565,149,3,ACCEPTED,accepted for execution
8,4172,571,84,6,PICKED,picked for inspection
8,4172,571,84,6,ACCEPTED,accepted for execution
8,8672,583,30,7,PICKED,picked for inspection
8,8672,583,30,7,ACCEPTED,accepted for execution
8,13928,597,357,9,PICKED,picked for inspection
8,13928,597,357,9,ACCEPTED,accepted for execution
8,19184,611,92,8,PICKED,picked for inspection
8,19184,611,92,8,ACCEPTED,accepted for execution
9,0,640,231,7,PICKED,picked for inspection
9,0,640,231,7,ACCEPTED,accepted for execution
9,4500,652,122,1,PICKED,picked for inspection
9,4500,652,122,1,ACCEPTED,accepted for execution
9,5253,654,217,4,PICKED,picked for inspection
9,5253,654,217,4,ACCEPTED,accepted for execution
9,8258,662,15,8,PICKED,picked for inspection
9,8258,662,15,8,ACCEPTED,accepted for execution
9,14273,678,152,1,PICKED,picked for inspection
9,14273,678,152,1,ACCEPTED,accepted for execution
9,14655,679,389,3,PICKED,picked for inspection
9,14655,679,389,3,ACCEPTED,accepted for execution
9,16161,683,95,2,PICKED,picked for inspection
9,16161,683,95,2,ACCEPTED,accepted for execution
9,17293,686,340,10,PICKED,picked for inspection
9,17293,686,340,10,ACCEPTED,accepted for execution
10,17,720,314,1,PICKED,picked for inspection
10,17,720,314,1,ACCEPTED,accepted for execution
10,394,721,89,2,PICKED,picked for inspection
10,394,721,89,2,ACCEPTED,accepted for execution
10,1522,724,313,5,PICKED,picked for inspection
10,1522,724,313,5,ACCEPTED,accepted for execution
10,4901,733,34,8,PICKED,picked for inspection
10,4901,733,34,8,ACCEPTED,accepted for execution
10,10156,747,105,8,PICKED,picked for inspection
10,10156,747,105,8,ACCEPTED,accepted for execution
10,15413,761,53,3,PICKED,picked for inspection
10,15413,761,53,3,ACCEPTED,accepted for execution
10,16914,765,302,2,PICKED,picked for inspection
10,16914,765,302,2,ACCEPTED,accepted for execution
