sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,6,0,187,3,start,0.1,0.1,0.1
1,9007,24,187,3,end,0.5499999999999999,0.5499999999999999,0.1
1,9011,24,7,6,start,0.5499999999999999,0.5499999999999999,0.1
1,27011,72,7,6,end,0.5499999999999999,0.5499999999999999,0.9999999999999999
2,13,80,263,2,start,0.5499999999999999,0.5499999999999999,0.9999999999999999
2,6013,96,263,2,end,0.8499999999999999,0.5499999999999999,1.2999999999999998
2,6016,96,399,8,start,0.8499999999999999,0.5499999999999999,1.2999999999999998
2,30017,160,399,8,end,0.8499999999999999,0.5499999999999999,2.5
3,14,160,241,4,start,0.8499999999999999,0.5499999999999999,2.5
3,12015,192,241,4,end,1.4499999999999997,0.5499999999999999,3.1
3,12019,192,200,5,start,1.4499999999999997,0.5499999999999999,3.1
3,27019,232,200,5,end,2.1999999999999997,0.5499999999999999,3.1
4,4,240,226,4,start,2.1999999999999997,0.5499999999999999,3.1
4,12004,272,226,4,end,2.8,1.15,3.7
4,12007,272,208,2,start,2.8,1.15,3.7
4,18008,288,208,2,end,2.8,1.15,4.0
5,2,320,186,7,start,2.8,1.15,4.0
5,21003,376,186,7,end,3.8499999999999996,2.2,5.05
6,19,400,191,8,start,3.8499999999999996,2.2,5.05
6,7895,421,191,8,end,3.8499999999999996,2.2,6.25
7,15,480,274,4,start,3.8499999999999996,2.2,6.25
7,12015,512,274,4,end,4.449999999999999,2.2,6.25
8,14,560,183,9,start,4.449999999999999,2.2,6.25
8,27014,632,183,9,end,4.449999999999999,3.55,6.25
9,19,640,13,1,start,4.449999999999999,3.55,6.25
9,3020,648,13,1,end,4.6,3.6999999999999997,6.25
10,4,720,211,2,start,4.6,3.6999999999999997,6.25
10,3005,728,211,2,end,4.6,3.9999999999999996,6.55
11,33,800,143,8,start,4.6,3.9999999999999996,6.55
11,7908,821,143,8,end,4.6,3.9999999999999996,7.75
12,22,880,112,6,start,4.6,3.9999999999999996,7.75
12,10523,908,112,6,end,5.5,4.8999999999999995,8.65
12,10527,908,299,8,start,5.5,4.8999999999999995,8.65
12,18402,929,299,8,end,5.5,4.8999999999999995,9.85
13,46,960,223,9,start,5.5,4.8999999999999995,9.85
13,9046,984,223,9,end,6.85,4.8999999999999995,11.2
13,9048,984,318,6,start,6.85,4.8999999999999995,11.2
13,18048,1008,318,6,end,7.75,5.799999999999999,11.2
14,9,1040,330,10,start,7.75,5.799999999999999,11.2
14,9760,1066,330,10,end,9.25,7.299999999999999,12.7
14,9764,1066,198,6,start,9.25,7.299999999999999,12.7
14,15764,1082,198,6,end,9.25,8.2,13.6
14,15770,1082,94,8,start,9.25,8.2,13.6
14,23645,1103,94,8,end,9.25,9.399999999999999,13.6
15,41,1120,248,1,start,9.25,9.399999999999999,13.6
15,792,1122,248,1,end,9.4,9.399999999999999,13.75
15,799,1122,104,7,start,9.4,9.399999999999999,13.75
15,7549,1140,104,7,end,10.450000000000001,10.45,13.75
15,7553,1140,177,5,start,10.450000000000001,10.45,13.75
15,12429,1153,177,5,end,11.200000000000001,11.2,13.75
15,12431,1153,38,6,start,11.200000000000001,11.2,13.75
15,18431,1169,38,6,end,11.200000000000001,12.1,14.65
15,18437,1169,295,7,start,11.200000000000001,12.1,14.65
15,25188,1187,295,7,end,12.250000000000002,12.1,14.65
15,25191,1187,253,4,start,12.250000000000002,12.1,14.65
15,28941,1197,253,4,end,12.250000000000002,12.7,14.65
16,20,1200,140,10,start,12.250000000000002,12.7,14.65
16,9771,1226,140,10,end,13.750000000000002,14.2,16.15
16,9773,1226,25,4,start,13.750000000000002,14.2,16.15
16,13524,1236,25,4,end,14.350000000000001,14.2,16.15
16,13529,1236,124,7,start,14.350000000000001,14.2,16.15
16,20279,1254,124,7,end,15.400000000000002,14.2,16.15
17,31,1280,128,6,start,15.400000000000002,14.2,16.15
17,6032,1296,128,6,end,16.3,15.1,17.049999999999997
17,6039,1296,30,7,start,16.3,15.1,17.049999999999997
17,12789,1314,30,7,end,17.35,16.15,17.049999999999997
17,12791,1314,285,1,start,17.35,16.15,17.049999999999997
17,13542,1316,285,1,end,17.35,16.15,17.199999999999996
17,13545,1316,99,4,start,17.35,16.15,17.199999999999996
17,17295,1326,99,4,end,17.35,16.75,17.199999999999996
18,48,1360,57,4,start,17.35,16.75,17.199999999999996
18,3798,1370,57,4,end,17.950000000000003,17.35,17.799999999999997
18,3802,1370,217,4,start,17.950000000000003,17.35,17.799999999999997
18,7552,1380,217,4,end,18.550000000000004,17.35,18.4
