sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_289,289,1,2,2,BackEnd
RandomTask_237,237,1,3,1,BackEnd
RandomTask_292,292,1,1,1,BackEnd Design FrontEnd
RandomTask_184,184,1,7,3,BackEnd FrontEnd
RandomTask_323,323,1,4,1,BackEnd FrontEnd
RandomTask_4,4,1,3,3,BackEnd Design
RandomTask_123,123,1,10,2,Design
RandomTask_75,75,1,5,1,BackEnd
RandomTask_179,179,1,4,3,Design
RandomTask_32,32,1,4,2,Design
RandomTask_112,112,1,6,4,BackEnd Design FrontEnd
RandomTask_40,40,1,6,1,BackEnd Design FrontEnd
RandomTask_315,315,1,3,2,FrontEnd
RandomTask_20,20,1,7,6,BackEnd Design FrontEnd
RandomTask_142,142,1,9,3,BackEnd Design
RandomTask_3,3,1,7,2,Design
RandomTask_257,257,1,9,1,Design
RandomTask_5,5,1,6,3,FrontEnd
RandomTask_339,339,1,6,3,Design FrontEnd
RandomTask_145,145,1,9,2,FrontEnd
RandomTask_304,304,1,8,1,FrontEnd
RandomTask_63,63,1,5,3,BackEnd FrontEnd
RandomTask_361,361,1,10,4,BackEnd Design FrontEnd
RandomTask_223,223,1,9,6,BackEnd Design
RandomTask_284,284,1,10,7,BackEnd Design FrontEnd
