sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,0,0,139,3,PICKED,picked for inspection
1,0,0,139,3,ACCEPTED,accepted for execution
1,1504,4,166,7,PICKED,picked for inspection
1,1504,4,166,7,ACCEPTED,accepted for execution
2,1,80,76,1,PICKED,picked for inspection
2,1,80,76,1,ACCEPTED,accepted for execution
2,766,82,394,3,PICKED,picked for inspection
2,766,82,394,3,ACCEPTED,accepted for execution
2,3769,90,316,4,PICKED,picked for inspection
2,3769,90,316,4,ACCEPTED,accepted for execution
2,6772,98,78,9,PICKED,picked for inspection
2,6772,98,78,9,ACCEPTED,accepted for execution
3,1,160,54,1,PICKED,picked for inspection
3,1,160,54,1,ACCEPTED,accepted for execution
3,760,162,31,2,PICKED,picked for inspection
3,760,162,31,2,ACCEPTED,accepted for execution
3,2268,166,274,4,PICKED,picked for inspection
3,2268,166,274,4,ACCEPTED,accepted for execution
3,4521,172,148,4,PICKED,picked for inspection
3,4521,172,148,4,ACCEPTED,accepted for execution
3,10523,188,28,6,PICKED,picked for inspection
3,10523,188,28,6,ACCEPTED,accepted for execution
3,15029,200,377,5,PICKED,picked for inspection
3,15029,200,377,5,ACCEPTED,accepted for execution
3,19911,213,80,10,PICKED,picked for inspection
3,19911,213,80,10,ACCEPTED,accepted for execution
4,14,240,384,1,PICKED,picked for inspection
4,14,240,384,1,ACCEPTED,accepted for execution
4,392,241,218,1,PICKED,picked for inspection
4,392,241,218,1,ACCEPTED,accepted for execution
4,1145,243,289,2,PICKED,picked for inspection
4,1145,243,289,2,ACCEPTED,accepted for execution
4,2272,246,206,4,PICKED,picked for inspection
4,2272,246,206,4,ACCEPTED,accepted for execution
4,4524,252,75,5,PICKED,picked for inspection
4,4524,252,75,5,ACCEPTED,accepted for execution
4,7531,260,47,10,PICKED,picked for inspection
4,7531,260,47,10,ACCEPTED,accepted for execution
4,13534,276,378,8,PICKED,picked for inspection
4,13534,276,378,8,ACCEPTED,accepted for execution
5,17,320,324,1,PICKED,picked for inspection
5,17,320,324,1,ACCEPTED,accepted for execution
5,394,321,85,2,PICKED,picked for inspection
5,394,321,85,2,ACCEPTED,accepted for execution
5,1522,324,36,3,PICKED,picked for inspection
5,1522,324,36,3,ACCEPTED,accepted for execution
5,3026,328,190,5,PICKED,picked for inspection
5,3026,328,190,5,ACCEPTED,accepted for execution
5,6030,336,174,7,PICKED,picked for inspection
5,6030,336,174,7,ACCEPTED,accepted for execution
5,10160,347,70,5,PICKED,picked for inspection
5,10160,347,70,5,ACCEPTED,accepted for execution
5,13916,357,96,7,PICKED,picked for inspection
5,13916,357,96,7,ACCEPTED,accepted for execution
6,47,400,42,5,PICKED,picked for inspection
6,47,400,42,5,ACCEPTED,accepted for execution
6,3060,408,181,8,PICKED,picked for inspection
6,3060,408,181,8,ACCEPTED,accepted for execution
6,7572,420,216,6,PICKED,picked for inspection
6,7572,420,216,6,ACCEPTED,accepted for execution
6,12077,432,104,7,PICKED,picked for inspection
6,12077,432,104,7,ACCEPTED,accepted for execution
6,17330,446,140,10,PICKED,picked for inspection
6,17330,446,140,10,ACCEPTED,accepted for execution
7,38,480,25,4,PICKED,picked for inspection
7,38,480,25,4,ACCEPTED,accepted for execution
7,2298,486,14,8,PICKED,picked for inspection
7,2298,486,14,8,ACCEPTED,accepted for execution
7,6801,498,212,10,PICKED,picked for inspection
7,6801,498,212,10,ACCEPTED,accepted for execution
7,12804,514,349,6,PICKED,picked for inspection
7,12804,514,349,6,ACCEPTED,accepted for execution
7,17309,526,290,9,PICKED,picked for inspection
7,17309,526,290,9,ACCEPTED,accepted for execution
8,32,560,328,5,PICKED,picked for inspection
8,32,560,328,5,ACCEPTED,accepted for execution
8,3044,568,155,6,PICKED,picked for inspection
8,3044,568,155,6,ACCEPTED,accepted for execution
8,6425,577,33,8,PICKED,picked for inspection
8,6425,577,33,8,ACCEPTED,accepted for execution
8,10927,589,222,10,PICKED,picked for inspection
8,10927,589,222,10,ACCEPTED,accepted for execution
8,16932,605,30,7,PICKED,picked for inspection
8,16932,605,30,7,ACCEPTED,accepted for execution
8,21060,616,16,9,PICKED,picked for inspection
8,21060,616,16,9,ACCEPTED,accepted for execution
9,10,640,164,3,PICKED,picked for inspection
9,10,640,164,3,ACCEPTED,accepted for execution
9,1521,644,125,3,PICKED,picked for inspection
9,1521,644,125,3,ACCEPTED,accepted for execution
9,3030,648,55,7,PICKED,picked for inspection
9,3030,648,55,7,ACCEPTED,accepted for execution
9,7158,659,249,9,PICKED,picked for inspection
9,7158,659,249,9,ACCEPTED,accepted for execution
9,12410,673,214,6,PICKED,picked for inspection
9,12410,673,214,6,ACCEPTED,accepted for execution
9,16916,685,374,7,PICKED,picked for inspection
9,16916,685,374,7,ACCEPTED,accepted for execution
9,21047,696,11,10,PICKED,picked for inspection
9,21047,696,11,10,ACCEPTED,accepted for execution
10,1,720,306,2,PICKED,picked for inspection
10,1,720,306,2,ACCEPTED,accepted for execution
10,1128,723,37,6,PICKED,picked for inspection
10,1128,723,37,6,ACCEPTED,accepted for execution
10,4521,732,296,9,PICKED,picked for inspection
10,4521,732,296,9,ACCEPTED,accepted for execution
10,9774,746,86,10,PICKED,picked for inspection
10,9774,746,86,10,ACCEPTED,accepted for execution
10,15781,762,291,4,PICKED,picked for inspection
10,15781,762,291,4,ACCEPTED,accepted for execution
10,18412,769,120,6,PICKED,picked for inspection
10,18412,769,120,6,ACCEPTED,accepted for execution
10,22540,780,334,10,PICKED,picked for inspection
10,22540,780,334,10,ACCEPTED,accepted for execution
11,22,800,209,9,PICKED,picked for inspection
11,22,800,209,9,ACCEPTED,accepted for execution
11,5284,814,18,1,PICKED,picked for inspection
11,5284,814,18,1,ACCEPTED,accepted for execution
11,5663,815,35,2,PICKED,picked for inspection
11,5663,815,35,2,ACCEPTED,accepted for execution
11,6790,818,240,2,PICKED,picked for inspection
11,6790,818,240,2,ACCEPTED,accepted for execution
11,7921,821,282,4,PICKED,picked for inspection
11,7921,821,282,4,ACCEPTED,accepted for execution
11,10177,827,375,9,PICKED,picked for inspection
11,10177,827,375,9,ACCEPTED,accepted for execution
11,15430,841,108,10,PICKED,picked for inspection
11,15430,841,108,10,ACCEPTED,accepted for execution
