sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_19,19,1,2,2,FrontEnd
RandomTask_202,202,1,2,3,BackEnd
RandomTask_127,127,1,2,1,Design FrontEnd
RandomTask_54,54,1,1,4,FrontEnd
RandomTask_148,148,1,4,1,Design FrontEnd
RandomTask_71,71,1,5,2,BackEnd
RandomTask_332,332,1,5,3,BackEnd
RandomTask_79,79,1,2,6,Design FrontEnd
RandomTask_203,203,1,6,1,FrontEnd
RandomTask_169,169,1,5,3,Design FrontEnd
RandomTask_369,369,1,6,2,FrontEnd
RandomTask_81,81,1,5,2,BackEnd Design FrontEnd
RandomTask_28,28,1,6,3,BackEnd FrontEnd
RandomTask_346,346,1,8,1,FrontEnd
RandomTask_274,274,1,4,7,BackEnd
RandomTask_193,193,1,4,4,Design FrontEnd
RandomTask_183,183,1,9,2,FrontEnd
RandomTask_341,341,1,10,3,Design
RandomTask_118,118,1,9,1,BackEnd FrontEnd
RandomTask_372,372,1,4,4,Design FrontEnd
RandomTask_191,191,1,8,6,Design
RandomTask_372,372,1,6,7,Design FrontEnd
