sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,19,0,393,10,start,0.1,0.1,0.1
1,30019,80,393,10,end,1.6,0.1,1.6
2,16,80,126,2,start,1.6,0.1,1.6
2,6016,96,126,2,end,1.9000000000000001,0.4,1.9000000000000001
2,6019,96,373,5,start,1.9000000000000001,0.4,1.9000000000000001
2,21020,136,373,5,end,1.9000000000000001,0.4,2.6500000000000004
3,9,160,69,5,start,1.9000000000000001,0.4,2.6500000000000004
3,15010,200,69,5,end,1.9000000000000001,1.15,3.4000000000000004
4,20,240,148,4,start,1.9000000000000001,1.15,3.4000000000000004
4,12021,272,148,4,end,1.9000000000000001,1.75,4.0
4,12025,272,202,2,start,1.9000000000000001,1.75,4.0
4,18025,288,202,2,end,2.2,1.75,4.0
5,39,320,367,8,start,2.2,1.75,4.0
5,24040,384,367,8,end,2.2,2.95,5.2
6,13,400,20,7,start,2.2,2.95,5.2
6,12388,433,20,7,end,3.25,4.0,6.25
6,12394,433,223,9,start,3.25,4.0,6.25
6,25895,469,223,9,end,4.6,4.0,7.6
7,11,480,330,10,start,4.6,4.0,7.6
7,18012,528,330,10,end,6.1,5.5,9.1
7,18019,528,70,5,start,6.1,5.5,9.1
7,22894,541,70,5,end,6.85,6.25,9.1
8,27,560,376,8,start,6.85,6.25,9.1
8,7902,581,376,8,end,8.049999999999999,7.45,10.299999999999999
8,7906,581,329,4,start,8.049999999999999,7.45,10.299999999999999
8,11657,591,329,4,end,8.649999999999999,8.05,10.299999999999999
8,11663,591,73,10,start,8.649999999999999,8.05,10.299999999999999
8,21414,617,73,10,end,8.649999999999999,9.55,11.799999999999999
9,55,640,140,10,start,8.649999999999999,9.55,11.799999999999999
9,9805,666,140,10,end,10.149999999999999,11.05,13.299999999999999
9,9810,666,149,3,start,10.149999999999999,11.05,13.299999999999999
9,12810,674,149,3,end,10.599999999999998,11.05,13.749999999999998
9,12813,674,156,5,start,10.599999999999998,11.05,13.749999999999998
9,17688,687,156,5,end,11.349999999999998,11.8,13.749999999999998
9,17691,687,157,8,start,11.349999999999998,11.8,13.749999999999998
9,25566,708,157,8,end,12.549999999999997,11.8,13.749999999999998
10,21,720,109,9,start,12.549999999999997,11.8,13.749999999999998
10,9022,744,109,9,end,13.899999999999997,13.15,15.099999999999998
10,9029,744,122,1,start,13.899999999999997,13.15,15.099999999999998
10,9780,746,122,1,end,14.049999999999997,13.3,15.099999999999998
10,9785,746,114,2,start,14.049999999999997,13.3,15.099999999999998
10,11660,751,114,2,end,14.049999999999997,13.600000000000001,15.399999999999999
10,11667,751,48,1,start,14.049999999999997,13.600000000000001,15.399999999999999
10,12417,753,48,1,end,14.049999999999997,13.750000000000002,15.549999999999999
10,12420,753,254,2,start,14.049999999999997,13.750000000000002,15.549999999999999
10,14295,758,254,2,end,14.049999999999997,14.050000000000002,15.85
10,14302,758,91,1,start,14.049999999999997,14.050000000000002,15.85
10,15052,760,91,1,end,14.049999999999997,14.200000000000003,16.0
10,15055,760,217,4,start,14.049999999999997,14.200000000000003,16.0
10,18806,770,217,4,end,14.649999999999997,14.200000000000003,16.6
10,18813,770,152,1,start,14.649999999999997,14.200000000000003,16.6
10,19563,772,152,1,end,14.649999999999997,14.350000000000003,16.6
10,19566,772,328,5,start,14.649999999999997,14.350000000000003,16.6
10,24442,785,328,5,end,15.399999999999997,14.350000000000003,16.6
11,32,800,57,4,start,15.399999999999997,14.350000000000003,16.6
11,3782,810,57,4,end,15.999999999999996,14.950000000000003,17.200000000000003
11,3786,810,89,2,start,15.999999999999996,14.950000000000003,17.200000000000003
11,5661,815,89,2,end,16.299999999999997,15.250000000000004,17.500000000000004
11,5664,815,15,8,start,16.299999999999997,15.250000000000004,17.500000000000004
11,13539,836,15,8,end,17.499999999999996,15.250000000000004,18.700000000000003
11,13541,836,213,4,start,17.499999999999996,15.250000000000004,18.700000000000003
11,17292,846,213,4,end,17.499999999999996,15.850000000000003,19.300000000000004
11,17298,846,233,8,start,17.499999999999996,15.850000000000003,19.300000000000004
11,25173,867,233,8,end,18.699999999999996,17.050000000000004,19.300000000000004
12,38,880,105,8,start,18.699999999999996,17.050000000000004,19.300000000000004
12,7913,901,105,8,end,19.899999999999995,18.250000000000004,20.500000000000004
12,7916,901,178,3,start,19.899999999999995,18.250000000000004,20.500000000000004
12,10167,907,178,3,end,20.349999999999994,18.700000000000003,20.950000000000003
12,10171,907,325,5,start,20.349999999999994,18.700000000000003,20.950000000000003
12,13171,915,325,5,end,21.099999999999994,18.700000000000003,21.700000000000003
12,13178,915,135,10,start,21.099999999999994,18.700000000000003,21.700000000000003
12,19179,931,135,10,end,22.599999999999994,18.700000000000003,23.200000000000003
12,19184,931,364,2,start,22.599999999999994,18.700000000000003,23.200000000000003
12,20684,935,364,2,end,22.899999999999995,19.000000000000004,23.200000000000003
12,20690,935,6,6,start,22.899999999999995,19.000000000000004,23.200000000000003
12,24065,944,6,6,end,23.799999999999994,19.000000000000004,23.200000000000003
13,6,960,50,9,start,23.799999999999994,19.000000000000004,23.200000000000003
13,6007,976,50,9,end,25.149999999999995,20.350000000000005,24.550000000000004
13,6013,976,320,6,start,25.149999999999995,20.350000000000005,24.550000000000004
13,9388,985,320,6,end,26.049999999999994,21.250000000000004,25.450000000000003
13,9391,985,262,7,start,26.049999999999994,21.250000000000004,25.450000000000003
13,13516,996,262,7,end,26.049999999999994,22.300000000000004,26.500000000000004
13,13519,996,271,5,start,26.049999999999994,22.300000000000004,26.500000000000004
13,16519,1004,271,5,end,26.799999999999994,22.300000000000004,27.250000000000004
13,16525,1004,319,5,start,26.799999999999994,22.300000000000004,27.250000000000004
13,19525,1012,319,5,end,26.799999999999994,23.050000000000004,28.000000000000004
13,19528,1012,192,6,start,26.799999999999994,23.050000000000004,28.000000000000004
13,22903,1021,192,6,end,27.699999999999992,23.050000000000004,28.900000000000002
14,34,1040,106,4,start,27.699999999999992,23.050000000000004,28.900000000000002
14,2285,1046,106,4,end,28.299999999999994,23.650000000000006,29.500000000000004
14,2289,1046,356,10,start,28.299999999999994,23.650000000000006,29.500000000000004
14,8289,1062,356,10,end,29.799999999999994,25.150000000000006,29.500000000000004
14,8292,1062,240,2,start,29.799999999999994,25.150000000000006,29.500000000000004
14,9418,1065,240,2,end,30.0,25.450000000000006,29.500000000000004
14,9423,1065,151,6,start,30.0,25.450000000000006,29.500000000000004
14,12798,1074,151,6,end,30.0,26.350000000000005,29.500000000000004
