sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_321,321,1,1,BackEnd FrontEnd
RandomTask_200,200,1,5,BackEnd
RandomTask_373,373,1,5,Design
RandomTask_241,241,1,4,BackEnd Design
RandomTask_76,76,1,1,FrontEnd
RandomTask_309,309,1,7,Design
RandomTask_380,380,1,9,BackEnd FrontEnd
RandomTask_126,126,1,2,BackEnd Design FrontEnd
RandomTask_259,259,1,9,BackEnd Design
RandomTask_21,21,1,5,FrontEnd
RandomTask_226,226,1,4,BackEnd Design FrontEnd
RandomTask_316,316,1,4,BackEnd FrontEnd
RandomTask_208,208,1,2,Design
RandomTask_186,186,1,7,BackEnd Design FrontEnd
RandomTask_394,394,1,3,FrontEnd
RandomTask_281,281,1,3,BackEnd Design FrontEnd
